peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
area,min,20,18.69249382493099,12.94930267600475,14.767415770661412,16.51746977849507,5.7431911489262415,3.92507805426958,2.1750240464359223
area,min,21,19.63971665471401,13.509815522074941,14.783527519199096,17.117683897516844,6.12990113263907,4.856189135514915,2.5220327571971666
area,min,22,19.827590365924088,13.76176002915681,15.06797963618609,17.41837119096447,6.065830336767279,4.759610729737998,2.409219174959617
area,min,23,19.89407053341139,14.134971390679109,15.343938280193338,17.86194873994864,5.759099142732282,4.550132253218052,2.03212179346275
area,min,24,20.13278202399359,14.291855978290206,15.403507280438655,17.88434091177881,5.840926045703386,4.729274743554937,2.248441112214781
area,min,25,19.821878303210713,14.267360331223005,15.544359383784103,18.39453674215343,5.554517971987709,4.27751891942661,1.4273415610572826
area,min,26,19.88051599463074,14.536067065539918,15.59728862763725,19.0966319329913,5.344448929090824,4.283227366993492,0.7838840616394407
area,min,27,20.29997094806539,14.73886206973182,15.822177281075668,18.830864540969024,5.56110887833357,4.477793666989722,1.4691064070963655
area,min,28,20.923862445803948,14.64790356289193,15.994676115346618,18.356027060031938,6.275958882912018,4.9291863304573305,2.5678353857720104
area,min,29,21.26184085432018,14.753376461908267,16.057845022598414,18.01900117575067,6.508464392411913,5.203995831721766,3.24283967856951
area,min,30,20.787022358308572,14.610345620766838,15.956437013911081,18.226911151455315,6.176676737541735,4.830585344397491,2.560111206853257
pop,max,1,26.762162328501237,21.68298566933632,22.82548797037937,25.37664101858044,5.079176659164919,3.9366743581218664,1.3855213099207973
pop,max,2,24.555552820582328,21.800116230191087,23.35315381779241,25.29486826113451,2.7554365903912412,1.2023990027899174,-0.7393154405521827
pop,max,3,24.68666617003926,22.04527484861166,23.519826508178753,25.347297238754983,2.6413913214276015,1.1668396618605072,-0.6606310687157233
pop,max,4,24.485517221064686,21.82899928999762,23.575066690864368,26.433275236692268,2.656517931067068,0.9104505302003183,-1.9477580156275813
pop,max,5,24.131612784187247,21.867154328262817,23.52993974206628,27.517545294181502,2.26445845592443,0.601673042120968,-3.385932509994255
pop,max,6,24.664161823062493,21.828764841363295,23.60178141509998,28.041456748839273,2.8353969816991977,1.0623804079625145,-3.3772949257767806
pop,max,7,26.177218067645356,22.015587838746296,24.024617055849124,28.473482206241005,4.16163022889906,2.152601011796232,-2.2962641385956495
pop,max,8,27.15017341250825,22.06326074656121,24.3117403500224,28.894688350876496,5.08691266594704,2.838433062485848,-1.7445149383682477
pop,max,9,27.19536326572207,22.208554147609313,24.577702538829165,29.77950982604363,4.986809118112756,2.617660726892904,-2.5841465603215603
pop,max,10,25.889494242902085,22.757675061735277,24.888482233582128,30.73844905834309,3.131819181166808,1.0010120093199575,-4.8489548154410045
pop,max,11,25.052528220541184,23.051478479659444,24.592596992745573,31.787450433367088,2.00104974088174,0.4599312277956109,-6.734922212825904
pop,max,12,25.50973117935676,22.96315504444294,24.614349439459655,32.39393957766339,2.5465761349138205,0.895381739897104,-6.88420839830663
pop,max,13,28.204966477414,23.384911573346187,24.70986858932178,32.72567024038011,4.820054904067813,3.4950978880922214,-4.520703762966111
pop,max,14,28.350657443074944,23.821522593386266,24.73095761617588,32.366923195721256,4.529134849688678,3.6196998268990654,-4.016265752646312
pop,max,15,28.14265560315472,23.720241534961065,25.080523426542747,31.953044790300765,4.422414068193653,3.0621321766119713,-3.810389187146047
pop,max,16,27.99986801308558,23.225385430510862,25.624109847510898,30.57151492077827,4.77448258257472,2.375758165574684,-2.5716469076926884
pop,max,17,30.01379011203884,23.256368331169323,25.539820412458816,28.27651069141752,6.757421780869517,4.473969699580024,1.73727942062132
pop,max,18,31.08668950428018,23.290919956043563,25.899197890580368,28.322952013708548,7.795769548236617,5.187491613699812,2.763737490571632
pop,max,19,31.54915838805865,23.308383664044506,25.983105965829527,28.48537427476896,8.240774724014145,5.566052422229124,3.063784113289689
pop,max,20,32.2794238891674,24.02885459553836,26.036790514696623,30.388309342853432,8.250569293629038,6.242633374470774,1.8911145463139647
pop,max,21,32.508653932832864,24.482363974339098,26.401494319983954,30.468103547412568,8.026289958493766,6.1071596128489105,2.040550385420296
pop,max,22,32.740756787766,24.62650558536638,26.828243994105197,30.312394239969116,8.114251202399622,5.912512793660806,2.428362547796887
