regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Lazio,area,mean,30,30,14.856440112580865,15.759470677198092,18.262698400552523,16.704403113690017,5,1-31,1.847963001109152,0.9449324364919249,-1.5582952868625064
Lazio,area,min,30,30,10.008818662423755,10.720432096298358,12.583285379413645,11.705076185116466,5,1-31,1.6962575226927115,0.9846440888181078,-0.8782091942971793
Lazio,pop,max,30,30,20.416566440490733,21.555343562784536,24.618641749813456,22.556063106364938,5,1-31,2.139496665874205,1.0007195435804022,-2.062578643448518
Lazio,pop,mean,30,30,16.04005444528661,17.012830480411264,19.380069297119995,18.121542410233147,5,1-31,2.081487964946536,1.108711929821883,-1.2585268868868482
Lazio,pop,min,30,30,11.218718757124762,11.997100501596606,13.650216785634086,13.143830745672377,5,1-31,1.9251119885476147,1.146730244075771,-0.5063860399617095
Liguria,area,max,30,30,16.320451692856437,17.569540871050048,19.782735570935024,19.289049605049932,5,1-31,2.968597912193495,1.7195087339998842,-0.49368596588509206
Liguria,area,mean,30,30,13.19442659542517,14.354333553188795,16.194142741889767,15.844391773577987,5,1-31,2.649965178152817,1.4900582203891926,-0.34975096831177943
Liguria,area,min,30,30,9.802315609989078,10.84810152555158,12.161290594720242,11.919986272965042,5,1-31,2.1176706629759643,1.0718847474134616,-0.24130432175519978
Liguria,pop,max,30,30,17.094013461496477,18.297917631988845,20.442199710740347,19.98615686038932,5,1-31,2.8921433988928413,1.688239228400473,-0.45604285035102876
Liguria,pop,mean,30,30,14.326434962179965,15.457772614219524,17.27700752217542,16.93509715138467,5,1-31,2.608662189204706,1.4773245371651473,-0.3419103707907496
Liguria,pop,min,30,30,11.186059885235013,12.220846911729025,13.544932316928852,13.288119541267502,5,1-31,2.1020596560324893,1.0672726295384773,-0.2568127756613503
Lombardia,area,max,30,30,16.765400122918994,18.536798521219012,21.4102907114764,20.312531420633736,5,1-31,3.547131297714742,1.7757328994147237,-1.0977592908426637
Lombardia,area,mean,30,30,12.403690815766032,14.006219760867582,16.1501275922347,15.443027677128962,5,1-31,3.03933686136293,1.4368079162613796,-0.7070999151057382
Lombardia,area,min,30,30,7.411171404775307,8.79835708466184,9.926265308546817,9.68436274809905,5,1-31,2.2731913433237425,0.88600566343721,-0.2419025604477678
Lombardia,pop,max,30,30,19.07184113746777,20.849903326373365,24.161652449745574,22.758853388515,5,1-31,3.6870122510472285,1.9089500621416349,-1.4027990612305743
Lombardia,pop,mean,30,30,14.60919460563125,16.17455673019663,18.6864655200951,17.706231177005048,5,1-31,3.0970365713737973,1.5316744468084167,-0.9802343430900535
Lombardia,pop,min,30,30,9.480640156565192,10.805139069558296,12.398362181872317,11.736532463045593,5,1-31,2.2558923064804013,0.9313933934872978,-0.6618297188267235
