data,fascia,t_area,t_pop,n_ore
1961-05-24,notte,11.182667562942308,12.436755737676021,12
1961-05-25,giorno,17.521182352298155,18.73384518532912,12
1961-05-25,notte,11.550289675200052,13.01742111459129,12
1961-05-26,giorno,18.271384791435004,19.2156048683811,12
1961-05-26,notte,12.7640324142076,14.289189146784128,12
1961-05-27,giorno,18.156366672914555,18.890040835754956,12
1961-05-27,notte,13.562629355670351,14.977112053571167,12
1961-05-28,giorno,19.363756100546475,20.166252514058755,12
1961-05-28,notte,13.916248823120362,15.118908201303592,12
1961-05-29,giorno,17.232800785391962,18.195814785714962,12
1961-05-29,notte,14.823256350215088,15.967025605062679,12
1961-05-30,giorno,16.57475363674461,17.545880377279612,12
1961-05-30,notte,11.717880651964151,13.06348341375333,12
1961-05-31,giorno,18.328131252810646,19.027185128387053,12
1961-05-31,notte,12.514026745850035,13.842120034733917,12
1961-06-01,giorno,17.789820920450474,18.573665305689843,12
1961-06-02,giorno,17.185666431901907,18.397831077684323,12
1961-06-02,notte,12.842907713449064,14.061698962771523,12
1961-06-03,giorno,16.787669256138326,18.29550339794936,12
1961-06-03,notte,12.293746814679304,13.646243628244385,12
1961-06-04,giorno,16.796308668474396,18.405981989548103,12
1961-06-04,notte,12.216959259810203,13.867391615369675,12
1961-06-05,giorno,17.789233832501008,19.419092107347197,12
1961-06-05,notte,12.492843027751874,14.159988645319144,12
1961-06-06,giorno,17.35337382912127,18.93801466498865,12
1961-06-06,notte,13.46610845089001,15.06521526200276,12
1961-06-07,giorno,17.64185378537288,19.39184932771779,12
1961-06-07,notte,13.361205619967974,15.095765800961392,12
1961-06-08,giorno,17.82178046633995,19.35600805233479,12
1961-06-08,notte,13.971083668146203,15.57366946181531,12
1961-06-09,giorno,18.4183583550787,19.57320940208455,12
1961-06-09,notte,13.731734123916251,15.496844670784137,12
1961-06-10,giorno,17.398267174674245,18.830827998949193,12
1961-06-10,notte,14.071128938021713,15.551020498335587,12
1961-06-11,giorno,18.08046230873935,19.50228453269467,12
1961-06-11,notte,12.596266991150465,14.11557339065596,12
1961-06-12,giorno,19.072225289804692,20.313752099400276,12
1961-06-12,notte,13.479371279196153,15.20820353470964,12
1961-06-13,giorno,19.384347836977994,20.52029774642815,12
1961-06-13,notte,14.290998173968811,15.984999939968679,12
1961-06-14,giorno,20.589317120368637,21.6769117297811,12
1961-06-14,notte,15.248103192794174,16.593196509118975,12
1961-06-15,giorno,20.497731456253376,21.53888872298714,12
1961-06-15,notte,15.9998959064326,17.368973458035025,12
1961-06-16,giorno,21.035003855831444,22.30187116912429,12
1961-06-16,notte,15.838529999454003,17.163316968817536,12
1961-06-17,giorno,20.917357368200417,22.262307594948684,12
1961-06-17,notte,16.207030243121167,17.755636482714397,12
1961-06-18,giorno,21.89730415743746,23.372951018100824,12
1961-06-18,notte,15.63522707108933,16.98818006682704,12
1961-06-19,giorno,23.607123819959995,24.955968960788184,12
1961-06-19,notte,16.448827918436184,17.917942944024382,12
1961-06-20,giorno,24.90569076440393,26.402646940284953,12
1961-06-20,notte,18.049303473447345,19.546117665116682,12
1961-06-21,giorno,24.944590384401153,26.18521609551024,12
1961-06-21,notte,19.02804325929595,20.57394295642892,12
1961-06-22,giorno,24.04335591079176,24.93090271764317,12
1961-06-22,notte,19.35358444399581,20.90755766450257,12
1961-06-23,giorno,24.495008987252543,25.512078758613097,12
1961-06-23,notte,18.581356412868832,20.083255231295496,12
1961-06-24,giorno,25.338407705546892,26.452431091523046,12
1961-06-24,notte,19.3015969221511,20.765377410843186,12
1961-06-25,giorno,25.80344156753903,26.818912367151228,12
1961-06-25,notte,19.974172939033107,21.299126776907855,12
1961-06-26,giorno,26.10643774230935,26.977440897755983,12
