DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_SOCIO_EDUC_SERVICE,TYPE_MANAGEMENT,HOLDER_SECTOR_PUBPRIV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_SOCIO_EDUC_SERVICE,NOTE_TYPE_MANAGEMENT,NOTE_HOLDER_SECTOR_PUBPRIV,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:47_850(1.0),A,ITD1,P_100CH_Y0_2,DNUR,ALL,9,2023,19.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2014,28.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2015,28.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2016,31.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2017,32.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2018,33.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2019,33.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2020,33.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2021,36.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2022,36.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD2,P_100CH_Y0_2,DNUR,ALL,9,2023,38.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2014,23.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2015,24,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2016,25.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2017,25.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2018,27,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2019,28.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2020,29.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2021,30.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2022,31.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD3,P_100CH_Y0_2,DNUR,ALL,9,2023,33.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2014,23.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2015,24.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2016,25.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2017,27.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2018,29.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2019,30.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2020,31.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2021,33.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2022,35.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD4,P_100CH_Y0_2,DNUR,ALL,9,2023,37.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2014,32.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2015,33.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2016,33.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2017,34.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2018,35.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2019,36.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2020,37.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2021,38.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2022,40.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITD5,P_100CH_Y0_2,DNUR,ALL,9,2023,41.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2014,29.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2015,29.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2016,31.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2017,31.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2018,33,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2019,34.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2020,35,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2021,35.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2022,37.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE1,P_100CH_Y0_2,DNUR,ALL,9,2023,39.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2014,30.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2015,32.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2016,34.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2017,34.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2018,36.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2019,36.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2020,37.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2021,37.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2022,40.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE2,P_100CH_Y0_2,DNUR,ALL,9,2023,42.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2014,25,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2015,22,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2016,24.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2017,25.3,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2018,26.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2019,27.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2020,28.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2021,28.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITE3,P_100CH_Y0_2,DNUR,ALL,9,2022,30.3,,,FILTER_ATS,,,,,,,,
