"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1996,"Women","World",NA,0.1390132975335588,0.13479236904484204,0.14331857427824332,0.08938277745621546,0.08754733085543581,0.09118535889391635,0.13921350049595926,0.13575528444444399,0.14268221607485168,0.4499100862838122,0.44530433484070314,0.4546370081309046,0.1824803362304543,0.1794278849764038,0.1853885029991041,0.06225132193284746,0.06055870346891643,0.0639297601571213,0.019208248686948856,0.01837642652591709,0.0200610742362249,0.007923206836419148,0.007377478480855841,0.00847843815323419
1997,"Women","World",NA,0.1374319807353812,0.1333597045256666,0.14157020818085989,0.09148828760480693,0.0897350196130144,0.09323398204332585,0.13755181990723012,0.13423741334787856,0.14086234433152459,0.4488439386227528,0.4442160635790575,0.45343880167131834,0.18468397112982887,0.18174332322145098,0.1875770131542646,0.06348942102018748,0.06186188387916519,0.06512311680095732,0.019731326120581934,0.018924199303243208,0.020539608351715123,0.008267540464037527,0.007720998944121576,0.008822626454254868
1998,"Women","World",NA,0.13585739231381674,0.1319229505792161,0.13983005615354344,0.09362671509699493,0.09190059563233378,0.09529165952962368,0.13591606328865813,0.1327504990348001,0.13908699279482,0.4477217863647578,0.4432055651895752,0.45215752099854095,0.18687804093577237,0.18397771702749438,0.18972708319474083,0.06474262439114893,0.06318698678366645,0.06630385608359671,0.02026046112698563,0.01947759220361406,0.0210587832920651,0.00862362957886037,0.008082865012144001,0.009176886055599692
1999,"Women","World",NA,0.13429590139391853,0.13044392614797062,0.1381872138661416,0.09583866932669537,0.09420486002645367,0.0974549969191887,0.13431816564692356,0.13125699569249055,0.13737710523613655,0.4464834038169,0.44213977265550214,0.4508045755503078,0.18906385781556254,0.18617806937899087,0.19183236547495602,0.06603460592542434,0.06454377490270759,0.06754244177558454,0.020805906816683054,0.02004917591416587,0.021581207136977615,0.008998156584587972,0.008450173395685113,0.00955331046088427
2000,"Women","World",NA,0.13271143930211074,0.12891726574103418,0.1365201157220517,0.09813291581584538,0.09653388353042827,0.09972297632950386,0.1327501985178846,0.12982318420967995,0.13565309737207498,0.44514488391150264,0.44088553176536666,0.449347082109932,0.1912605604526566,0.18842604407781446,0.1939886475856686,0.06736592474536438,0.06590979531277096,0.06883983373972401,0.02137372256851001,0.020618855407171555,0.022120561182716787,0.009393268501971003,0.00885252537871945,0.009951460965695432
2001,"Women","World",NA,0.13107374826350007,0.12739896088937333,0.13481665601763668,0.10049445611017585,0.09895188914125722,0.10207053602731564,0.13120023450861143,0.12833298744045987,0.13402104442004012,0.44376905976155856,0.43964516705490087,0.44776357532996625,0.19346249935615414,0.19066502280001654,0.19620501707838792,0.06871912096973652,0.06727970345850035,0.07016680289502289,0.021965878718902362,0.021229941452686134,0.022702372663317427,0.009809456421536968,0.009271457725315024,0.010370050157623722
2002,"Women","World",NA,0.1293174525768389,0.1257428424030813,0.13298087989784566,0.10288693735857468,0.10135246230380945,0.10444752598906551,0.12964408469862604,0.1268782342555941,0.13242102475281847,0.4424714032801942,0.4384000962677326,0.4463248808084634,0.19568012008576616,0.1929398623445065,0.19834317781441738,0.07007172935008568,0.06865364183586872,0.07152046638975978,0.022574628603231964,0.0218541390222268,0.023308008619268083,0.010240579405257036,0.009695657972002402,0.01081000540982558
2003,"Women","World",NA,0.12746067308585524,0.12399319910466591,0.13103248707900694,0.1052490336427486,0.10371281985904676,0.106794147107883,0.12806346531328006,0.12539253868043646,0.13079629204564136,0.44129731518363735,0.4373257922855327,0.4450598745886921,0.1979295107744788,0.1952804706989398,0.20056526531941338,0.0713976497480763,0.06999962693190326,0.07281318072337808,0.023177942810310825,0.022470622133208183,0.02391230625588643,0.010673441084361458,0.01013894428036533,0.011248630668769357
2004,"Women","World",NA,0.12557000425706327,0.12221185951739173,0.12902248798094737,0.10763757021785945,0.10610198038174466,0.10918812791831234,0.1264568449338377,0.12384105925309276,0.12906991146349853,0.44011935652675604,0.4362848302364185,0.4437993834340642,0.20021622206448353,0.19760681511399902,0.20278923971602233,0.07273087887298733,0.07134475414992929,0.07413718649706162,0.023790849948228637,0.02309502905443324,0.024533424380485315,0.011115841396643473,0.010575684002709302,0.01169892048147252
2005,"Women","World",NA,0.12362616130106083,0.12038178452127321,0.12701607102189816,0.11008068951119754,0.1085377725292181,0.11163404452090578,0.1248348925095513,0.1222447033021805,0.1273172228075332,0.438913422037134,0.4351313487804437,0.4424184238704938,0.2025448326410563,0.19996952791684702,0.20514956072355106,0.07409334236585834,0.07271793128800982,0.07547659575002828,0.024417418856351503,0.023713046339219515,0.025151157670923765,0.011569928288987685,0.011017019506050642,0.012146551977244641
2006,"Women","World",NA,0.12161269695131585,0.11843268315311108,0.12486309500363763,0.11258319086375884,0.11102377850346463,0.11411474786052779,0.1231901083602586,0.12066627423500696,0.12565721245226721,0.4376843070581662,0.4340961438835859,0.44116145537470525,0.20492969476650058,0.20234985402956737,0.20753166580538668,0.07549182273476686,0.07410666349970378,0.07686437487329396,0.025056086333348996,0.024363197794679676,0.025786368021811768,0.012035281795642973,0.011477233639216343,0.012613827136795425
2007,"Women","World",NA,0.11949576415782963,0.11641147308394403,0.12270944349795937,0.11515009606276488,0.11360358395011756,0.11669289288573345,0.12149229671151814,0.11905105325761124,0.12387432268136785,0.4364722095021035,0.4329698789769521,0.4399291700018568,0.2073896315657838,0.20488074532209505,0.20996310633516743,0.07693923780671273,0.0755635259295884,0.07832733253969308,0.02570210439028039,0.025010735363180752,0.026431899026797757,0.012508753865771754,0.011940014409783045,0.013104544366566297
2008,"Women","World",NA,0.11726875491896836,0.11429888250444244,0.12040266697170128,0.11774931084506299,0.1161961334321856,0.11933306176037319,0.11973886282222707,0.1173726140939453,0.12207006773438767,0.435308404688092,0.4318057465181614,0.43871928324141096,0.2099346647256496,0.20745866968762208,0.21248290316906837,0.07842099564846786,0.07701267961699837,0.07983328347373538,0.026342619511604257,0.025647734522373532,0.02707546550240223,0.012985695684990878,0.012396886567973886,0.013597473727818991
