dim,vista,macro_settore,lavoratori_2014,lavoratori_2024,settimane_utili_2014,settimane_utili_2024,stipendio_annuo_reale_2014,stipendio_annuo_reale_2024,stipendio_settimanale_reale_2014,stipendio_settimanale_reale_2024,stipendio_settimanale_fte_reale_2014,stipendio_settimanale_fte_reale_2024,stipendio_annuo_fte_reale_2014,stipendio_annuo_fte_reale_2024,lavoratori_var_pct,settimane_utili_var_pct,stipendio_annuo_reale_var_pct,stipendio_settimanale_reale_var_pct,stipendio_settimanale_fte_reale_var_pct,stipendio_annuo_fte_reale_var_pct
macro_settore,complessivo,Commercio,2126428,2608191,82133056,101068292,24448.920921754765,23577.288892569602,541.7186226248343,517.4324279519067,632.9835093169447,608.4408025219225,32915.142484481126,31638.92173113997,22.655975184675903,23.05434245622129,-3.5651145176291976,-4.483175150090235,-3.8773058750782297,-3.8773058750782297
macro_settore,complessivo,Costruzioni,970680,1309595,35550932,53264061,20119.956630189416,22106.186870750116,524.8095487142061,520.3176188111644,549.3537975823605,543.5213021966163,28566.397474282745,28263.107714224047,34.915214076729704,49.82465438599473,9.87194096422861,-0.8559161917017444,-1.061701113455904,-1.061701113455904
macro_settore,complessivo,Cultura e intrattenimento,190632,269942,4872041,6963237,15613.977736231145,15627.58805595276,496.6127168900056,507.73331697273386,610.9398101972491,605.830646723643,31768.870130256953,31503.193629629437,41.60371815854631,42.92238098981515,0.08716753636732744,2.23929023653886,-0.8362793499995691,-0.836279349999558
macro_settore,complessivo,Finanza e assicurazioni,524172,482857,25309608,23260635,55858.97487660751,56428.58324307197,1111.4969468084657,1123.706877034499,1156.8614803919963,1171.375434032648,60156.79698038381,60911.52256969769,-7.881954778202571,-8.095633089220499,1.0197257785749203,1.0985122596236296,1.2545973642180241,1.2545973642180241
macro_settore,complessivo,ICT,484076,636842,19884146,27146039,35079.31960712652,35227.231591195305,791.5441458436719,786.225038230647,853.9998005516243,826.4255651073072,44407.98962868446,42974.129385579974,31.558267710029007,36.52102031437507,0.4216500939166812,-0.6719912769180492,-3.228833944282661,-3.228833944282661
macro_settore,complessivo,Immobiliari,39039,63885,1416713,2355248,27540.178868415456,25738.016874070596,624.0863661949026,569.2908928938058,758.8982686289115,698.1316651155207,39462.7099687034,36302.84658600708,63.644048259432886,66.24736273331295,-6.543755590533495,-8.780110617571813,-8.007213354587927,-8.007213354587927
macro_settore,complessivo,"Industria estrattiva, energia, utilities",283374,332036,13555544,15830058,42465.5078048658,38115.630006987194,865.3664672581108,777.3330735417882,887.72688198246,799.4766238380175,46161.797863087915,41572.78443957691,17.172358790855903,16.779215942938187,-10.243319867660194,-10.172961057210127,-9.941149686417416,-9.941149686417406
macro_settore,complessivo,Istruzione (privata),474114,740578,15350239,25908137,15723.486002865267,16451.11245270586,432.37728370985076,430.0161807753874,485.64226542417117,470.25117853900497,25253.397802056905,24453.06128402826,56.202516694297145,68.78002355533357,4.627640777038877,-0.5460746952764994,-3.169223105349628,-3.169223105349639
macro_settore,complessivo,Lavoro domestico,44483,36452,1680556,1387329,17507.14525190084,16149.302095906945,394.3909786162392,362.80680605168635,463.4004116734611,424.3221038412662,24096.82140701998,22064.749399745844,-18.054088078591825,-17.448213567414594,-7.755936998617563,-8.008340524260749,-8.432946291755083,-8.432946291755073
macro_settore,complessivo,Manifattura,3671847,4003396,163992749,183702389,31747.147351580687,32486.97796245987,675.7558080578099,674.8224029846504,710.8281827842249,707.9833764546198,36963.06550477969,36815.13557564023,9.029488429120281,12.01860455427819,2.330384530887142,-0.1381275694606665,-0.40021012088494734,-0.40021012088493624
