anno,settore,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30478,1584849,1392529,9490902,550361982,18057.680359603648,347.264617638652,395.2247902916205,20551.689095164264,659442735.1891893,21636.680070516086,416.0918391526191,473.55763161068046,24624.996843755383,anno_intero
2016,Attivita' finanziarie e assicurative,458967,23866283,22989176,142841570,23164767317,50471.53132360279,970.6064122762643,1007.6379995959837,52397.17597899115,27755982460.909916,60474.89789224479,1162.9788543490376,1207.3500355519448,62782.20184870112,anno_intero
2016,Attivita' immobiliari,28751,1495052,1238968,8954210,835778425,29069.542798511357,559.0296692021415,674.576280420479,35077.96658186491,1001428202.9279281,34831.07380362172,669.8283423773407,808.2760837470605,42030.35635484715,anno_intero
2016,Attivita' manifatturiere,2553951,132805418,128288878,794059945,86023655476,33682.57866967691,647.742063324555,670.5464792980729,34868.41692349979,103073388993.76578,40358.40507267594,776.1233731726652,803.4475833030965,41779.274331761015,anno_intero
2016,"Attivita' professionali, scientifiche e tecniche",312945,16273124,14356286,97442048,8960352991,28632.357094697152,550.6227932018462,624.1414381825495,32455.35478549257,10736278809.036037,34307.23868103353,659.7552387013113,747.845146651163,38887.94762586048,anno_intero
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",1431364,74430839,65725042,445506499,38145331566,26649.637385039725,512.4936394442632,580.3774391806398,30179.626837393273,45705667552.05406,31931.547497389947,614.0689553701533,695.4072019011271,36161.174498858614,anno_intero
2016,Costruzioni,337399,17544745,16733389,104669623,9172215358,27185.069777918725,522.7898928140592,548.1385365510836,28503.203900656346,10990131915.441442,32573.101625794512,626.4059076060349,656.7786068585057,34152.48755664229,anno_intero
2016,Estrazione di minerali da cave e miniere,32197,1674244,1653964,10008540,1638600137,50892.94459111097,978.7104729059803,990.7108842755948,51516.965982330934,1963367731.720721,60979.834510069915,1172.6891251936522,1187.0679964743615,61727.53581666681,anno_intero
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",123729,6433908,6265324,38494859,3995430685,32291.788384291474,620.9959304671438,637.7053580948088,33160.67862093006,4787317847.792793,38691.96265865555,744.0762049741454,764.0974110505368,39733.06537462792,anno_intero
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",70066,3643432,3607426,21817744,3475612813,49604.84133531242,953.9392564483157,963.4605984987634,50099.951121935694,4164473010.1711717,59436.43150987886,1143.008298266901,1154.4167531561761,60029.67116412116,anno_intero
2016,Istruzione,114019,5928975,5168659,35477335,2495555838,21887.192818740736,420.90847709764336,482.8246239498485,25106.880445392122,2990170508.594595,26225.194999031697,504.3317788647439,578.5195944624312,30083.01891204642,anno_intero
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",631695,32848080,27260248,196326397,13497450703,21367.037419957414,410.9053163229023,495.1330854730302,25746.92044459757,16172621112.603607,25601.945737426457,492.3460096481623,593.2675708820993,30849.913685869167,anno_intero
