settore,tipologia,w_base,w_fin,s_base,s_fin,contrib_comp,contrib_wage
Trasporto e magazzinaggio,Stagionale,29065.347338272626,26149.043636823273,4.3786622846047295e-4,6.980423757199241e-4,7.18273375858873,-1.6563272334397299
Estrazione di minerali da cave e miniere,Tempo determinato,39530.283871382446,29247.2034803766,0.00020941845893033254,1.0938475917057823e-4,-3.4400332599880823,-1.639139560321518
Sanita' e assistenza sociale,Tempo indeterminato,28588.604546762228,26357.743408723858,0.04121032421754492,0.04450803712053902,90.5986403126049,-95.61288056273108
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo determinato,23822.774627167328,21515.12062703446,0.02412258139988005,0.02649011345921995,53.66946025865851,-58.39829387455319
Sanita' e assistenza sociale,Stagionale,22715.346652613254,20621.631531952888,2.0481027394086144e-5,1.3607427012233308e-4,2.504730919198648,-0.16389109681480463
Istruzione,Stagionale,20433.767363843188,22733.488863488925,4.046152647869467e-5,9.364471699753486e-5,1.147886206056897,0.15420350567950544
"Attivita' professionali, scientifiche e tecniche",Tempo determinato,28030.14781678798,23253.379765592563,0.0026599219485758433,0.003159705707265669,12.815337086997745,-13.899505728138505
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo determinato,21165.84618262342,19169.56260994976,1.3085583098959415e-4,9.126534102118342e-5,-0.7984492985870572,-0.22170842341406774
"Attivita' professionali, scientifiche e tecniche",Stagionale,24547.36541017808,20233.283396957504,6.587949915408591e-5,1.261734624882142e-4,1.350001398627954,-0.4142661137033941
Altre attivita' di servizi,Stagionale,22090.608046578083,19974.481203434447,2.825491541840832e-4,3.566330213405392e-4,1.5581722419611976,-0.6762952796433006
Attivita' manifatturiere,Stagionale,24456.44692109303,23871.853518346696,0.0012532730187978097,0.0012486863873850803,-0.11083205045967899,-0.731314481396826
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Stagionale,26101.075047646074,21725.108037156704,1.6953318644631323e-5,5.730173779886845e-5,0.9648554408264539,-0.16246883867939055
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo determinato,27625.94336296538,23638.807229489914,7.50375049463879e-4,9.104143378644834e-4,4.1021871024255026,-3.310896688154747
Attivita' immobiliari,Tempo determinato,27789.820043774598,22417.984620784275,2.1333033700957093e-4,2.719952187531809e-4,1.472717461626308,-1.303544506064408
Estrazione di minerali da cave e miniere,Stagionale,25214.62960194563,35240.74803149606,2.5340400022261873e-6,5.878288126378265e-6,0.10108889162277143,0.042171499042813296
Attivita' finanziarie e assicurative,Stagionale,30617.025680468334,23962.74917127072,5.816102016771329e-6,2.6180367885690602e-6,-0.08727484005822767,-0.028061545863844295
Costruzioni,Stagionale,22338.15923282803,20537.58144958737,3.34338134987598e-5,3.224958466184296e-5,-0.025387344260142358,-0.059134033727865895
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Stagionale,23913.5259989118,21790.586853694338,1.959448278689331e-5,1.7736114420681667e-5,-0.04246753876552512,-0.039625293063153266
Attivita' immobiliari,Stagionale,24388.232252663733,22336.777010016605,4.8168923657477384e-5,5.400677216110031e-5,0.13638676270295289,-0.1048044334290697
"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo determinato,38623.136921226105,30409.930352941174,8.14679084972266e-5,1.0450450716801912e-4,0.7951435329044062,-0.7637149329308058
"Fornitura di energia elettrica, gas, vapore e aria condizionata",Stagionale,36415.679992355304,20359.20808080808,2.2717705559316403e-7,1.431964873305729e-6,0.03420084675127082,-0.013319982889317681
