anno,tipologia_contrattuale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2022,Stagionale,5967,310284,275037,1838135,139880631,23442.37154348919,450.81483737479215,508.58841174096574,26446.59741053022,148700812.88365898,24920.53173850494,479.2409949712489,540.6574856606892,28114.18925435584,anno_intero
2022,Tempo determinato,437400,22744726,20433660,135106999,10166295378,23242.55916323731,446.9737458257356,497.5268932731581,25871.398450204222,10807331765.067495,24708.12017619455,475.15770315577754,528.8984824582329,27502.721087828115,anno_intero
2022,Tempo indeterminato,8649212,449758760,416125860,2687492765,281312896214,32524.68504807143,625.4750796048975,676.0283925012495,35153.47641006498,299051098373.1421,34575.53108573846,664.9144496332702,718.6554048170477,37370.081050486486,anno_intero
2023,Stagionale,6326,328950,288502,1951609,146777512,23202.26240910528,446.20006687946494,508.7573465695212,26455.382021615103,148014053.80286437,23397.732185087632,449.95912388771654,513.0434236257092,26678.258028536882,anno_intero
2023,Tempo determinato,455577,23689908,21116365,140925367,10793209155,23691.295115864057,455.60367541317595,511.130071629279,26578.763724722507,10884137623.028645,23890.884796705373,459.4419540602962,515.4361379446057,26802.679173119493,anno_intero
2023,Tempo indeterminato,9048919,470543391,435350778,2812946985,301773295153,33349.09895347721,641.3293671210016,693.1727480523763,36044.98289872357,304315614404.4996,33630.05176690162,646.7323103991903,699.0124510688242,36348.64745557886,anno_intero
2024,Stagionale,6602,343304,300077,2037224,154554764,23410.294456225387,450.19797031202665,515.0503504100615,26782.618221323195,154554764,23410.294456225387,450.19797031202665,515.0503504100615,26782.618221323195,anno_intero
2024,Tempo determinato,426031,22153519,19567923,131765291,10376629593,24356.513007269423,468.39644721906257,530.2877363632308,27574.962290888,10376629593,24356.513007269423,468.39644721906257,530.2877363632308,27574.962290888,anno_intero
2024,Tempo indeterminato,9204662,478641898,442871807,2861358360,316350165939,34368.471752574944,660.9328754145129,714.3154315510537,37144.4024406548,316350165939,34368.471752574944,660.9328754145129,714.3154315510537,37144.4024406548,anno_intero
2014,Stagionale,382223,8867766,7626332,42351668,2863615303,7492.001535752689,322.9240941856156,375.4905114280364,19525.506594257895,3424549992.0215125,8959.560235834873,386.1795622506855,449.0428677929983,23350.229125235914,complessivo
2014,Tempo determinato,2604602,74860793,62920338,382917377,25311418282,9717.960088335953,338.1131466507441,402.2772141179534,20918.41513413358,30269504840.565613,11621.547107990247,404.3438978874511,481.07664076066493,25015.985319554577,complessivo
2014,Tempo indeterminato,11065522,524605949,470881257,2982298559,271777659990,24560.76269967201,518.0605757675081,577.1681415427414,30012.743360222554,325014390855.97034,29371.80829390338,619.5400404351311,690.22579689548,35891.74143856496,complessivo
2015,Stagionale,385702,8716237,7501270,42117709,2882464445,7473.294006772067,330.7005586240943,384.263524043262,19981.703250249626,3450309940.6649995,8945.532926106163,395.8485686730408,459.96343827978455,23918.0987905488,complessivo
2015,Tempo determinato,2366091,65182837,54936643,334372418,22778026530,9626.859884087298,349.4482225436122,414.62356063511197,21560.425153025823,27265297756.409996,11523.351281252495,418.28952238470373,496.30440208022895,25807.828908171905,complessivo
2015,Tempo indeterminato,11710535,543215415,485408756,3095238242,283102569035,24175.032911391325,521.1607793475448,583.2250974784641,30327.705068880136,338873775134.89496,28937.514394935413,623.829452879011,698.1204416817214,36302.26296744952,complessivo
2016,Stagionale,374126,8632143,7419282,41952099,2887723781,7718.586200905577,334.5315040540918,389.21876550857615,20239.37580644596,3460065431.288289,9248.39607856254,400.83504539814606,466.36122353730303,24250.78362393976,complessivo
2016,Tempo determinato,2723199,76273900,63675743,391794009,26444844126,9710.948089361078,346.7089545178626,415.30483791920574,21595.8515717987,31686164583.40541,11635.640503468681,415.42604460248407,497.6175084977871,25876.11044188493,complessivo
