anno,eta_decennale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2020,50-59,Femmine,592468,30808310,26763655,184020112,18312762140,30909.284788376757,594.4098244921581,684.2399567622583,35580.47775163743,21427542797.243404,36166.58249431768,695.5117887752818,800.620946475487,41632.28921672532,anno_intero
2020,50-59,Maschi,909031,47269599,46274194,282158553,41733647279,45910.03747836983,882.885578932032,901.8773461294647,46897.62199873217,48832038898.302055,53718.78285592247,1033.0538005685653,1055.2758390195204,54874.343629015064,anno_intero
2020,60+,Femmine,131990,6863459,5822098,41034557,3946456696,29899.66433820744,574.9953042627632,677.8409940883853,35247.73169259603,4617701529.923754,34985.23774470607,672.7950920845822,793.1335971884625,41242.94705380005,anno_intero
2020,60+,Maschi,232889,12110217,11584515,72389790,11459807730,49207.166203642075,946.2925173017131,989.2350029327944,51440.22015250531,13408983238.328447,57576.71353446683,1107.245496784116,1157.4919829037683,60189.583110995954,anno_intero
2021,<20,Femmine,1102,57304,42748,341177,14664677,13307.32940108893,255.91018079017172,343.0494292130626,17838.570319079256,16846082.887715932,15286.826576874711,293.9774341706675,394.07885486375807,20492.100452915423,anno_intero
2021,<20,Maschi,5944,309088,280906,1840670,108588856,18268.65006729475,351.32019360182215,386.5665240329505,20101.459249713425,124741708.85988484,20986.155595539174,403.57991529883026,444.06922194572144,23091.599541177515,anno_intero
2021,20-29,Femmine,310774,16160236,14344420,96469243,6701521543,21563.9710625728,414.69205913824527,467.18665118561785,24293.705861652128,7698388951.027831,24771.663495105222,476.37849787761957,536.6817864387568,27907.452894815353,anno_intero
2021,20-29,Maschi,592033,30785689,29287759,183736941,14614113132,24684.625911055635,474.7047607737478,498.98365839462144,25947.150236520316,16787997523.036469,28356.52323947562,545.318232865812,573.2086747585047,29806.851087442243,anno_intero
2021,30-39,Femmine,649552,33776682,29876933,201760212,16578901460,25523.593892405843,490.8386637858627,554.9064042149172,28855.133019175693,19045052828.809982,29320.289720930705,563.8520926599593,637.4500631912244,33147.40328594367,anno_intero
2021,30-39,Maschi,1106494,57537668,55629991,343422294,34730840450,31388.186876747637,603.6191882159701,624.318642258993,32464.569397467636,39897136294.289825,36057.25498221393,693.4089906857162,717.1875381804363,37293.75198538269,anno_intero
