"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
11,2025-03-10,1.01909230966815,0.456209628822586,0.602480806638582,1.92934614916216,1.4636107385765,1.71320008084855,1.43520074119791,2.44715211142658,4.06234089088666,2.42473112146043,0.396849989604839,0.74563185537986,3.95796875587154,1.78143718197948,1.56583402677859,3.22582034883744,2.0949906621597,0.99769556257665,4.07159325374543,2.03105100577104,3.58547986976277,0.983747845358286,1.4553199480975,3.91195557821239,2.4832749783347,2.46670181210739,2.45224131454287
12,2025-03-17,1.39812670144173,0.541729838134825,0.578721476516867,2.51544119806561,1.52351918167504,1.60459697527673,1.19354634173912,2.31440876851864,3.9719578793274,1.91624906575597,0.364596500546659,0.674262198696945,4.42963117323258,2.02581261905013,1.70350198969278,3.57323203906356,2.24172746327389,0.98269709561382,4.11227573037727,2.37231237509524,4.44829133310119,0.915618205623143,1.44044468672926,3.81128368984461,3.73070343328789,2.88811446241324,2.58892894809965
13,2025-03-24,1.43421913324705,0.560245291248135,0.577970206652014,2.69755203149846,1.74462874420455,1.62400415573521,1.2426764521631,2.4546790884093,4.15210154586834,2.78264364600879,0.339482689180419,0.702738422319755,4.50407282501712,1.62198763668734,1.6433836521499,4.06561838061397,2.90032785530658,1.00089607690553,3.09717120755011,2.5950066089365,4.12533917535595,0.961044088678742,NA,3.7847754867364,3.94599631940593,1.97057277982133,2.7660146329217
14,2025-03-31,1.99612118275119,1.31860898962872,0.671764048801093,2.30208204647266,2.33361243289996,1.51495832819138,1.69108941187203,2.87866479791409,4.52640146511314,2.8526425003627,0.263532201707294,1.16260560179389,3.80569175023762,1.47282276905254,1.48718428458627,4.71721519355951,4.11896900336188,1.41008487508945,3.0338687608135,2.99069533660681,4.75986105559322,1.35233341035666,2.38131679001206,4.49520702234288,4.97360661242322,3.78112567796243,3.01509506981697
15,2025-04-07,3.25094727114002,1.85400493653028,0.758191676805871,2.96223014506363,2.78192140736701,1.27244691220567,1.60016293829275,2.74583173460018,6.86069830862343,2.77582065481975,0.308034199507101,1.14230875856869,4.28224024144528,1.3615699571232,1.42385641135809,5.22272065816866,4.67006741582653,1.41455105827966,3.04640089083748,3.38567015328119,6.15019684931587,1.75406228480147,2.26076863780915,5.19745002370392,6.90706241399952,8.87555665512123,3.55577602220257
16,2025-04-14,2.88315306817676,2.20875054993082,0.777832269736003,2.56867410704726,2.36038993888793,1.35043354948533,1.55953475777321,2.63407189948457,8.31086002889719,2.6112938365303,0.272574717062672,1.26280703764926,4.24002606326767,1.25681133136196,1.30396378325195,4.94913997260158,3.14051615117909,1.68410585762939,3.44000263699302,3.11230013614493,5.24758640313113,2.52054179477725,1.89712248725937,4.99393746619857,5.494357889068,6.72897651399508,3.56188449899881
17,2025-04-21,4.1437194844847,1.85291593892907,0.782758512946923,1.77776170509822,2.37406089366251,2.07840619149849,1.91228062865649,2.81270429075979,7.05925523234403,4.46533884020298,0.314312568057587,0.881417440228001,3.66323925188338,0.903950634381162,1.38153477370341,4.52868774806806,2.10078910267914,1.55267889521092,3.99057357825762,2.40239466658062,3.49753635295663,1.73681207941723,1.81573664728084,4.89219044056065,3.53974338941852,4.72267638807456,3.22279078023262
18,2025-04-28,2.89729906123838,1.57325513827612,0.809506158591577,1.57552235140127,2.31482064053323,1.30212178408545,2.20737544547217,2.45123921218803,6.85465397894072,7.67092448234981,0.338918887874733,0.968880761413447,3.79327250791897,0.902873086724492,1.45874656200125,4.31455683886011,1.97807157234323,3.44505063189499,6.71012000307874,2.37185945687209,3.15855320269585,1.71551219919786,3.15782850439887,4.51053796968527,3.53355854528764,5.02692753937237,3.32124994831651
19,2025-05-05,1.59702795917326,0.645665279982776,0.723318931392596,1.51834633865283,2.26425943044477,1.12327939457492,1.64509917898236,2.55046230461959,6.93144672518609,3.00034137472641,0.175189628537493,1.06764879453348,3.435706540147,1.09407015475369,1.38720506171387,4.3495888171267,1.86065802991376,1.39393420673573,7.42397807636897,2.30364642805379,2.58531716845696,1.73658114062143,2.94116414093243,4.04700821581598,3.49352612026096,4.07234731110165,3.03313914275167
20,2025-05-12,1.55585113960136,0.668493118230098,0.712596257554892,1.58143209068569,2.07896137607082,1.12131563571008,1.88986732461529,2.66736461671177,4.66520052483079,2.89416295014593,0.253564758214815,0.941143381488576,3.51044971758334,1.19591409444208,1.31252629202147,4.54334416608619,2.17934551967865,1.34789211232839,5.75013373642353,2.40360347763727,3.36823032735242,2.10247618811793,2.20559213660935,4.46538004549956,3.72940334242249,4.92598322014453,2.79174885183028
21,2025-05-19,1.3958982890852,0.497857634057032,0.751636140094753,1.74760374921665,2.12497516505596,1.08911130411451,1.39012187360863,2.41378245113296,4.69763255613817,2.9354966192099,0.241601767871687,0.953679134675446,3.9487965377,1.31307258456779,1.47437952015593,4.82201140210281,2.08115011174603,1.34164327987412,4.69543961641918,2.29633565087581,3.02766956887775,2.39216028889075,2.31694292005607,4.45141737336978,3.55519434861302,5.13240703226148,2.83338348739744
