"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"2020";"Maschi";"";"207.111 ";"7.807.191 ";"418.254.132 ";"1.508.459 ";"2.073.234 ";"126.907 ";"14.671.122 ";"799.536.827 ";"2.532.679 ";"3.366.680 ";"259.333 ";"61.769.869 ";"3.776.209.270 ";"10.484.795 ";"12.154.031 ";"102.272 ";"31.668.098 ";"2.297.892.169 ";"5.003.755 ";"5.318.135 ";"695.623 ";"115.916.280 ";"7.291.892.398 ";"19.529.688 ";"22.912.080 "
" ";" ";"Femmine";"";"189.897 ";"6.847.023 ";"321.332.540 ";"1.340.840 ";"1.958.089 ";"95.761 ";"10.979.599 ";"509.060.812 ";"1.713.154 ";"2.584.388 ";"150.493 ";"34.270.478 ";"1.702.820.208 ";"5.032.553 ";"6.883.904 ";"41.036 ";"12.715.774 ";"774.259.360 ";"1.827.104 ";"2.133.866 ";"477.187 ";"64.812.874 ";"3.307.472.920 ";"9.913.652 ";"13.560.247 "
" ";"2020";"Totale";"";"397.008 ";"14.654.214 ";"739.586.672 ";"2.849.299 ";"4.031.323 ";"222.668 ";"25.650.721 ";"1.308.597.639 ";"4.245.833 ";"5.951.068 ";"409.826 ";"96.040.347 ";"5.479.029.478 ";"15.517.349 ";"19.037.935 ";"143.308 ";"44.383.872 ";"3.072.151.529 ";"6.830.859 ";"7.452.001 ";"1.172.810 ";"180.729.154 ";"10.599.365.318 ";"29.443.340 ";"36.472.327 "
" ";"2021";"Maschi";"";"204.438 ";"7.556.607 ";"415.522.125 ";"1.485.535 ";"1.994.053 ";"138.173 ";"16.028.496 ";"915.335.598 ";"2.767.702 ";"3.542.719 ";"225.204 ";"52.420.667 ";"3.197.830.284 ";"8.628.823 ";"10.155.522 ";"193.144 ";"59.912.198 ";"4.255.868.003 ";"9.427.756 ";"10.043.474 ";"760.959 ";"135.917.968 ";"8.784.556.010 ";"22.309.816 ";"25.735.768 "
" ";" ";"Femmine";"";"194.709 ";"6.808.979 ";"327.868.781 ";"1.343.232 ";"1.923.473 ";"108.304 ";"12.437.697 ";"607.771.955 ";"1.976.524 ";"2.812.077 ";"148.245 ";"33.960.661 ";"1.706.643.350 ";"4.871.593 ";"6.597.601 ";"74.677 ";"23.160.348 ";"1.367.919.799 ";"3.280.926 ";"3.883.196 ";"525.935 ";"76.367.685 ";"4.010.203.885 ";"11.472.274 ";"15.216.347 "
" ";"2021";"Totale";"";"399.147 ";"14.365.586 ";"743.390.906 ";"2.828.767 ";"3.917.526 ";"246.477 ";"28.466.193 ";"1.523.107.553 ";"4.744.226 ";"6.354.796 ";"373.449 ";"86.381.328 ";"4.904.473.634 ";"13.500.416 ";"16.753.123 ";"267.821 ";"83.072.546 ";"5.623.787.802 ";"12.708.682 ";"13.926.670 ";"1.286.894 ";"212.285.653 ";"12.794.759.895 ";"33.782.090 ";"40.952.115 "
" ";"2022";"Maschi";"";"196.662 ";"7.191.217 ";"408.205.631 ";"1.488.443 ";"1.959.830 ";"136.961 ";"15.926.652 ";"938.565.834 ";"2.840.956 ";"3.552.260 ";"250.482 ";"59.088.893 ";"3.719.509.775 ";"9.792.747 ";"11.356.718 ";"242.623 ";"75.218.365 ";"5.306.124.193 ";"11.762.267 ";"12.616.374 ";"826.728 ";"157.425.127 ";"10.372.405.433 ";"25.884.413 ";"29.485.182 "
" ";" ";"Femmine";"";"196.188 ";"6.750.206 ";"337.402.894 ";"1.424.915 ";"1.996.302 ";"113.842 ";"13.112.498 ";"657.450.404 ";"2.208.574 ";"3.050.072 ";"163.856 ";"37.752.704 ";"1.964.411.935 ";"5.467.422 ";"7.284.710 ";"116.759 ";"36.175.300 ";"2.079.747.751 ";"5.083.767 ";"6.071.450 ";"590.645 ";"93.790.708 ";"5.039.012.984 ";"14.184.678 ";"18.402.534 "
" ";"2022";"Totale";"";"392.850 ";"13.941.423 ";"745.608.525 ";"2.913.358 ";"3.956.132 ";"250.803 ";"29.039.150 ";"1.596.016.238 ";"5.049.530 ";"6.602.332 ";"414.338 ";"96.841.597 ";"5.683.921.710 ";"15.260.169 ";"18.641.428 ";"359.382 ";"111.393.665 ";"7.385.871.944 ";"16.846.034 ";"18.687.824 ";"1.417.373 ";"251.215.835 ";"15.411.418.417 ";"40.069.092 ";"47.887.716 "
" ";"2023";"Maschi";"";"200.341 ";"7.361.444 ";"429.577.042 ";"1.545.515 ";"2.033.441 ";"139.438 ";"16.266.516 ";"982.741.096 ";"2.922.228 ";"3.645.142 ";"253.254 ";"59.586.132 ";"3.853.578.667 ";"9.884.111 ";"11.456.352 ";"263.627 ";"81.795.455 ";"5.947.985.496 ";"12.782.960 ";"13.708.590 ";"856.660 ";"165.009.547 ";"11.213.882.301 ";"27.134.815 ";"30.843.525 "
