"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"Trasporto e magazzinaggio";"Tempo determinato";"";"224.481 ";"35.924.703 ";"2.803.261.346 ";"6.163.212 ";"7.010.286 ";"212.880 ";"30.382.660 ";"2.406.086.717 ";"5.327.511 ";"6.129.164 ";"223.874 ";"36.018.399 ";"2.838.250.456 ";"6.190.183 ";"7.060.288 ";"227.763 ";"38.163.488 ";"3.037.849.788 ";"6.539.330 ";"7.422.468 ";"233.392 ";"38.948.156 ";"3.168.565.793 ";"6.669.667 ";"7.562.916 "
" ";"Tempo indeterminato";"";"903.062 ";"253.763.235 ";"24.904.290.152 ";"41.820.342 ";"44.115.490 ";"907.639 ";"240.677.795 ";"23.633.704.273 ";"41.225.903 ";"43.632.634 ";"921.978 ";"253.583.246 ";"25.203.132.354 ";"42.386.770 ";"44.798.938 ";"950.016 ";"268.680.621 ";"27.103.005.752 ";"44.437.724 ";"46.686.337 ";"973.030 ";"277.356.367 ";"28.889.569.270 ";"45.855.360 ";"48.019.016 "
" ";"Stagionale";"";"15.375 ";"2.421.194 ";"177.523.205 ";"383.765 ";"470.801 ";"11.397 ";"1.189.202 ";"85.742.934 ";"197.173 ";"247.977 ";"13.732 ";"1.680.585 ";"114.971.596 ";"265.342 ";"338.465 ";"17.184 ";"2.643.071 ";"198.760.962 ";"416.112 ";"518.851 ";"17.693 ";"2.783.912 ";"212.759.266 ";"439.292 ";"542.796 "
"Trasporto e magazzinaggio";"Totale";"";"1.142.918 ";"292.109.132 ";"27.885.074.703 ";"48.367.319 ";"51.596.577 ";"1.131.916 ";"272.249.657 ";"26.125.533.924 ";"46.750.588 ";"50.009.775 ";"1.159.584 ";"291.282.230 ";"28.156.354.406 ";"48.842.294 ";"52.197.691 ";"1.194.963 ";"309.487.180 ";"30.339.616.502 ";"51.393.166 ";"54.627.656 ";"1.224.115 ";"319.088.435 ";"32.270.894.329 ";"52.964.319 ";"56.124.728 "
"Attivita' dei servizi di alloggio e di ristorazione";"Tempo determinato";"";"602.034 ";"67.912.820 ";"3.218.985.699 ";"10.895.797 ";"15.257.740 ";"448.026 ";"35.081.272 ";"1.537.059.225 ";"5.702.976 ";"8.708.051 ";"499.004 ";"48.210.200 ";"2.257.834.520 ";"7.734.040 ";"11.103.864 ";"592.580 ";"68.482.155 ";"3.381.478.802 ";"11.109.458 ";"15.327.304 ";"652.326 ";"77.884.309 ";"3.919.587.257 ";"12.611.033 ";"17.314.074 "
" ";"Tempo indeterminato";"";"863.902 ";"209.119.658 ";"11.693.818.397 ";"27.816.896 ";"38.211.459 ";"805.404 ";"135.817.690 ";"7.477.470.568 ";"19.871.707 ";"29.422.308 ";"779.341 ";"150.510.197 ";"8.526.052.658 ";"21.480.284 ";"30.558.636 ";"818.808 ";"200.247.934 ";"11.899.233.328 ";"27.305.617 ";"36.650.964 ";"863.004 ";"217.198.162 ";"13.250.392.772 ";"29.609.913 ";"39.247.142 "
" ";"Stagionale";"";"317.875 ";"38.720.500 ";"2.634.177.097 ";"6.780.778 ";"7.991.311 ";"294.502 ";"24.518.923 ";"1.619.858.019 ";"4.392.241 ";"5.447.829 ";"342.521 ";"33.265.599 ";"2.220.281.186 ";"5.749.682 ";"6.956.668 ";"391.409 ";"47.481.933 ";"3.299.393.019 ";"8.314.159 ";"9.836.823 ";"404.767 ";"50.812.003 ";"3.605.260.821 ";"8.880.688 ";"10.411.694 "
"Attivita' dei servizi di alloggio e di ristorazione";"Totale";"";"1.783.811 ";"315.752.978 ";"17.546.981.193 ";"45.493.471 ";"61.460.510 ";"1.547.932 ";"195.417.885 ";"10.634.387.812 ";"29.966.925 ";"43.578.188 ";"1.620.866 ";"231.985.996 ";"13.004.168.364 ";"34.964.006 ";"48.619.168 ";"1.802.797 ";"316.212.022 ";"18.580.105.149 ";"46.729.234 ";"61.815.091 ";"1.920.097 ";"345.894.474 ";"20.775.240.850 ";"51.101.633 ";"66.972.910 "
"Servizi di informazione e comunicazione";"Tempo determinato";"";"80.707 ";"6.483.291 ";"605.886.775 ";"1.159.066 ";"1.326.524 ";"61.077 ";"5.131.617 ";"474.088.524 ";"917.583 ";"1.059.805 ";"75.746 ";"6.400.670 ";"643.008.004 ";"1.155.952 ";"1.311.531 ";"82.030 ";"7.250.472 ";"759.106.945 ";"1.308.463 ";"1.486.426 ";"86.797 ";"7.363.042 ";"785.942.326 ";"1.329.748 ";"1.512.055 "
" ";"Tempo indeterminato";"";"471.287 ";"132.684.271 ";"16.143.947.098 ";"21.339.197 ";"22.687.998 ";"484.316 ";"131.025.418 ";"16.232.517.043 ";"21.515.903 ";"22.847.036 ";"488.225 ";"138.844.484 ";"17.670.063.758 ";"22.524.115 ";"23.792.674 ";"515.215 ";"148.128.145 ";"19.042.247.713 ";"23.995.947 ";"25.286.667 ";"534.979 ";"154.605.612 ";"20.402.608.573 ";"25.110.882 ";"26.414.160 "
" ";"Stagionale";"";"13.095 ";"603.289 ";"90.008.239 ";"140.629 ";"148.373 ";"19.988 ";"768.433 ";"116.511.391 ";"178.652 ";"189.562 ";"29.140 ";"1.075.761 ";"181.189.347 ";"252.412 ";"264.135 ";"25.003 ";"1.152.153 ";"202.247.445 ";"267.949 ";"282.256 ";"22.688 ";"980.050 ";"178.484.422 ";"231.972 ";"242.342 "
"Servizi di informazione e comunicazione";"Totale";"";"565.089 ";"139.770.851 ";"16.839.842.112 ";"22.638.891 ";"24.162.895 ";"565.381 ";"136.925.468 ";"16.823.116.958 ";"22.612.138 ";"24.096.403 ";"593.111 ";"146.320.915 ";"18.494.261.109 ";"23.932.480 ";"25.368.340 ";"622.248 ";"156.530.770 ";"20.003.602.103 ";"25.572.359 ";"27.055.349 ";"644.464 ";"162.948.704 ";"21.367.035.321 ";"26.672.602 ";"28.168.557 "
"Attivita' finanziarie e assicurative";"Tempo determinato";"";"12.452 ";"2.346.378 ";"256.108.809 ";"374.430 ";"422.778 ";"10.908 ";"2.019.046 ";"233.112.427 ";"326.710 ";"366.617 ";"11.910 ";"2.333.500 ";"259.522.675 ";"373.348 ";"418.496 ";"11.994 ";"2.344.237 ";"261.695.733 ";"375.254 ";"421.501 ";"11.858 ";"2.374.402 ";"273.207.943 ";"382.139 ";"425.706 "
" ";"Tempo indeterminato";"";"497.943 ";"149.571.089 ";"24.717.303.786 ";"24.225.564 ";"25.266.900 ";"494.584 ";"146.408.584 ";"24.678.502.829 ";"23.815.328 ";"24.877.223 ";"491.923 ";"146.746.624 ";"25.096.632.158 ";"23.766.269 ";"24.796.597 ";"477.954 ";"142.778.533 ";"25.119.916.970 ";"23.081.882 ";"24.071.352 ";"470.270 ";"140.879.287 ";"25.825.723.444 ";"22.794.107 ";"23.756.711 "
" ";"Stagionale";"";"156 ";"14.858 ";"1.305.102 ";"2.569 ";"3.095 ";"333 ";"27.474 ";"2.726.420 ";"4.981 ";"5.929 ";"350 ";"43.632 ";"5.211.355 ";"7.441 ";"8.503 ";"64 ";"6.967 ";"603.092 ";"1.312 ";"1.476 ";"57 ";"6.637 ";"522.542 ";"1.043 ";"1.308 "
"Attivita' finanziarie e assicurative";"Totale";"";"510.551 ";"151.932.325 ";"24.974.717.697 ";"24.602.563 ";"25.692.773 ";"505.825 ";"148.455.104 ";"24.914.341.676 ";"24.147.019 ";"25.249.769 ";"504.183 ";"149.123.756 ";"25.361.366.188 ";"24.147.058 ";"25.223.596 ";"490.012 ";"145.129.737 ";"25.382.215.795 ";"23.458.448 ";"24.494.329 ";"482.185 ";"143.260.326 ";"26.099.453.929 ";"23.177.289 ";"24.183.725 "
"Attivita' immobiliari";"Tempo determinato";"";"7.029 ";"1.080.261 ";"63.989.664 ";"147.242 ";"206.381 ";"6.207 ";"810.107 ";"46.782.221 ";"112.576 ";"161.197 ";"6.519 ";"986.406 ";"56.335.382 ";"134.305 ";"188.914 ";"7.294 ";"1.158.990 ";"66.060.157 ";"160.030 ";"222.199 ";"8.059 ";"1.298.404 ";"77.075.869 ";"182.104 ";"247.035 "
" ";"Tempo indeterminato";"";"43.313 ";"11.939.223 ";"1.116.029.045 ";"1.658.006 ";"2.054.772 ";"44.219 ";"10.727.324 ";"1.036.166.184 ";"1.550.669 ";"1.952.820 ";"46.669 ";"12.274.581 ";"1.170.007.607 ";"1.730.668 ";"2.139.812 ";"49.097 ";"13.618.270 ";"1.310.602.988 ";"1.915.804 ";"2.343.425 ";"51.599 ";"14.434.354 ";"1.434.041.092 ";"2.037.671 ";"2.477.680 "
" ";"Stagionale";"";"1.762 ";"208.434 ";"13.952.079 ";"34.214 ";"43.936 ";"1.444 ";"129.566 ";"8.407.745 ";"21.987 ";"28.673 ";"1.613 ";"160.111 ";"9.985.791 ";"25.703 ";"34.182 ";"1.794 ";"201.366 ";"12.117.550 ";"30.576 ";"42.779 ";"1.915 ";"227.224 ";"14.559.373 ";"35.243 ";"48.098 "
"Attivita' immobiliari";"Totale";"";"52.104 ";"13.227.918 ";"1.193.970.788 ";"1.839.461 ";"2.305.089 ";"51.870 ";"11.666.997 ";"1.091.356.150 ";"1.685.232 ";"2.142.690 ";"54.801 ";"13.421.098 ";"1.236.328.780 ";"1.890.676 ";"2.362.908 ";"58.185 ";"14.978.626 ";"1.388.780.695 ";"2.106.410 ";"2.608.403 ";"61.573 ";"15.959.982 ";"1.525.676.334 ";"2.255.017 ";"2.772.813 "
"Attivita' professionali, scientifiche e tecniche";"Tempo determinato";"";"75.489 ";"9.884.050 ";"679.663.208 ";"1.642.350 ";"1.986.975 ";"61.465 ";"8.218.264 ";"567.951.930 ";"1.360.060 ";"1.660.770 ";"70.741 ";"10.312.203 ";"697.613.570 ";"1.661.522 ";"2.024.558 ";"81.266 ";"11.975.613 ";"808.867.999 ";"1.953.658 ";"2.360.746 ";"83.874 ";"12.099.760 ";"853.683.340 ";"2.007.091 ";"2.399.225 "
" ";"Tempo indeterminato";"";"423.293 ";"119.446.029 ";"11.398.017.081 ";"17.904.010 ";"20.514.430 ";"427.374 ";"112.132.825 ";"10.968.920.393 ";"17.402.858 ";"20.068.444 ";"451.279 ";"123.668.290 ";"12.362.477.437 ";"18.849.292 ";"21.431.933 ";"485.638 ";"136.748.341 ";"14.175.029.801 ";"20.857.642 ";"23.469.888 ";"512.197 ";"145.253.273 ";"15.641.001.290 ";"22.238.450 ";"24.878.067 "
" ";"Stagionale";"";"4.867 ";"491.317 ";"28.851.573 ";"79.766 ";"98.454 ";"3.461 ";"323.495 ";"20.005.398 ";"51.052 ";"67.252 ";"4.321 ";"411.082 ";"25.230.551 ";"65.072 ";"85.255 ";"4.205 ";"469.068 ";"28.854.964 ";"73.549 ";"96.323 ";"4.679 ";"518.402 ";"31.620.589 ";"82.519 ";"106.983 "
"Attivita' professionali, scientifiche e tecniche";"Totale";"";"503.649 ";"129.821.396 ";"12.106.531.862 ";"19.626.126 ";"22.599.859 ";"492.300 ";"120.674.584 ";"11.556.877.721 ";"18.813.971 ";"21.796.466 ";"526.341 ";"134.391.575 ";"13.085.321.558 ";"20.575.886 ";"23.541.746 ";"571.109 ";"149.193.022 ";"15.012.752.764 ";"22.884.848 ";"25.926.957 ";"600.750 ";"157.871.435 ";"16.526.305.219 ";"24.328.061 ";"27.384.275 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"Tempo determinato";"";"758.174 ";"106.247.916 ";"6.456.383.445 ";"16.960.858 ";"20.952.435 ";"711.796 ";"92.136.954 ";"5.567.794.241 ";"14.712.202 ";"18.454.805 ";"805.517 ";"115.975.369 ";"7.284.084.684 ";"18.602.330 ";"22.806.242 ";"830.088 ";"122.823.698 ";"7.716.513.463 ";"19.826.520 ";"24.200.641 ";"797.681 ";"117.135.188 ";"7.494.945.061 ";"18.821.716 ";"23.139.761 "
" ";"Tempo indeterminato";"";"964.095 ";"266.347.873 ";"18.321.340.359 ";"37.919.486 ";"46.555.676 ";"973.738 ";"248.942.758 ";"17.213.088.419 ";"36.450.748 ";"45.071.909 ";"964.821 ";"259.512.234 ";"18.353.776.680 ";"37.808.737 ";"45.880.498 ";"999.857 ";"278.343.056 ";"20.308.474.566 ";"40.692.729 ";"48.566.615 ";"1.021.971 ";"286.912.127 ";"21.751.506.269 ";"41.999.882 ";"49.907.347 "
" ";"Stagionale";"";"41.639 ";"4.244.875 ";"260.087.229 ";"712.164 ";"889.136 ";"32.515 ";"2.756.267 ";"169.568.301 ";"473.471 ";"597.258 ";"38.146 ";"3.612.670 ";"226.241.730 ";"610.287 ";"755.831 ";"46.139 ";"5.077.287 ";"323.848.567 ";"868.379 ";"1.060.519 ";"45.001 ";"5.070.234 ";"330.422.351 ";"863.218 ";"1.051.266 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"Totale";"";"1.763.908 ";"376.840.664 ";"25.037.811.033 ";"55.592.508 ";"68.397.247 ";"1.718.049 ";"343.835.979 ";"22.950.450.961 ";"51.636.421 ";"64.123.972 ";"1.808.484 ";"379.100.273 ";"25.864.103.094 ";"57.021.353 ";"69.442.571 ";"1.876.084 ";"406.244.041 ";"28.348.836.596 ";"61.387.628 ";"73.827.775 ";"1.864.653 ";"409.117.549 ";"29.576.873.681 ";"61.684.817 ";"74.098.374 "
"Istruzione";"Tempo determinato";"";"400.509 ";"73.927.080 ";"5.083.657.807 ";"12.367.439 ";"13.253.317 ";"539.982 ";"93.908.901 ";"6.573.263.278 ";"16.453.212 ";"17.547.255 ";"606.531 ";"118.172.629 ";"8.451.775.813 ";"20.573.876 ";"21.655.099 ";"612.793 ";"120.149.270 ";"8.957.922.931 ";"21.078.815 ";"22.143.485 ";"585.917 ";"119.658.741 ";"9.048.778.578 ";"20.545.681 ";"21.724.303 "
