"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"";"14.228 ";"2.491.661 ";"460.007 ";"406.274 ";"180.486.186 ";"13.711 ";"2.299.964 ";"425.883 ";"372.837 ";"167.884.129 ";"15.153 ";"2.607.656 ";"484.003 ";"422.106 ";"188.040.788 ";"18.674 ";"3.399.652 ";"627.010 ";"549.383 ";"238.317.901 ";"20.835 ";"3.897.788 ";"715.502 ";"630.563 ";"270.505.042 "
"Costruzioni";"";"190.090 ";"22.602.705 ";"4.621.328 ";"4.370.974 ";"1.728.998.148 ";"161.007 ";"18.452.851 ";"3.769.540 ";"3.571.188 ";"1.444.925.265 ";"182.564 ";"21.761.396 ";"4.426.932 ";"4.181.862 ";"1.680.241.440 ";"218.064 ";"27.889.334 ";"5.607.412 ";"5.262.442 ";"2.112.144.613 ";"235.312 ";"31.437.164 ";"6.288.759 ";"5.894.091 ";"2.373.249.261 "
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli";"";"284.463 ";"45.103.355 ";"8.598.543 ";"6.688.864 ";"2.714.679.552 ";"248.435 ";"38.023.239 ";"7.248.669 ";"5.594.445 ";"2.310.133.251 ";"297.543 ";"46.475.710 ";"8.822.280 ";"6.738.945 ";"2.797.434.245 ";"394.654 ";"63.982.209 ";"12.169.609 ";"9.213.940 ";"3.780.940.621 ";"420.731 ";"69.492.879 ";"13.224.234 ";"9.934.266 ";"4.094.239.129 "
"Trasporto e magazzinaggio";"";"144.182 ";"22.279.243 ";"4.409.472 ";"3.863.580 ";"1.795.687.046 ";"134.892 ";"20.798.958 ";"4.088.426 ";"3.605.830 ";"1.723.086.435 ";"166.149 ";"25.938.370 ";"5.110.147 ";"4.503.027 ";"2.087.530.628 ";"215.806 ";"35.438.410 ";"6.921.522 ";"6.079.398 ";"2.732.969.754 ";"230.062 ";"38.869.504 ";"7.529.844 ";"6.637.700 ";"3.007.141.463 "
"Attivita' dei servizi di alloggio e di ristorazione";"";"340.497 ";"39.068.475 ";"8.534.909 ";"6.074.242 ";"1.929.124.866 ";"296.433 ";"32.960.909 ";"7.151.968 ";"5.117.614 ";"1.649.076.624 ";"365.414 ";"42.260.582 ";"9.005.873 ";"6.382.977 ";"2.110.565.995 ";"563.872 ";"64.976.770 ";"14.299.575 ";"10.052.599 ";"3.069.739.238 ";"616.740 ";"73.040.357 ";"16.115.438 ";"11.372.253 ";"3.443.199.828 "
"Servizi di informazione e comunicazione";"";"71.458 ";"6.626.992 ";"1.328.278 ";"1.188.537 ";"593.844.785 ";"73.807 ";"5.435.659 ";"1.117.872 ";"1.003.765 ";"545.538.659 ";"76.165 ";"5.868.346 ";"1.206.261 ";"1.070.916 ";"575.824.550 ";"80.288 ";"6.946.575 ";"1.401.900 ";"1.225.674 ";"634.471.940 ";"87.990 ";"7.491.498 ";"1.515.099 ";"1.320.749 ";"690.234.185 "
"Attivita' finanziarie e assicurative";"";"17.953 ";"3.848.559 ";"680.593 ";"631.301 ";"478.736.940 ";"14.461 ";"2.983.765 ";"527.875 ";"488.953 ";"364.511.940 ";"13.848 ";"2.870.191 ";"509.388 ";"466.761 ";"331.346.185 ";"13.664 ";"2.815.887 ";"500.146 ";"449.173 ";"302.608.956 ";"14.055 ";"2.878.392 ";"513.077 ";"456.302 ";"298.106.842 "
"Attivita' immobiliari";"";"4.878 ";"802.767 ";"151.246 ";"115.503 ";"51.616.294 ";"4.082 ";"627.320 ";"119.436 ";"91.146 ";"41.572.444 ";"4.494 ";"701.717 ";"132.182 ";"99.050 ";"46.371.812 ";"6.544 ";"1.033.017 ";"196.041 ";"143.296 ";"63.760.807 ";"7.342 ";"1.196.862 ";"225.488 ";"159.875 ";"69.797.458 "
"Attivita' professionali, scientifiche e tecniche";"";"58.675 ";"8.697.843 ";"1.691.223 ";"1.440.156 ";"649.146.540 ";"50.435 ";"6.977.803 ";"1.355.545 ";"1.166.198 ";"559.529.164 ";"61.845 ";"8.541.970 ";"1.663.086 ";"1.412.714 ";"642.147.020 ";"76.052 ";"10.579.403 ";"2.056.631 ";"1.710.438 ";"750.391.099 ";"78.504 ";"11.109.595 ";"2.187.568 ";"1.804.909 ";"774.789.802 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"566.479 ";"80.475.961 ";"15.884.606 ";"13.060.639 ";"5.003.392.673 ";"545.899 ";"72.492.609 ";"14.423.905 ";"11.833.332 ";"4.566.362.431 ";"625.803 ";"85.939.562 ";"17.120.855 ";"14.075.347 ";"5.406.428.067 ";"805.235 ";"116.816.421 ";"23.142.403 ";"19.017.212 ";"7.317.769.834 ";"848.730 ";"127.160.674 ";"24.945.352 ";"20.396.246 ";"7.824.136.612 "
"Istruzione";"";"329.760 ";"56.987.636 ";"10.492.232 ";"9.779.760 ";"3.770.642.546 ";"314.346 ";"55.505.865 ";"10.100.261 ";"9.467.825 ";"3.729.302.385 ";"333.591 ";"57.279.708 ";"10.365.978 ";"9.637.133 ";"3.995.207.717 ";"344.668 ";"60.557.927 ";"10.988.364 ";"10.085.517 ";"4.152.554.385 ";"364.200 ";"66.590.586 ";"12.070.069 ";"11.149.547 ";"4.772.828.860 "
"Sanita' e assistenza sociale";"";"111.889 ";"19.915.436 ";"3.735.675 ";"2.861.621 ";"1.199.914.050 ";"105.110 ";"17.916.196 ";"3.359.860 ";"2.557.322 ";"1.090.466.929 ";"130.156 ";"22.603.394 ";"4.240.013 ";"3.215.485 ";"1.403.041.489 ";"162.246 ";"29.165.470 ";"5.446.391 ";"4.132.272 ";"1.751.350.924 ";"172.067 ";"30.806.868 ";"5.756.754 ";"4.343.787 ";"1.808.846.824 "
"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"62.337 ";"5.879.096 ";"1.325.221 ";"987.502 ";"406.438.611 ";"64.626 ";"6.191.133 ";"1.266.598 ";"1.022.807 ";"673.469.792 ";"68.789 ";"6.894.223 ";"1.394.867 ";"1.114.200 ";"725.515.551 ";"84.189 ";"8.504.782 ";"1.743.523 ";"1.361.131 ";"824.897.317 ";"89.703 ";"9.120.129 ";"1.876.208 ";"1.456.689 ";"865.707.072 "
"Altre attivita' di servizi";"";"77.505 ";"11.477.911 ";"2.264.595 ";"1.711.968 ";"618.102.075 ";"64.246 ";"9.073.556 ";"1.789.137 ";"1.352.915 ";"503.653.429 ";"72.236 ";"10.536.128 ";"2.061.368 ";"1.536.457 ";"575.995.323 ";"96.296 ";"14.483.285 ";"2.849.629 ";"2.084.208 ";"758.323.296 ";"102.328 ";"15.742.985 ";"3.097.122 ";"2.247.032 ";"819.817.216 "
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"";"6.525 ";"463.674 ";"91.091 ";"70.849 ";"24.114.440 ";"6.173 ";"405.467 ";"80.837 ";"63.572 ";"21.382.402 ";"6.502 ";"441.323 ";"87.319 ";"68.447 ";"23.197.424 ";"6.867 ";"505.006 ";"99.600 ";"76.683 ";"26.160.536 ";"6.970 ";"530.221 ";"104.116 ";"80.025 ";"27.406.669 "
"Totale";"";"2.604.602 ";"382.917.377 ";"74.860.793 ";"62.920.334 ";"25.311.418.282 ";"2.366.091 ";"334.372.418 ";"65.182.837 ";"54.936.643 ";"22.778.026.530 ";"2.723.199 ";"391.794.009 ";"76.273.900 ";"63.675.744 ";"26.444.844.126 ";"3.482.460 ";"517.083.023 ";"101.211.778 ";"83.285.608 ";"33.625.814.147 ";"3.713.460 ";"565.648.786 ";"110.446.865 ";"90.666.917 ";"36.648.284.743 "
