geo,tassazione,anno,prezzo_eur_kwh
FR,I_TAX,2008.5,0.0707
FR,I_TAX,2009,0.0852
FR,I_TAX,2009.5,0.0752
FR,I_TAX,2010,0.0823
FR,I_TAX,2010.5,0.0714
FR,I_TAX,2011,0.0851
FR,I_TAX,2011.5,0.0749
FR,I_TAX,2012,0.0862
FR,I_TAX,2012.5,0.0797
FR,I_TAX,2013,0.0873
FR,I_TAX,2013.5,0.082
FR,I_TAX,2014,0.0897
FR,I_TAX,2014.5,0.0846
FR,I_TAX,2015,0.0938
FR,I_TAX,2015.5,0.0861
FR,I_TAX,2016,0.0771
FR,I_TAX,2016.5,0.0774
FR,I_TAX,2017,0.0751
FR,I_TAX,2017.5,0.073
FR,I_TAX,2018,0.0757
FR,I_TAX,2018.5,0.0733
FR,I_TAX,2019,0.0838
FR,I_TAX,2019.5,0.0762
FR,I_TAX,2020,0.0848
FR,I_TAX,2020.5,0.0809
FR,I_TAX,2021,0.0891
FR,I_TAX,2021.5,0.1012
FR,I_TAX,2022,0.1278
FR,I_TAX,2022.5,0.1352
FR,I_TAX,2023,0.1958
FR,I_TAX,2023.5,0.169
FR,I_TAX,2024,0.131
FR,I_TAX,2024.5,0.1224
FR,I_TAX,2025,0.1149
FR,I_TAX,2025.5,0.098
FR,X_TAX,2007,NA
FR,X_TAX,2007.5,0.0481
FR,X_TAX,2008,0.0554
FR,X_TAX,2008.5,0.0516
FR,X_TAX,2009,0.0624
FR,X_TAX,2009.5,0.0558
FR,X_TAX,2010,0.0629
FR,X_TAX,2010.5,0.0549
FR,X_TAX,2011,0.0638
FR,X_TAX,2011.5,0.0541
FR,X_TAX,2012,0.0633
FR,X_TAX,2012.5,0.0571
FR,X_TAX,2013,0.0608
FR,X_TAX,2013.5,0.0567
FR,X_TAX,2014,0.0601
FR,X_TAX,2014.5,0.0577
FR,X_TAX,2015,0.0609
FR,X_TAX,2015.5,0.0591
FR,X_TAX,2016,0.0565
FR,X_TAX,2016.5,0.0567
FR,X_TAX,2017,0.0536
FR,X_TAX,2017.5,0.0516
FR,X_TAX,2018,0.0552
FR,X_TAX,2018.5,0.0541
FR,X_TAX,2019,0.0633
FR,X_TAX,2019.5,0.0571
FR,X_TAX,2020,0.0627
FR,X_TAX,2020.5,0.0596
FR,X_TAX,2021,0.067
FR,X_TAX,2021.5,0.0778
FR,X_TAX,2022,0.1051
FR,X_TAX,2022.5,0.1143
FR,X_TAX,2023,0.1662
FR,X_TAX,2023.5,0.1413
FR,X_TAX,2024,0.1083
FR,X_TAX,2024.5,0.1004
FR,X_TAX,2025,0.0928
FR,X_TAX,2025.5,0.0782
