nace_r2,unit,anno,valore
C,CP_MEUR,2006,242915.1
C,CP_MEUR,2007,258795.9
C,CP_MEUR,2008,254456.4
C,CP_MEUR,2009,216351
C,CP_MEUR,2010,229150.8
C,CP_MEUR,2011,234216.9
C,CP_MEUR,2012,224658
C,CP_MEUR,2013,223074.9
C,CP_MEUR,2014,226342.7
C,CP_MEUR,2015,237222.4
C,CP_MEUR,2016,249997.8
C,CP_MEUR,2017,258477.6
C,CP_MEUR,2018,265738.5
C,CP_MEUR,2019,267061.1
C,CP_MEUR,2020,241771.9
C,CP_MEUR,2021,283106.8
C,CP_MEUR,2022,307348.6
C,CP_MEUR,2023,331429.4
C,CP_MEUR,2024,332148.8
C,CP_MEUR,2025,338743.2
C10-C12,CLV15_MEUR,1975,NA
C10-C12,CLV15_MEUR,1976,NA
C10-C12,CLV15_MEUR,1977,NA
C10-C12,CLV15_MEUR,1978,NA
C10-C12,CLV15_MEUR,1979,NA
C10-C12,CLV15_MEUR,1980,NA
C10-C12,CLV15_MEUR,1981,NA
C10-C12,CLV15_MEUR,1982,NA
C10-C12,CLV15_MEUR,1983,NA
C10-C12,CLV15_MEUR,1984,NA
C10-C12,CLV15_MEUR,1985,NA
C10-C12,CLV15_MEUR,1986,NA
C10-C12,CLV15_MEUR,1987,NA
C10-C12,CLV15_MEUR,1988,NA
C10-C12,CLV15_MEUR,1989,NA
C10-C12,CLV15_MEUR,1990,NA
C10-C12,CLV15_MEUR,1991,NA
C10-C12,CLV15_MEUR,1992,NA
C10-C12,CLV15_MEUR,1993,NA
C10-C12,CLV15_MEUR,1994,NA
C10-C12,CLV15_MEUR,1995,22609.7
C10-C12,CLV15_MEUR,1996,21517.8
C10-C12,CLV15_MEUR,1997,21926.7
C10-C12,CLV15_MEUR,1998,22763
C10-C12,CLV15_MEUR,1999,22783.6
C10-C12,CLV15_MEUR,2000,24550
C10-C12,CLV15_MEUR,2001,23276.8
C10-C12,CLV15_MEUR,2002,23592.4
C10-C12,CLV15_MEUR,2003,23199.8
C10-C12,CLV15_MEUR,2004,23379.5
C10-C12,CLV15_MEUR,2005,23987.2
C10-C12,CLV15_MEUR,2006,24720.2
C10-C12,CLV15_MEUR,2007,24645.9
C10-C12,CLV15_MEUR,2008,23327.1
C10-C12,CLV15_MEUR,2009,22427.5
C10-C12,CLV15_MEUR,2010,24482.2
C10-C12,CLV15_MEUR,2011,25754.7
C10-C12,CLV15_MEUR,2012,25348.6
C10-C12,CLV15_MEUR,2013,24786.8
C10-C12,CLV15_MEUR,2014,24299.7
C10-C12,CLV15_MEUR,2015,25832.4
C10-C12,CLV15_MEUR,2016,25709.6
C10-C12,CLV15_MEUR,2017,26989.8
C10-C12,CLV15_MEUR,2018,27298.5
C10-C12,CLV15_MEUR,2019,27822.1
C10-C12,CLV15_MEUR,2020,25073.8
C10-C12,CLV15_MEUR,2021,29767.8
C10-C12,CLV15_MEUR,2022,29836.3
C10-C12,CLV15_MEUR,2023,30084.4
C10-C12,CLV15_MEUR,2024,31419.9
C10-C12,CLV15_MEUR,2025,31856.5
C10-C12,CP_MEUR,1975,NA
C10-C12,CP_MEUR,1976,NA
C10-C12,CP_MEUR,1977,NA
C10-C12,CP_MEUR,1978,NA
C10-C12,CP_MEUR,1979,NA
C10-C12,CP_MEUR,1980,NA
C10-C12,CP_MEUR,1981,NA
C10-C12,CP_MEUR,1982,NA
C10-C12,CP_MEUR,1983,NA
C10-C12,CP_MEUR,1984,NA
C10-C12,CP_MEUR,1985,NA
C10-C12,CP_MEUR,1986,NA
C10-C12,CP_MEUR,1987,NA
C10-C12,CP_MEUR,1988,NA
C10-C12,CP_MEUR,1989,NA
C10-C12,CP_MEUR,1990,NA
C10-C12,CP_MEUR,1991,NA
C10-C12,CP_MEUR,1992,NA
C10-C12,CP_MEUR,1993,NA
C10-C12,CP_MEUR,1994,NA
C10-C12,CP_MEUR,1995,16302.4
C10-C12,CP_MEUR,1996,18779.7
C10-C12,CP_MEUR,1997,19959.1
C10-C12,CP_MEUR,1998,20695.1
C10-C12,CP_MEUR,1999,20315.3
C10-C12,CP_MEUR,2000,21253.4
C10-C12,CP_MEUR,2001,21479
C10-C12,CP_MEUR,2002,23004.6
C10-C12,CP_MEUR,2003,23066.9
C10-C12,CP_MEUR,2004,23524
C10-C12,CP_MEUR,2005,23069.6
C10-C12,CP_MEUR,2006,23019.9
C10-C12,CP_MEUR,2007,24037.5
C10-C12,CP_MEUR,2008,24280.1
C10-C12,CP_MEUR,2009,24134.3
C10-C12,CP_MEUR,2010,24650.6
C10-C12,CP_MEUR,2011,24119.4
C10-C12,CP_MEUR,2012,23290.4
C10-C12,CP_MEUR,2013,23516.8
C10-C12,CP_MEUR,2014,24125.9
C10-C12,CP_MEUR,2015,25832.4
C10-C12,CP_MEUR,2016,26887.1
C10-C12,CP_MEUR,2017,27232.2
C10-C12,CP_MEUR,2018,28502.1
C10-C12,CP_MEUR,2019,29242.6
C10-C12,CP_MEUR,2020,28398.8
C10-C12,CP_MEUR,2021,30610.2
C10-C12,CP_MEUR,2022,31048.5
C10-C12,CP_MEUR,2023,36707.5
C10-C12,CP_MEUR,2024,39191.9
C10-C12,CP_MEUR,2025,42321.8
C13-C15,CLV15_MEUR,1975,NA
C13-C15,CLV15_MEUR,1976,NA
C13-C15,CLV15_MEUR,1977,NA
C13-C15,CLV15_MEUR,1978,NA
C13-C15,CLV15_MEUR,1979,NA
C13-C15,CLV15_MEUR,1980,NA
C13-C15,CLV15_MEUR,1981,NA
C13-C15,CLV15_MEUR,1982,NA
C13-C15,CLV15_MEUR,1983,NA
C13-C15,CLV15_MEUR,1984,NA
C13-C15,CLV15_MEUR,1985,NA
C13-C15,CLV15_MEUR,1986,NA
C13-C15,CLV15_MEUR,1987,NA
C13-C15,CLV15_MEUR,1988,NA
C13-C15,CLV15_MEUR,1989,NA
C13-C15,CLV15_MEUR,1990,NA
C13-C15,CLV15_MEUR,1991,NA
C13-C15,CLV15_MEUR,1992,NA
C13-C15,CLV15_MEUR,1993,NA
C13-C15,CLV15_MEUR,1994,NA
C13-C15,CLV15_MEUR,1995,38325.8
C13-C15,CLV15_MEUR,1996,37234.9
C13-C15,CLV15_MEUR,1997,36298
C13-C15,CLV15_MEUR,1998,35836.5
C13-C15,CLV15_MEUR,1999,32945.8
C13-C15,CLV15_MEUR,2000,34713.4
C13-C15,CLV15_MEUR,2001,34474.5
C13-C15,CLV15_MEUR,2002,31615.8
C13-C15,CLV15_MEUR,2003,29573.6
C13-C15,CLV15_MEUR,2004,28247.3
C13-C15,CLV15_MEUR,2005,27340.2
