categoria,codice,mese,indice
"Totale industria escl. costruzioni",0020,2012-06,102.6
"Totale industria escl. costruzioni",0020,2012-07,112.5
"Totale industria escl. costruzioni",0020,2012-08,63.6
"Totale industria escl. costruzioni",0020,2012-09,105
"Totale industria escl. costruzioni",0020,2012-10,104.9
"Totale industria escl. costruzioni",0020,2012-11,99.1
"Totale industria escl. costruzioni",0020,2012-12,84.1
"Totale industria escl. costruzioni",0020,2013-01,89.2
"Totale industria escl. costruzioni",0020,2013-02,95.5
"Totale industria escl. costruzioni",0020,2013-03,102.5
"Totale industria escl. costruzioni",0020,2013-04,91.8
"Totale industria escl. costruzioni",0020,2013-05,103
"Totale industria escl. costruzioni",0020,2013-06,100.3
"Totale industria escl. costruzioni",0020,2013-07,108.3
"Totale industria escl. costruzioni",0020,2013-08,60.6
"Totale industria escl. costruzioni",0020,2013-09,101.8
"Totale industria escl. costruzioni",0020,2013-10,104.3
"Totale industria escl. costruzioni",0020,2013-11,99.8
"Totale industria escl. costruzioni",0020,2013-12,83.1
"Totale industria escl. costruzioni",0020,2014-01,90.1
"Totale industria escl. costruzioni",0020,2014-02,95.9
"Totale industria escl. costruzioni",0020,2014-03,102.4
"Totale industria escl. costruzioni",0020,2014-04,93.3
"Totale industria escl. costruzioni",0020,2014-05,101.1
"Totale industria escl. costruzioni",0020,2014-06,100.5
"Totale industria escl. costruzioni",0020,2014-07,107
"Totale industria escl. costruzioni",0020,2014-08,60.3
"Totale industria escl. costruzioni",0020,2014-09,99.5
"Totale industria escl. costruzioni",0020,2014-10,101.5
"Totale industria escl. costruzioni",0020,2014-11,97.8
"Totale industria escl. costruzioni",0020,2014-12,83.3
"Totale industria escl. costruzioni",0020,2015-01,88.5
"Totale industria escl. costruzioni",0020,2015-02,95.5
"Totale industria escl. costruzioni",0020,2015-03,103.7
"Totale industria escl. costruzioni",0020,2015-04,93.6
"Totale industria escl. costruzioni",0020,2015-05,103.6
"Totale industria escl. costruzioni",0020,2015-06,100.3
"Totale industria escl. costruzioni",0020,2015-07,109.6
"Totale industria escl. costruzioni",0020,2015-08,61.6
"Totale industria escl. costruzioni",0020,2015-09,101.2
"Totale industria escl. costruzioni",0020,2015-10,103.8
"Totale industria escl. costruzioni",0020,2015-11,100.9
"Totale industria escl. costruzioni",0020,2015-12,83.6
"Totale industria escl. costruzioni",0020,2016-01,91.8
"Totale industria escl. costruzioni",0020,2016-02,96.6
"Totale industria escl. costruzioni",0020,2016-03,104.8
"Totale industria escl. costruzioni",0020,2016-04,95.8
"Totale industria escl. costruzioni",0020,2016-05,103.2
"Totale industria escl. costruzioni",0020,2016-06,99.3
"Totale industria escl. costruzioni",0020,2016-07,109.4
"Totale industria escl. costruzioni",0020,2016-08,64.3
"Totale industria escl. costruzioni",0020,2016-09,103.1
"Totale industria escl. costruzioni",0020,2016-10,106.3
"Totale industria escl. costruzioni",0020,2016-11,103.7
"Totale industria escl. costruzioni",0020,2016-12,89.4
"Totale industria escl. costruzioni",0020,2017-01,92.2
"Totale industria escl. costruzioni",0020,2017-02,99.2
"Totale industria escl. costruzioni",0020,2017-03,108.6
"Totale industria escl. costruzioni",0020,2017-04,96.8
"Totale industria escl. costruzioni",0020,2017-05,107
"Totale industria escl. costruzioni",0020,2017-06,105.5
"Totale industria escl. costruzioni",0020,2017-07,114.2
"Totale industria escl. costruzioni",0020,2017-08,68.7
"Totale industria escl. costruzioni",0020,2017-09,106.2
"Totale industria escl. costruzioni",0020,2017-10,109.6
"Totale industria escl. costruzioni",0020,2017-11,107.6
"Totale industria escl. costruzioni",0020,2017-12,94.2
"Totale industria escl. costruzioni",0020,2018-01,96.4
"Totale industria escl. costruzioni",0020,2018-02,102.2
"Totale industria escl. costruzioni",0020,2018-03,112.6
"Totale industria escl. costruzioni",0020,2018-04,98.9
"Totale industria escl. costruzioni",0020,2018-05,109.4
"Totale industria escl. costruzioni",0020,2018-06,107
"Totale industria escl. costruzioni",0020,2018-07,113.1
"Totale industria escl. costruzioni",0020,2018-08,68.2
"Totale industria escl. costruzioni",0020,2018-09,108.1
"Totale industria escl. costruzioni",0020,2018-10,110.9
"Totale industria escl. costruzioni",0020,2018-11,104.9
"Totale industria escl. costruzioni",0020,2018-12,89.1
"Totale industria escl. costruzioni",0020,2019-01,96.4
"Totale industria escl. costruzioni",0020,2019-02,103.3
"Totale industria escl. costruzioni",0020,2019-03,110.9
"Totale industria escl. costruzioni",0020,2019-04,97.5
"Totale industria escl. costruzioni",0020,2019-05,109
"Totale industria escl. costruzioni",0020,2019-06,105.8
"Totale industria escl. costruzioni",0020,2019-07,112.5
"Totale industria escl. costruzioni",0020,2019-08,67.2
"Totale industria escl. costruzioni",0020,2019-09,105.9
"Totale industria escl. costruzioni",0020,2019-10,108.4
"Totale industria escl. costruzioni",0020,2019-11,104.5
"Totale industria escl. costruzioni",0020,2019-12,85.4
"Totale industria escl. costruzioni",0020,2020-01,96
"Totale industria escl. costruzioni",0020,2020-02,100.4
"Totale industria escl. costruzioni",0020,2020-03,78.1
"Totale industria escl. costruzioni",0020,2020-04,54.9
"Totale industria escl. costruzioni",0020,2020-05,86.5
"Totale industria escl. costruzioni",0020,2020-06,91.1
"Totale industria escl. costruzioni",0020,2020-07,103.1
"Totale industria escl. costruzioni",0020,2020-08,66.8
"Totale industria escl. costruzioni",0020,2020-09,100.9
"Totale industria escl. costruzioni",0020,2020-10,106.3
"Totale industria escl. costruzioni",0020,2020-11,100.2
"Totale industria escl. costruzioni",0020,2020-12,84.1
"Totale industria escl. costruzioni",0020,2021-01,94.4
"Totale industria escl. costruzioni",0020,2021-02,100.2
"Totale industria escl. costruzioni",0020,2021-03,108.6
"Totale industria escl. costruzioni",0020,2021-04,98.9
"Totale industria escl. costruzioni",0020,2021-05,105.4
"Totale industria escl. costruzioni",0020,2021-06,104.1
"Totale industria escl. costruzioni",0020,2021-07,111.2
"Totale industria escl. costruzioni",0020,2021-08,66.9
"Totale industria escl. costruzioni",0020,2021-09,106.1
"Totale industria escl. costruzioni",0020,2021-10,108.9
"Totale industria escl. costruzioni",0020,2021-11,107.1
"Totale industria escl. costruzioni",0020,2021-12,88.3
"Totale industria escl. costruzioni",0020,2022-01,91.7
"Totale industria escl. costruzioni",0020,2022-02,103.7
"Totale industria escl. costruzioni",0020,2022-03,112.4
"Totale industria escl. costruzioni",0020,2022-04,102.9
"Totale industria escl. costruzioni",0020,2022-05,108.8
"Totale industria escl. costruzioni",0020,2022-06,103.1
"Totale industria escl. costruzioni",0020,2022-07,109.7
"Totale industria escl. costruzioni",0020,2022-08,68.9
"Totale industria escl. costruzioni",0020,2022-09,105.5
"Totale industria escl. costruzioni",0020,2022-10,106.9
"Totale industria escl. costruzioni",0020,2022-11,103
"Totale industria escl. costruzioni",0020,2022-12,87.4
"Totale industria escl. costruzioni",0020,2023-01,94.1
"Totale industria escl. costruzioni",0020,2023-02,102.1
"Totale industria escl. costruzioni",0020,2023-03,109.4
"Totale industria escl. costruzioni",0020,2023-04,96
"Totale industria escl. costruzioni",0020,2023-05,105.4
"Totale industria escl. costruzioni",0020,2023-06,102.4
"Totale industria escl. costruzioni",0020,2023-07,107.3
"Totale industria escl. costruzioni",0020,2023-08,66.1
"Totale industria escl. costruzioni",0020,2023-09,103.7
"Totale industria escl. costruzioni",0020,2023-10,106.2
"Totale industria escl. costruzioni",0020,2023-11,100.5
"Totale industria escl. costruzioni",0020,2023-12,86.1
"Totale industria escl. costruzioni",0020,2024-01,90.6
"Totale industria escl. costruzioni",0020,2024-02,98.6
"Totale industria escl. costruzioni",0020,2024-03,105.4
"Totale industria escl. costruzioni",0020,2024-04,93.5
"Totale industria escl. costruzioni",0020,2024-05,101.2
"Totale industria escl. costruzioni",0020,2024-06,98.6
"Totale industria escl. costruzioni",0020,2024-07,102.7
"Totale industria escl. costruzioni",0020,2024-08,63
"Totale industria escl. costruzioni",0020,2024-09,98.7
"Totale industria escl. costruzioni",0020,2024-10,101.6
"Totale industria escl. costruzioni",0020,2024-11,98.6
