geo,nace_r2,anno,indice
DE,C15,1954,NA
DE,C15,1955,NA
DE,C15,1956,NA
DE,C15,1957,NA
DE,C15,1958,NA
DE,C15,1959,NA
DE,C15,1960,NA
DE,C15,1961,NA
DE,C15,1962,NA
DE,C15,1963,NA
DE,C15,1964,NA
DE,C15,1965,NA
DE,C15,1966,NA
DE,C15,1967,NA
DE,C15,1968,NA
DE,C15,1969,NA
DE,C15,1970,NA
DE,C15,1971,NA
DE,C15,1972,NA
DE,C15,1973,NA
DE,C15,1974,NA
DE,C15,1975,NA
DE,C15,1976,NA
DE,C15,1977,NA
DE,C15,1978,NA
DE,C15,1979,NA
DE,C15,1980,NA
DE,C15,1981,NA
DE,C15,1982,NA
DE,C15,1983,NA
DE,C15,1984,NA
DE,C15,1985,NA
DE,C15,1986,NA
DE,C15,1987,NA
DE,C15,1988,NA
DE,C15,1989,NA
DE,C15,1990,NA
DE,C15,1991,202.5
DE,C15,1992,181.7
DE,C15,1993,157.1
DE,C15,1994,131.7
DE,C15,1995,127.2
DE,C15,1996,116.5
DE,C15,1997,113.3
DE,C15,1998,109.7
DE,C15,1999,109.1
DE,C15,2000,105.9
DE,C15,2001,100.4
DE,C15,2002,97.1
DE,C15,2003,85.5
DE,C15,2004,81.4
DE,C15,2005,74.2
DE,C15,2006,71.1
DE,C15,2007,79.9
DE,C15,2008,72.6
DE,C15,2009,74.2
DE,C15,2010,80
DE,C15,2011,85.1
DE,C15,2012,78
DE,C15,2013,78
DE,C15,2014,89.1
DE,C15,2015,94.3
DE,C15,2016,94.9
DE,C15,2017,98.5
DE,C15,2018,102.8
DE,C15,2019,100.9
DE,C15,2020,79.6
DE,C15,2021,99.3
DE,C15,2022,104.5
DE,C15,2023,100.1
DE,C15,2024,95.5
DE,C15,2025,92.6
DE,C16,1953,NA
DE,C16,1954,NA
DE,C16,1955,NA
DE,C16,1956,NA
DE,C16,1957,NA
DE,C16,1958,NA
DE,C16,1959,NA
DE,C16,1960,NA
DE,C16,1961,NA
DE,C16,1962,NA
DE,C16,1963,NA
DE,C16,1964,NA
DE,C16,1965,NA
DE,C16,1966,NA
DE,C16,1967,NA
DE,C16,1968,NA
DE,C16,1969,NA
DE,C16,1970,NA
DE,C16,1971,NA
DE,C16,1972,NA
DE,C16,1973,NA
DE,C16,1974,NA
DE,C16,1975,NA
DE,C16,1976,NA
DE,C16,1977,NA
DE,C16,1978,NA
DE,C16,1979,NA
DE,C16,1980,NA
DE,C16,1981,NA
DE,C16,1982,NA
DE,C16,1983,NA
DE,C16,1984,NA
DE,C16,1985,NA
DE,C16,1986,NA
DE,C16,1987,NA
DE,C16,1988,NA
DE,C16,1989,NA
DE,C16,1990,NA
DE,C16,1991,82.7
DE,C16,1992,86.1
DE,C16,1993,85.2
DE,C16,1994,92.8
DE,C16,1995,91.1
DE,C16,1996,87.3
DE,C16,1997,89.4
DE,C16,1998,91
DE,C16,1999,93.1
DE,C16,2000,92.9
DE,C16,2001,86.9
DE,C16,2002,84
DE,C16,2003,82.7
DE,C16,2004,84.6
DE,C16,2005,85.4
DE,C16,2006,91.6
DE,C16,2007,90.4
DE,C16,2008,88.6
DE,C16,2009,77.9
DE,C16,2010,82.6
DE,C16,2011,96.1
DE,C16,2012,95.8
DE,C16,2013,94.8
DE,C16,2014,93.2
DE,C16,2015,91.5
DE,C16,2016,91.4
DE,C16,2017,95.3
DE,C16,2018,97
DE,C16,2019,95.5
DE,C16,2020,100.5
DE,C16,2021,99.4
DE,C16,2022,88.9
DE,C16,2023,83.3
DE,C16,2024,80.7
DE,C16,2025,77.5
DE,C17,1953,NA
DE,C17,1954,NA
DE,C17,1955,NA
DE,C17,1956,NA
DE,C17,1957,NA
DE,C17,1958,NA
DE,C17,1959,NA
DE,C17,1960,NA
DE,C17,1961,NA
DE,C17,1962,NA
DE,C17,1963,NA
DE,C17,1964,NA
DE,C17,1965,NA
DE,C17,1966,NA
DE,C17,1967,NA
DE,C17,1968,NA
DE,C17,1969,NA
DE,C17,1970,NA
DE,C17,1971,NA
DE,C17,1972,NA
DE,C17,1973,NA
DE,C17,1974,NA
DE,C17,1975,NA
DE,C17,1976,NA
DE,C17,1977,NA
DE,C17,1978,NA
DE,C17,1979,NA
DE,C17,1980,NA
DE,C17,1981,NA
DE,C17,1982,NA
DE,C17,1983,NA
DE,C17,1984,NA
DE,C17,1985,NA
DE,C17,1986,NA
DE,C17,1987,NA
DE,C17,1988,NA
DE,C17,1989,NA
DE,C17,1990,NA
DE,C17,1991,90.9
DE,C17,1992,89
DE,C17,1993,85.3
DE,C17,1994,89
DE,C17,1995,85.6
DE,C17,1996,85
DE,C17,1997,86.6
DE,C17,1998,86.4
DE,C17,1999,86.8
DE,C17,2000,88.4
DE,C17,2001,86.4
DE,C17,2002,87.5
DE,C17,2003,90
DE,C17,2004,91.9
DE,C17,2005,94.5
DE,C17,2006,98.8
DE,C17,2007,104.2
DE,C17,2008,104.1
DE,C17,2009,96.2
DE,C17,2010,103.7
DE,C17,2011,104.4
DE,C17,2012,102.8
DE,C17,2013,101.6
DE,C17,2014,100.5
DE,C17,2015,100.6
DE,C17,2016,99.5
DE,C17,2017,101
DE,C17,2018,100.6
DE,C17,2019,98.5
DE,C17,2020,94.3
DE,C17,2021,99.3
DE,C17,2022,93.9
DE,C17,2023,82.4
DE,C17,2024,82.6
DE,C17,2025,80.5
DE,C18,1953,NA
DE,C18,1954,NA
DE,C18,1955,NA
DE,C18,1956,NA
DE,C18,1957,NA
DE,C18,1958,NA
DE,C18,1959,NA
DE,C18,1960,NA
DE,C18,1961,NA
DE,C18,1962,NA
DE,C18,1963,NA
DE,C18,1964,NA
DE,C18,1965,NA
DE,C18,1966,NA
DE,C18,1967,NA
DE,C18,1968,NA
DE,C18,1969,NA
DE,C18,1970,NA
DE,C18,1971,NA
DE,C18,1972,NA
DE,C18,1973,NA
DE,C18,1974,NA
DE,C18,1975,NA
DE,C18,1976,NA
DE,C18,1977,NA
DE,C18,1978,NA
DE,C18,1979,NA
DE,C18,1980,NA
DE,C18,1981,NA
DE,C18,1982,NA
DE,C18,1983,NA
DE,C18,1984,NA
DE,C18,1985,NA
DE,C18,1986,NA
DE,C18,1987,NA
DE,C18,1988,NA
DE,C18,1989,NA
DE,C18,1990,NA
DE,C18,1991,139.5
DE,C18,1992,138.1
DE,C18,1993,132.8
DE,C18,1994,131
DE,C18,1995,133.2
DE,C18,1996,131.5
DE,C18,1997,130.9
DE,C18,1998,135.7
DE,C18,1999,143.8
DE,C18,2000,147.2
DE,C18,2001,142.3
DE,C18,2002,136.2
DE,C18,2003,130.4
DE,C18,2004,132.7
DE,C18,2005,138.4
DE,C18,2006,142.2
DE,C18,2007,145.3
DE,C18,2008,145.9
DE,C18,2009,135.6
DE,C18,2010,136.7
DE,C18,2011,138.5
DE,C18,2012,134.9
DE,C18,2013,129.2
DE,C18,2014,129.5
DE,C18,2015,125.8
DE,C18,2016,123.4
DE,C18,2017,122.7
DE,C18,2018,120
DE,C18,2019,112
DE,C18,2020,97.3
DE,C18,2021,99.4
DE,C18,2022,91.7
DE,C18,2023,79.5
DE,C18,2024,75.2
DE,C18,2025,72.1
DE,C19,1953,NA
DE,C19,1954,NA
DE,C19,1955,NA
DE,C19,1956,NA
DE,C19,1957,NA
DE,C19,1958,NA
DE,C19,1959,NA
DE,C19,1960,NA
DE,C19,1961,NA
DE,C19,1962,NA
DE,C19,1963,NA
DE,C19,1964,NA
DE,C19,1965,NA
DE,C19,1966,NA
DE,C19,1967,NA
DE,C19,1968,NA
DE,C19,1969,NA
DE,C19,1970,NA
DE,C19,1971,NA
DE,C19,1972,NA
DE,C19,1973,NA
DE,C19,1974,NA
DE,C19,1975,NA
DE,C19,1976,NA
DE,C19,1977,NA
DE,C19,1978,NA
DE,C19,1979,NA
DE,C19,1980,NA
DE,C19,1981,NA
DE,C19,1982,NA
DE,C19,1983,NA
