geo,tassazione,anno,prezzo_eur_kwh
ES,I_TAX,2025.5,0.0475
ES,X_TAX,2007,NA
ES,X_TAX,2007.5,0.0241
ES,X_TAX,2008,0.0257
ES,X_TAX,2008.5,0.0304
ES,X_TAX,2009,0.0269
ES,X_TAX,2009.5,0.0234
ES,X_TAX,2010,0.0244
ES,X_TAX,2010.5,0.0252
ES,X_TAX,2011,0.0269
ES,X_TAX,2011.5,0.031
ES,X_TAX,2012,0.0337
ES,X_TAX,2012.5,0.035
ES,X_TAX,2013,0.0343
ES,X_TAX,2013.5,0.0333
ES,X_TAX,2014,0.0331
ES,X_TAX,2014.5,0.0342
ES,X_TAX,2015,0.0311
ES,X_TAX,2015.5,0.0287
ES,X_TAX,2016,0.0239
ES,X_TAX,2016.5,0.0234
ES,X_TAX,2017,0.0239
ES,X_TAX,2017.5,0.0232
ES,X_TAX,2018,0.0241
ES,X_TAX,2018.5,0.0272
ES,X_TAX,2019,0.0266
ES,X_TAX,2019.5,0.0257
ES,X_TAX,2020,0.022
ES,X_TAX,2020.5,0.0183
ES,X_TAX,2021,0.0208
ES,X_TAX,2021.5,0.0362
ES,X_TAX,2022,0.0744
ES,X_TAX,2022.5,0.1066
ES,X_TAX,2023,0.0618
ES,X_TAX,2023.5,0.05
ES,X_TAX,2024,0.0366
ES,X_TAX,2024.5,0.0438
ES,X_TAX,2025,0.0444
ES,X_TAX,2025.5,0.0365
EU27_2020,I_TAX,2007,0.0322
EU27_2020,I_TAX,2007.5,0.032
EU27_2020,I_TAX,2008,0.0364
EU27_2020,I_TAX,2008.5,0.0418
EU27_2020,I_TAX,2009,0.0372
EU27_2020,I_TAX,2009.5,0.0327
EU27_2020,I_TAX,2010,0.0329
EU27_2020,I_TAX,2010.5,0.0345
EU27_2020,I_TAX,2011,0.0358
EU27_2020,I_TAX,2011.5,0.0376
EU27_2020,I_TAX,2012,0.0394
EU27_2020,I_TAX,2012.5,0.0402
EU27_2020,I_TAX,2013,0.0411
EU27_2020,I_TAX,2013.5,0.0409
EU27_2020,I_TAX,2014,0.0391
EU27_2020,I_TAX,2014.5,0.037
EU27_2020,I_TAX,2015,0.0364
EU27_2020,I_TAX,2015.5,0.0341
EU27_2020,I_TAX,2016,0.03
EU27_2020,I_TAX,2016.5,0.029
EU27_2020,I_TAX,2017,0.0292
