branca,codice,misura,anno,valore_migliaia
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2023,440.9
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2024,459.6
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2025,463.5
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,1995,860
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,1996,825.9
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,1997,809.3
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,1998,811.1
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,1999,747.6
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2000,744.6
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2001,738.9
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2002,729.9
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2003,722
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2004,686.2
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2005,640.6
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2006,613.4
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2007,608.9
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2008,598.1
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2009,519.6
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2010,486
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2011,485.4
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2012,459.5
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2013,448.1
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2014,446.4
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2015,443.9
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2016,445
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2017,450.1
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2018,452.8
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2019,444
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2020,338.8
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2021,383.7
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2022,396
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2023,402.6
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2024,383
"Tessile abbigliamento pelle",C13T15,unita_di_lavoro,2025,388
"Legno carta stampa",C16T18,unita_di_lavoro,1995,381.4
"Legno carta stampa",C16T18,unita_di_lavoro,1996,374.5
"Legno carta stampa",C16T18,unita_di_lavoro,1997,363.7
"Legno carta stampa",C16T18,unita_di_lavoro,1998,371.8
"Legno carta stampa",C16T18,unita_di_lavoro,1999,374.6
"Legno carta stampa",C16T18,unita_di_lavoro,2000,372.6
"Legno carta stampa",C16T18,unita_di_lavoro,2001,367.8
"Legno carta stampa",C16T18,unita_di_lavoro,2002,373.7
"Legno carta stampa",C16T18,unita_di_lavoro,2003,371.8
"Legno carta stampa",C16T18,unita_di_lavoro,2004,364.6
"Legno carta stampa",C16T18,unita_di_lavoro,2005,351
"Legno carta stampa",C16T18,unita_di_lavoro,2006,352.5
"Legno carta stampa",C16T18,unita_di_lavoro,2007,346.3
"Legno carta stampa",C16T18,unita_di_lavoro,2008,338.5
"Legno carta stampa",C16T18,unita_di_lavoro,2009,316.2
"Legno carta stampa",C16T18,unita_di_lavoro,2010,304.5
"Legno carta stampa",C16T18,unita_di_lavoro,2011,293.8
"Legno carta stampa",C16T18,unita_di_lavoro,2012,268.2
"Legno carta stampa",C16T18,unita_di_lavoro,2013,252.3
"Legno carta stampa",C16T18,unita_di_lavoro,2014,241.4
"Legno carta stampa",C16T18,unita_di_lavoro,2015,235.1
"Legno carta stampa",C16T18,unita_di_lavoro,2016,234.7
"Legno carta stampa",C16T18,unita_di_lavoro,2017,235
"Legno carta stampa",C16T18,unita_di_lavoro,2018,235.3
"Legno carta stampa",C16T18,unita_di_lavoro,2019,229.9
"Legno carta stampa",C16T18,unita_di_lavoro,2020,191.3
"Legno carta stampa",C16T18,unita_di_lavoro,2021,209.7
"Legno carta stampa",C16T18,unita_di_lavoro,2022,218.9
"Legno carta stampa",C16T18,unita_di_lavoro,2023,219
"Legno carta stampa",C16T18,unita_di_lavoro,2024,218.5
"Legno carta stampa",C16T18,unita_di_lavoro,2025,223
"Raffinazione petrolio",C19,unita_di_lavoro,1995,20.8
"Raffinazione petrolio",C19,unita_di_lavoro,1996,20.8
"Raffinazione petrolio",C19,unita_di_lavoro,1997,20.2
"Raffinazione petrolio",C19,unita_di_lavoro,1998,21.4
"Raffinazione petrolio",C19,unita_di_lavoro,1999,21.5
"Raffinazione petrolio",C19,unita_di_lavoro,2000,21.9
"Raffinazione petrolio",C19,unita_di_lavoro,2001,21.5
"Raffinazione petrolio",C19,unita_di_lavoro,2002,19.6
"Raffinazione petrolio",C19,unita_di_lavoro,2003,19.6
"Raffinazione petrolio",C19,unita_di_lavoro,2004,20.2
"Raffinazione petrolio",C19,unita_di_lavoro,2005,20.8
"Raffinazione petrolio",C19,unita_di_lavoro,2006,21.1
"Raffinazione petrolio",C19,unita_di_lavoro,2007,22
"Raffinazione petrolio",C19,unita_di_lavoro,2008,21.5
"Raffinazione petrolio",C19,unita_di_lavoro,2009,20.8
"Raffinazione petrolio",C19,unita_di_lavoro,2010,21.1
"Raffinazione petrolio",C19,unita_di_lavoro,2011,20.8
"Raffinazione petrolio",C19,unita_di_lavoro,2012,18.6
"Raffinazione petrolio",C19,unita_di_lavoro,2013,17.1
"Raffinazione petrolio",C19,unita_di_lavoro,2014,15.5
"Raffinazione petrolio",C19,unita_di_lavoro,2015,15.2
"Raffinazione petrolio",C19,unita_di_lavoro,2016,14.7
"Raffinazione petrolio",C19,unita_di_lavoro,2017,14.3
"Raffinazione petrolio",C19,unita_di_lavoro,2018,14.3
"Raffinazione petrolio",C19,unita_di_lavoro,2019,14.3
"Raffinazione petrolio",C19,unita_di_lavoro,2020,13.4
"Raffinazione petrolio",C19,unita_di_lavoro,2021,13.9
"Raffinazione petrolio",C19,unita_di_lavoro,2022,13.4
"Raffinazione petrolio",C19,unita_di_lavoro,2023,12.2
"Raffinazione petrolio",C19,unita_di_lavoro,2024,12.3
"Raffinazione petrolio",C19,unita_di_lavoro,2025,11.8
"Chimica",C20,unita_di_lavoro,1995,125.6
"Chimica",C20,unita_di_lavoro,1996,121.9
"Chimica",C20,unita_di_lavoro,1997,122.6
"Chimica",C20,unita_di_lavoro,1998,124.7
"Chimica",C20,unita_di_lavoro,1999,124.9
"Chimica",C20,unita_di_lavoro,2000,122
"Chimica",C20,unita_di_lavoro,2001,118.9
"Chimica",C20,unita_di_lavoro,2002,120.9
"Chimica",C20,unita_di_lavoro,2003,116
"Chimica",C20,unita_di_lavoro,2004,114.5
"Chimica",C20,unita_di_lavoro,2005,118.7
"Chimica",C20,unita_di_lavoro,2006,119.7
"Chimica",C20,unita_di_lavoro,2007,117.8
"Chimica",C20,unita_di_lavoro,2008,115.2
"Chimica",C20,unita_di_lavoro,2009,107.2
"Chimica",C20,unita_di_lavoro,2010,107.3
"Chimica",C20,unita_di_lavoro,2011,106.8
"Chimica",C20,unita_di_lavoro,2012,105.9
"Chimica",C20,unita_di_lavoro,2013,106
"Chimica",C20,unita_di_lavoro,2014,102.1
"Chimica",C20,unita_di_lavoro,2015,101.4
"Chimica",C20,unita_di_lavoro,2016,103.9
"Chimica",C20,unita_di_lavoro,2017,106.5
"Chimica",C20,unita_di_lavoro,2018,106.7
"Chimica",C20,unita_di_lavoro,2019,106.8
"Chimica",C20,unita_di_lavoro,2020,98.9
"Chimica",C20,unita_di_lavoro,2021,100.9
"Chimica",C20,unita_di_lavoro,2022,105
"Chimica",C20,unita_di_lavoro,2023,110
"Chimica",C20,unita_di_lavoro,2024,112.4
"Chimica",C20,unita_di_lavoro,2025,111.7
"Farmaceutica",C21,unita_di_lavoro,1995,64.6
"Farmaceutica",C21,unita_di_lavoro,1996,63.6
"Farmaceutica",C21,unita_di_lavoro,1997,65.1
"Farmaceutica",C21,unita_di_lavoro,1998,67.1
