DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289(1.0),A,001074,JAN,9,TOTAL,99,2022-01-01,913.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001075,JAN,9,TOTAL,99,2022-01-01,344.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001076,JAN,9,TOTAL,99,2022-01-01,1552.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001077,JAN,9,TOTAL,99,2022-01-01,1985.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001078,JAN,9,TOTAL,99,2022-01-01,35916.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001079,JAN,9,TOTAL,99,2022-01-01,231.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001080,JAN,9,TOTAL,99,2022-01-01,870.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001081,JAN,9,TOTAL,99,2022-01-01,1556.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001082,JAN,9,TOTAL,99,2022-01-01,26275.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001083,JAN,9,TOTAL,99,2022-01-01,364.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001084,JAN,9,TOTAL,99,2022-01-01,240.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001085,JAN,9,TOTAL,99,2022-01-01,323.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001086,JAN,9,TOTAL,99,2022-01-01,18212.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001087,JAN,9,TOTAL,99,2022-01-01,204.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001088,JAN,9,TOTAL,99,2022-01-01,1444.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001089,JAN,9,TOTAL,99,2022-01-01,3218.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001090,JAN,9,TOTAL,99,2022-01-01,48574.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001091,JAN,9,TOTAL,99,2022-01-01,312.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001092,JAN,9,TOTAL,99,2022-01-01,596.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001093,JAN,9,TOTAL,99,2022-01-01,4437.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001094,JAN,9,TOTAL,99,2022-01-01,3048.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001095,JAN,9,TOTAL,99,2022-01-01,440.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001096,JAN,9,TOTAL,99,2022-01-01,930.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001097,JAN,9,TOTAL,99,2022-01-01,7821.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001098,JAN,9,TOTAL,99,2022-01-01,9411.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001099,JAN,9,TOTAL,99,2022-01-01,8973.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001100,JAN,9,TOTAL,99,2022-01-01,241.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001101,JAN,9,TOTAL,99,2022-01-01,5115.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001102,JAN,9,TOTAL,99,2022-01-01,2190.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001103,JAN,9,TOTAL,99,2022-01-01,481.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001104,JAN,9,TOTAL,99,2022-01-01,2679.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001105,JAN,9,TOTAL,99,2022-01-01,735.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001106,JAN,9,TOTAL,99,2022-01-01,2265.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001107,JAN,9,TOTAL,99,2022-01-01,3230.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001108,JAN,9,TOTAL,99,2022-01-01,279.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001109,JAN,9,TOTAL,99,2022-01-01,1613.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001110,JAN,9,TOTAL,99,2022-01-01,2799.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001111,JAN,9,TOTAL,99,2022-01-01,530.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001112,JAN,9,TOTAL,99,2022-01-01,9361.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001113,JAN,9,TOTAL,99,2022-01-01,1120.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001114,JAN,9,TOTAL,99,2022-01-01,592.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001115,JAN,9,TOTAL,99,2022-01-01,16214.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001116,JAN,9,TOTAL,99,2022-01-01,4095.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001117,JAN,9,TOTAL,99,2022-01-01,666.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001118,JAN,9,TOTAL,99,2022-01-01,191.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001119,JAN,9,TOTAL,99,2022-01-01,987.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001120,JAN,9,TOTAL,99,2022-01-01,37090.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001121,JAN,9,TOTAL,99,2022-01-01,42.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001122,JAN,9,TOTAL,99,2022-01-01,697.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001123,JAN,9,TOTAL,99,2022-01-01,375.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001124,JAN,9,TOTAL,99,2022-01-01,409.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001125,JAN,9,TOTAL,99,2022-01-01,22604.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001126,JAN,9,TOTAL,99,2022-01-01,1773.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001127,JAN,9,TOTAL,99,2022-01-01,8779.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001128,JAN,9,TOTAL,99,2022-01-01,4893.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001129,JAN,9,TOTAL,99,2022-01-01,1401.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001130,JAN,9,TOTAL,99,2022-01-01,16321.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001131,JAN,9,TOTAL,99,2022-01-01,185.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001132,JAN,9,TOTAL,99,2022-01-01,1777.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001133,JAN,9,TOTAL,99,2022-01-01,443.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001134,JAN,9,TOTAL,99,2022-01-01,1339.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001135,JAN,9,TOTAL,99,2022-01-01,1670.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001136,JAN,9,TOTAL,99,2022-01-01,1090.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001137,JAN,9,TOTAL,99,2022-01-01,1149.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001139,JAN,9,TOTAL,99,2022-01-01,7162.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001140,JAN,9,TOTAL,99,2022-01-01,480.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001141,JAN,9,TOTAL,99,2022-01-01,541.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001142,JAN,9,TOTAL,99,2022-01-01,1155.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001143,JAN,9,TOTAL,99,2022-01-01,419.0,,,FILTER__ITC1,,,,,,,
