DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_VINO,HSC,9,Y_GE11,99,99,2025,56.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,10.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,9.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,8.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,0.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,0.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_VINO,HSC,9,Y_GE11,99,99,2023,57.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_VINO,HSC,9,Y_GE11,99,99,2024,58.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITD1,11_VINO,HSC,9,Y_GE11,99,99,2025,57.5,,,,,,,,,,,,,
