DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316(1.0),A,001186,FJAN,9,2020-01-01,35.0,,,,,,,,
IT1:29_316(1.0),A,001187,FJAN,9,2020-01-01,25.0,,,,,,,,
IT1:29_316(1.0),A,001188,FJAN,9,2020-01-01,51.0,,,,,,,,
IT1:29_316(1.0),A,001189,FJAN,9,2020-01-01,561.0,,,,,,,,
IT1:29_316(1.0),A,001190,FJAN,9,2020-01-01,120.0,,,,,,,,
IT1:29_316(1.0),A,001191,FJAN,9,2020-01-01,3379.0,,,,,,,,
IT1:29_316(1.0),A,001192,FJAN,9,2020-01-01,500.0,,,,,,,,
IT1:29_316(1.0),A,001193,FJAN,9,2020-01-01,143.0,,,,,,,,
IT1:29_316(1.0),A,001194,FJAN,9,2020-01-01,861.0,,,,,,,,
IT1:29_316(1.0),A,001195,FJAN,9,2020-01-01,158.0,,,,,,,,
IT1:29_316(1.0),A,001196,FJAN,9,2020-01-01,58.0,,,,,,,,
IT1:29_316(1.0),A,001197,FJAN,9,2020-01-01,698.0,,,,,,,,
IT1:29_316(1.0),A,001198,FJAN,9,2020-01-01,51.0,,,,,,,,
IT1:29_316(1.0),A,001199,FJAN,9,2020-01-01,326.0,,,,,,,,
IT1:29_316(1.0),A,001200,FJAN,9,2020-01-01,94.0,,,,,,,,
IT1:29_316(1.0),A,001201,FJAN,9,2020-01-01,192.0,,,,,,,,
IT1:29_316(1.0),A,001202,FJAN,9,2020-01-01,5.0,,,,,,,,
IT1:29_316(1.0),A,001203,FJAN,9,2020-01-01,164.0,,,,,,,,
IT1:29_316(1.0),A,001204,FJAN,9,2020-01-01,5.0,,,,,,,,
IT1:29_316(1.0),A,001205,FJAN,9,2020-01-01,22.0,,,,,,,,
IT1:29_316(1.0),A,001206,FJAN,9,2020-01-01,16.0,,,,,,,,
IT1:29_316(1.0),A,001207,FJAN,9,2020-01-01,42.0,,,,,,,,
IT1:29_316(1.0),A,001208,FJAN,9,2020-01-01,35.0,,,,,,,,
IT1:29_316(1.0),A,001209,FJAN,9,2020-01-01,20.0,,,,,,,,
IT1:29_316(1.0),A,001210,FJAN,9,2020-01-01,27.0,,,,,,,,
IT1:29_316(1.0),A,001211,FJAN,9,2020-01-01,67.0,,,,,,,,
IT1:29_316(1.0),A,001212,FJAN,9,2020-01-01,0.0,,,,,,,,
IT1:29_316(1.0),A,001213,FJAN,9,2020-01-01,69.0,,,,,,,,
IT1:29_316(1.0),A,001214,FJAN,9,2020-01-01,1240.0,,,,,,,,
IT1:29_316(1.0),A,001215,FJAN,9,2020-01-01,192.0,,,,,,,,
IT1:29_316(1.0),A,001216,FJAN,9,2020-01-01,181.0,,,,,,,,
IT1:29_316(1.0),A,001217,FJAN,9,2020-01-01,946.0,,,,,,,,
IT1:29_316(1.0),A,001218,FJAN,9,2020-01-01,96.0,,,,,,,,
IT1:29_316(1.0),A,001219,FJAN,9,2020-01-01,2238.0,,,,,,,,
IT1:29_316(1.0),A,001220,FJAN,9,2020-01-01,102.0,,,,,,,,
IT1:29_316(1.0),A,001221,FJAN,9,2020-01-01,126.0,,,,,,,,
IT1:29_316(1.0),A,001222,FJAN,9,2020-01-01,82.0,,,,,,,,
IT1:29_316(1.0),A,001223,FJAN,9,2020-01-01,145.0,,,,,,,,
IT1:29_316(1.0),A,001224,FJAN,9,2020-01-01,20.0,,,,,,,,
IT1:29_316(1.0),A,001225,FJAN,9,2020-01-01,114.0,,,,,,,,
IT1:29_316(1.0),A,001226,FJAN,9,2020-01-01,7.0,,,,,,,,
IT1:29_316(1.0),A,001227,FJAN,9,2020-01-01,24.0,,,,,,,,
IT1:29_316(1.0),A,001228,FJAN,9,2020-01-01,202.0,,,,,,,,
IT1:29_316(1.0),A,001229,FJAN,9,2020-01-01,157.0,,,,,,,,
IT1:29_316(1.0),A,001230,FJAN,9,2020-01-01,24.0,,,,,,,,
IT1:29_316(1.0),A,001231,FJAN,9,2020-01-01,114.0,,,,,,,,
IT1:29_316(1.0),A,001232,FJAN,9,2020-01-01,104.0,,,,,,,,
IT1:29_316(1.0),A,001233,FJAN,9,2020-01-01,37.0,,,,,,,,
IT1:29_316(1.0),A,001234,FJAN,9,2020-01-01,9.0,,,,,,,,
IT1:29_316(1.0),A,001235,FJAN,9,2020-01-01,93.0,,,,,,,,
IT1:29_316(1.0),A,001236,FJAN,9,2020-01-01,333.0,,,,,,,,
IT1:29_316(1.0),A,001237,FJAN,9,2020-01-01,127.0,,,,,,,,
IT1:29_316(1.0),A,001238,FJAN,9,2020-01-01,14.0,,,,,,,,
IT1:29_316(1.0),A,001239,FJAN,9,2020-01-01,17.0,,,,,,,,
IT1:29_316(1.0),A,001240,FJAN,9,2020-01-01,200.0,,,,,,,,
IT1:29_316(1.0),A,001241,FJAN,9,2020-01-01,115.0,,,,,,,,
IT1:29_316(1.0),A,001242,FJAN,9,2020-01-01,83.0,,,,,,,,
IT1:29_316(1.0),A,001243,FJAN,9,2020-01-01,108.0,,,,,,,,
IT1:29_316(1.0),A,001244,FJAN,9,2020-01-01,222.0,,,,,,,,
IT1:29_316(1.0),A,001245,FJAN,9,2020-01-01,47.0,,,,,,,,
IT1:29_316(1.0),A,001246,FJAN,9,2020-01-01,246.0,,,,,,,,
IT1:29_316(1.0),A,001247,FJAN,9,2020-01-01,35.0,,,,,,,,
IT1:29_316(1.0),A,001248,FJAN,9,2020-01-01,422.0,,,,,,,,
IT1:29_316(1.0),A,001249,FJAN,9,2020-01-01,918.0,,,,,,,,
IT1:29_316(1.0),A,001250,FJAN,9,2020-01-01,69.0,,,,,,,,
IT1:29_316(1.0),A,001251,FJAN,9,2020-01-01,4.0,,,,,,,,
IT1:29_316(1.0),A,001252,FJAN,9,2020-01-01,128.0,,,,,,,,
IT1:29_316(1.0),A,001253,FJAN,9,2020-01-01,114.0,,,,,,,,
IT1:29_316(1.0),A,001254,FJAN,9,2020-01-01,110.0,,,,,,,,
IT1:29_316(1.0),A,001255,FJAN,9,2020-01-01,489.0,,,,,,,,
IT1:29_316(1.0),A,001256,FJAN,9,2020-01-01,331.0,,,,,,,,
IT1:29_316(1.0),A,001257,FJAN,9,2020-01-01,853.0,,,,,,,,
