DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE2,121,SPECPRACT,2013-01-01,32.53,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE2,121,TPHYS,2013-01-01,43.13,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,ANEST,2013-01-01,1.9,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,MIDW,2013-01-01,2.97,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,MMG,2013-01-01,7.62,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,NURS,2013-01-01,53.74,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,PAEDIA,2013-01-01,2.44,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,PHARM,2013-01-01,13.09,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,SPECPRACT,2013-01-01,26.47,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE3,121,TPHYS,2013-01-01,35.64,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,ANEST,2013-01-01,2.33,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,MIDW,2013-01-01,2.26,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,MMG,2013-01-01,8.37,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,NURS,2013-01-01,47.21,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,PAEDIA,2013-01-01,3.26,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,PHARM,2013-01-01,9.68,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,SPECPRACT,2013-01-01,36.93,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITE4,121,TPHYS,2013-01-01,46.66,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,ANEST,2013-01-01,1.96,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,MIDW,2013-01-01,2.42,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,MMG,2013-01-01,7.94,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,NURS,2013-01-01,43.52,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,PAEDIA,2013-01-01,3.0,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,PHARM,2013-01-01,10.95,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,SPECPRACT,2013-01-01,28.04,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF,121,TPHYS,2013-01-01,37.73,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,ANEST,2013-01-01,2.13,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,MIDW,2013-01-01,2.55,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,MMG,2013-01-01,8.42,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,NURS,2013-01-01,56.49,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,PAEDIA,2013-01-01,2.79,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,PHARM,2013-01-01,12.54,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,SPECPRACT,2013-01-01,30.38,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF1,121,TPHYS,2013-01-01,40.71,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,ANEST,2013-01-01,2.27,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,MIDW,2013-01-01,3.51,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,MMG,2013-01-01,8.65,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,NURS,2013-01-01,61.09,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,PAEDIA,2013-01-01,2.2,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,PHARM,2013-01-01,12.33,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,SPECPRACT,2013-01-01,28.01,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF2,121,TPHYS,2013-01-01,39.41,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,ANEST,2013-01-01,2.0,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,MIDW,2013-01-01,2.33,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,MMG,2013-01-01,7.6,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,NURS,2013-01-01,35.59,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,PAEDIA,2013-01-01,3.37,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,PHARM,2013-01-01,10.14,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,SPECPRACT,2013-01-01,28.9,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF3,121,TPHYS,2013-01-01,38.22,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,ANEST,2013-01-01,1.91,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,MIDW,2013-01-01,2.65,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,MMG,2013-01-01,7.97,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,NURS,2013-01-01,47.45,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,PAEDIA,2013-01-01,2.77,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,PHARM,2013-01-01,10.01,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,SPECPRACT,2013-01-01,26.71,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF4,121,TPHYS,2013-01-01,35.96,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,ANEST,2013-01-01,1.86,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,MIDW,2013-01-01,2.29,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,MMG,2013-01-01,8.7,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,NURS,2013-01-01,54.95,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,PAEDIA,2013-01-01,2.22,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITF5,121,PHARM,2013-01-01,11.86,,,,,,,,,
