DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,FR,2013-01-01,2792.58,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,IT,2013-01-01,1776.39,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,DE,2013-01-01,484.54,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,ES,2013-01-01,487.43,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,FR,2013-01-01,412.68,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,IT,2013-01-01,537.36,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,DE,2013-01-01,3819.65,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,ES,2013-01-01,2010.88,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,FR,2013-01-01,3700.45,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,IT,2013-01-01,2362.81,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,DE,2013-01-01,84.15,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,ES,2013-01-01,70.12,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,FR,2013-01-01,75.47,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,IT,2013-01-01,75.18,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,DE,2013-01-01,12.69,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,ES,2013-01-01,24.24,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,FR,2013-01-01,11.15,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,IT,2013-01-01,22.74,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,DE,2013-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,ES,2013-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,FR,2013-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,IT,2013-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,DE,2013-01-01,9.04,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,ES,2013-01-01,6.41,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,FR,2013-01-01,8.66,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,IT,2013-01-01,6.61,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,DE,2013-01-01,1.36,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,ES,2013-01-01,2.21,,
