DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2012-01-01,84.492,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2012-01-01,82.041,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2012-01-01,79.89,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2012-01-01,84.762,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2012-01-01,82.271,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2012-01-01,79.989,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2012-01-01,84.933,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2012-01-01,82.405,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2012-01-01,80.2,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2012-01-01,85.115,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2012-01-01,82.602,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2012-01-01,80.625,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2012-01-01,84.971,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2012-01-01,82.747,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2012-01-01,80.766,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2012-01-01,85.544,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2012-01-01,83.1,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2012-01-01,79.915,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2012-01-01,84.58,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2012-01-01,82.193,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2012-01-01,79.153,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2012-01-01,83.861,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2012-01-01,81.451,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2012-01-01,78.057,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2012-01-01,82.901,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2012-01-01,80.422,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2012-01-01,79.24,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2012-01-01,83.986,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2012-01-01,81.557,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2012-01-01,78.938,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2012-01-01,83.244,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2012-01-01,81.039,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2013-01-01,80.034,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2013-01-01,84.763,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2013-01-01,82.344,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2013-01-01,80.236,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2013-01-01,85.034,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2013-01-01,82.58,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2013-01-01,80.5,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2013-01-01,85.278,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2013-01-01,82.835,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2013-01-01,80.591,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2013-01-01,85.287,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2013-01-01,82.885,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2013-01-01,80.973,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2013-01-01,85.66,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2013-01-01,83.264,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2013-01-01,80.898,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2013-01-01,85.798,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2013-01-01,83.294,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2013-01-01,80.321,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2013-01-01,84.939,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2013-01-01,82.576,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2013-01-01,79.349,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2013-01-01,84.091,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2013-01-01,81.664,,,,,,,,,,
