DATAFLOW,FREQ,REF_AREA,DATA_TYPE,HOSPITAL_TYPE,CLINICAL_SPECIALTY,MEDICAL_TECHNOLOGY,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_HOSPITAL_TYPE,NOTE_CLINICAL_SPECIALTY,NOTE_MEDICAL_TECHNOLOGY,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,19,TOT,99,ALL,ALL,2012-01-01,38405.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,111,TOT,99,ALL,ALL,2012-01-01,2.88,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,18,TOT,99,ALL,ALL,2012-01-01,291.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,19,TOT,99,ALL,ALL,2012-01-01,40282.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,111,TOT,99,ALL,ALL,2012-01-01,3.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,18,TOT,99,ALL,ALL,2012-01-01,171.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,19,TOT,99,ALL,ALL,2012-01-01,19937.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,111,TOT,99,ALL,ALL,2013-01-01,3.23,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,18,TOT,99,ALL,ALL,2013-01-01,1070.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,19,TOT,99,ALL,ALL,2013-01-01,194601.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,111,TOT,99,ALL,ALL,2013-01-01,3.41,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,18,TOT,99,ALL,ALL,2013-01-01,216.0,,,,,,,,,,,,
