DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2015-01-01,413.93,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2015-01-01,384.54,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2015-01-01,310.62,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2015-01-01,383.83,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2015-01-01,277.11,b,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2015-01-01,85.75,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2015-01-01,61.97,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2015-01-01,78.39,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2015-01-01,53.17,b,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2015-01-01,64.35,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2015-01-01,119.28,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2015-01-01,105.55,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2015-01-01,115.16,e,
