DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2012-01-01,70.55,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2012-01-01,74.96,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2012-01-01,96.25,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2012-01-01,76.31,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2012-01-01,36.57,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2012-01-01,22.4,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2012-01-01,5.83,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2012-01-01,41.9,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2012-01-01,16.22,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2012-01-01,25.72,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2012-01-01,11.39,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2012-01-01,29.01,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2012-01-01,26.6,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2012-01-01,10.34,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2012-01-01,22.17,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2012-01-01,17.8,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2012-01-01,300.9,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2012-01-01,240.95,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2012-01-01,165.37,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2012-01-01,296.65,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2012-01-01,24.03,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2012-01-01,23.17,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2012-01-01,16.96,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,IT,2012-01-01,20.47,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2012-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2012-01-01,17.62,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,IT,2012-01-01,6.65,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2013-01-01,97.47,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2013-01-01,75.11,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2013-01-01,141.98,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2013-01-01,88.86,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2013-01-01,70.63,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2013-01-01,75.11,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2013-01-01,94.86,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2013-01-01,75.05,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2013-01-01,36.41,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2013-01-01,22.12,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2013-01-01,6.01,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2013-01-01,43.25,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2013-01-01,16.4,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2013-01-01,25.52,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2013-01-01,11.48,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2013-01-01,29.01,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2013-01-01,26.64,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2013-01-01,10.39,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2013-01-01,22.36,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2013-01-01,18.1,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2013-01-01,306.03,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2013-01-01,241.24,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2013-01-01,166.52,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2013-01-01,301.15,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2013-01-01,24.67,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2013-01-01,23.14,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2013-01-01,17.05,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,IT,2013-01-01,20.87,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2013-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2013-01-01,17.5,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,IT,2013-01-01,7.22,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2014-01-01,99.05,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2014-01-01,75.04,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2014-01-01,141.43,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2014-01-01,87.95,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2014-01-01,70.83,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2014-01-01,75.04,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2014-01-01,93.08,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2014-01-01,73.92,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2014-01-01,36.45,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2014-01-01,22.18,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2014-01-01,6.13,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2014-01-01,42.24,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2014-01-01,16.45,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2014-01-01,25.97,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2014-01-01,11.61,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2014-01-01,28.78,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2014-01-01,26.89,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2014-01-01,10.52,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2014-01-01,22.46,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2014-01-01,18.02,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2014-01-01,311.78,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2014-01-01,243.55,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2014-01-01,167.78,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2014-01-01,300.1,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2014-01-01,25.27,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2014-01-01,23.61,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2014-01-01,17.31,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,IT,2014-01-01,21.04,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2014-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2014-01-01,18.07,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,IT,2014-01-01,7.86,,
