"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"Trasporto e magazzinaggio";"";"114.408 ";"4.762.196 ";"349.409.889 ";"946.539 ";"1.199.428 ";"110.645 ";"13.359.515 ";"1.059.083.830 ";"2.546.340 ";"3.133.470 ";"445.665 ";"111.068.844 ";"9.675.578.554 ";"20.032.788 ";"21.694.586 ";"461.198 ";"143.059.102 ";"15.041.461.651 ";"23.224.921 ";"23.982.291 ";"1.131.916 ";"272.249.657 ";"26.125.533.924 ";"46.750.588 ";"50.009.775 "
" ";"Attivita' dei servizi di alloggio e di ristorazione";"";"560.429 ";"22.316.944 ";"1.077.581.055 ";"4.351.537 ";"6.485.594 ";"434.615 ";"50.401.128 ";"2.627.135.385 ";"8.034.148 ";"12.013.772 ";"506.134 ";"108.231.862 ";"5.909.342.806 ";"15.636.556 ";"22.647.619 ";"46.754 ";"14.467.951 ";"1.020.328.566 ";"1.944.684 ";"2.431.203 ";"1.547.932 ";"195.417.885 ";"10.634.387.812 ";"29.966.925 ";"43.578.188 "
" ";"Servizi di informazione e comunicazione";"";"83.249 ";"1.922.044 ";"188.762.706 ";"441.220 ";"507.198 ";"37.852 ";"4.523.150 ";"437.777.800 ";"848.133 ";"989.977 ";"144.335 ";"37.296.136 ";"3.755.220.269 ";"6.267.070 ";"7.002.092 ";"299.945 ";"93.184.138 ";"12.441.356.183 ";"15.055.716 ";"15.597.136 ";"565.381 ";"136.925.468 ";"16.823.116.958 ";"22.612.138 ";"24.096.403 "
" ";"Attivita' finanziarie e assicurative";"";"10.873 ";"527.992 ";"69.515.211 ";"97.572 ";"115.367 ";"12.744 ";"1.565.516 ";"196.970.671 ";"277.210 ";"326.640 ";"68.565 ";"17.706.991 ";"2.033.411.815 ";"2.887.195 ";"3.298.328 ";"413.643 ";"128.654.605 ";"22.614.443.979 ";"20.885.043 ";"21.509.434 ";"505.825 ";"148.455.104 ";"24.914.341.676 ";"24.147.019 ";"25.249.769 "
" ";"Attivita' immobiliari";"";"6.292 ";"280.960 ";"17.655.248 ";"43.133 ";"68.639 ";"6.451 ";"755.534 ";"45.694.508 ";"111.736 ";"166.108 ";"22.693 ";"5.520.915 ";"373.304.537 ";"771.061 ";"1.053.375 ";"16.434 ";"5.109.588 ";"654.701.857 ";"759.302 ";"854.568 ";"51.870 ";"11.666.997 ";"1.091.356.150 ";"1.685.232 ";"2.142.690 "
" ";"Attivita' professionali, scientifiche e tecniche";"";"49.571 ";"1.937.843 ";"129.085.214 ";"389.358 ";"528.209 ";"40.955 ";"4.821.676 ";"326.553.032 ";"831.591 ";"1.124.680 ";"178.583 ";"44.607.438 ";"3.361.893.111 ";"6.938.030 ";"8.537.662 ";"223.191 ";"69.307.627 ";"7.739.346.364 ";"10.654.992 ";"11.605.915 ";"492.300 ";"120.674.584 ";"11.556.877.721 ";"18.813.971 ";"21.796.466 "
" ";"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"379.832 ";"14.270.775 ";"791.601.364 ";"2.432.461 ";"3.592.288 ";"244.066 ";"28.478.503 ";"1.629.874.137 ";"4.667.256 ";"6.444.052 ";"557.224 ";"134.497.496 ";"8.225.749.199 ";"20.567.089 ";"26.167.474 ";"536.927 ";"166.589.205 ";"12.303.226.261 ";"23.969.614 ";"27.920.158 ";"1.718.049 ";"343.835.979 ";"22.950.450.961 ";"51.636.421 ";"64.123.972 "
" ";"Istruzione";"";"138.486 ";"6.269.955 ";"362.958.608 ";"1.191.934 ";"1.422.981 ";"122.648 ";"14.779.959 ";"870.090.050 ";"2.532.883 ";"3.041.190 ";"343.479 ";"80.472.330 ";"5.458.588.101 ";"13.789.314 ";"15.122.228 ";"87.149 ";"27.004.495 ";"2.288.809.185 ";"4.196.701 ";"4.531.737 ";"691.762 ";"128.526.739 ";"8.980.445.944 ";"21.710.832 ";"24.118.136 "
" ";"Sanita' e assistenza sociale";"";"92.405 ";"3.932.040 ";"222.868.223 ";"628.832 ";"1.011.964 ";"84.310 ";"10.122.091 ";"538.170.233 ";"1.453.157 ";"2.355.007 ";"327.895 ";"80.385.229 ";"4.875.552.280 ";"11.772.066 ";"15.609.115 ";"338.031 ";"104.978.628 ";"8.026.520.029 ";"15.782.010 ";"17.577.603 ";"842.641 ";"199.417.988 ";"13.663.110.765 ";"29.636.065 ";"36.553.689 "
" ";"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"82.725 ";"2.865.975 ";"167.432.090 ";"498.945 ";"745.477 ";"46.036 ";"5.226.029 ";"352.126.627 ";"839.215 ";"1.146.018 ";"59.447 ";"13.077.131 ";"1.163.947.186 ";"2.172.007 ";"2.605.760 ";"22.754 ";"7.068.312 ";"925.161.517 ";"1.107.824 ";"1.183.205 ";"210.962 ";"28.237.447 ";"2.608.667.420 ";"4.617.992 ";"5.680.460 "
