comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Cellino San Marco,BRINDISI,PUGLIA,61.48,1205,1502,52.41,37.5,735,1218,42.5,470,CSX/M5S,17.936867,40.483768,9.07,-9.07
Cisternino,BRINDISI,PUGLIA,61.8,2915,3285,59.9,36.82,1737,2065,37.65,1178,CSX/M5S,17.425577,40.749739,1.9,-1.9
Erchie,BRINDISI,PUGLIA,45.83,1485,2275,46.09,53.27,1726,2564,51.94,241,CDX,17.735549,40.424465,-0.26,0.26
Fasano,BRINDISI,PUGLIA,68.24,9577,10767,62.7,31.05,4358,6023,35.08,5219,CSX/M5S,17.405114,40.824901,5.54,-5.54
Francavilla Fontana,BRINDISI,PUGLIA,62.39,7075,8116,50.68,36.81,4174,7265,45.37,2901,CSX/M5S,17.564012,40.530019,11.71,-11.71
Latiano,BRINDISI,PUGLIA,75.72,3599,4753,60.94,22.72,1080,2833,36.32,2519,CSX/M5S,17.704259,40.573414,14.78,-14.78
Mesagne,BRINDISI,PUGLIA,86.99,9605,7645,64.88,11.96,1320,3747,31.8,8285,CSX/M5S,17.806043,40.538467,22.11,-22.11
Oria,BRINDISI,PUGLIA,50.96,2799,2663,41.79,48.53,2666,3590,56.34,133,CSX/M5S,17.660162,40.490637,9.17,-9.17
Ostuni,BRINDISI,PUGLIA,71.65,9267,7455,55.42,27.28,3529,5589,41.55,5738,CSX/M5S,17.54886,40.730207,16.23,-16.23
San Donaci,BRINDISI,PUGLIA,66.14,1811,1480,56.12,32.91,901,1076,40.8,910,CSX/M5S,17.899714,40.452677,10.02,-10.02
San Michele Salentino,BRINDISI,PUGLIA,54.94,1291,1653,59.59,42.85,1007,1078,38.86,284,CSX/M5S,17.635775,40.605608,-4.65,4.65
San Pancrazio Salentino,BRINDISI,PUGLIA,78.38,3049,2891,65.11,20.95,815,1411,31.78,2234,CSX/M5S,17.825834,40.431428,13.27,-13.27
San Pietro Vernotico,BRINDISI,PUGLIA,53.58,2434,2700,46.7,45.7,2076,2969,51.35,358,CSX/M5S,18.006354,40.514124,6.88,-6.88
San Vito Dei Normanni,BRINDISI,PUGLIA,55.93,3515,5022,48.88,43.12,2710,4991,48.57,805,CSX/M5S,17.703526,40.640704,7.05,-7.05
Torchiarolo,BRINDISI,PUGLIA,66.51,1154,1112,40.36,32.62,566,1574,57.13,588,CSX/M5S,18.05412,40.503214,26.15,-26.15
Torre Santa Susanna,BRINDISI,PUGLIA,62.77,2268,1692,35.61,36.15,1306,2973,62.56,962,CSX/M5S,17.749465,40.48452,27.16,-27.16
Villa Castelli,BRINDISI,PUGLIA,78.59,2863,2325,52.96,20.92,762,1948,44.37,2101,CSX/M5S,17.481079,40.563178,25.63,-25.63
Accadia,FOGGIA,PUGLIA,86.31,813,839,63.13,12.74,120,448,33.71,693,CSX/M5S,15.328659,41.180915,23.18,-23.18
Alberona,FOGGIA,PUGLIA,62.38,189,215,51.93,36.3,110,198,47.83,79,CSX/M5S,15.147628,41.435689000000004,10.45,-10.45
Anzano Di Puglia,FOGGIA,PUGLIA,74.79,359,350,62.95,25,120,194,34.89,239,CSX/M5S,15.290708,41.111851,11.84,-11.84
Apricena,FOGGIA,PUGLIA,47.38,2527,2278,35.82,52.21,2785,4008,63.02,258,CDX,15.456612,41.777187,11.56,-11.56
Ascoli Satriano,FOGGIA,PUGLIA,48.51,865,1705,64.61,51.04,910,898,34.03,45,CDX,15.62437,41.199058,-16.1,16.1
Biccari,FOGGIA,PUGLIA,75.67,734,655,52.32,23.51,228,563,44.97,506,CSX/M5S,15.219313,41.421974,23.35,-23.35
Bovino,FOGGIA,PUGLIA,61.63,673,781,52.17,37.73,412,672,44.89,261,CSX/M5S,15.369777,41.269765,9.46,-9.46
Cagnano Varano,FOGGIA,PUGLIA,71.26,1589,1537,44.1,28.03,625,1843,52.88,964,CSX/M5S,15.734529,41.844169,27.16,-27.16
Candela,FOGGIA,PUGLIA,21.67,301,540,38.16,77.47,1076,853,60.28,775,CDX,15.562207,41.134388,-16.49,16.49
Carapelle,FOGGIA,PUGLIA,60.75,1099,1297,51.37,38.92,704,1195,47.33,395,CSX/M5S,15.702869,41.362045,9.38,-9.38
Carlantino,FOGGIA,PUGLIA,81.76,269,228,55.21,17.93,59,180,43.58,210,CSX/M5S,14.980381,41.611198,26.55,-26.55
Carpino,FOGGIA,PUGLIA,73.99,1121,1072,54.64,25.41,385,865,44.09,736,CSX/M5S,15.870614,41.82549,19.35,-19.35
Casalnuovo Monterotaro,FOGGIA,PUGLIA,72.51,356,460,67.95,26.68,131,205,30.28,225,CSX/M5S,15.073734,41.627366,4.56,-4.56
Casalvecchio Di Puglia,FOGGIA,PUGLIA,78.78,438,523,59.16,20.68,115,334,37.78,323,CSX/M5S,15.129548,41.628067,19.62,-19.62
Castelluccio Dei Sauri,FOGGIA,PUGLIA,48.07,337,531,59.2,50.93,357,356,39.69,20,CDX,15.485137,41.304719,-11.13,11.13
Castelluccio Valmaggiore,FOGGIA,PUGLIA,66.21,341,328,55.41,33.01,170,235,39.7,171,CSX/M5S,15.209423,41.35283,10.8,-10.8
Castelnuovo Della Daunia,FOGGIA,PUGLIA,76.14,383,482,72.16,23.06,116,162,24.25,267,CSX/M5S,15.158121,41.595534,3.98,-3.98
Celenza Valfortore,FOGGIA,PUGLIA,37.31,222,321,47.63,62.02,369,323,47.92,147,CDX,15.002649,41.56226,-10.32,10.32
Celle Di San Vito,FOGGIA,PUGLIA,83.53,71,59,66.29,15.29,13,29,32.58,58,CSX/M5S,15.197384,41.31819,17.24,-17.24
Cerignola,FOGGIA,PUGLIA,57.5,8409,10738,56.61,42.02,6146,7834,41.3,2263,CSX/M5S,15.8773,41.278598,0.89,-0.89
Chieuti,FOGGIA,PUGLIA,63.54,305,377,48.65,35.83,172,384,49.55,133,CSX/M5S,15.164164,41.880156,14.89,-14.89
Deliceto,FOGGIA,PUGLIA,66.38,1080,1144,59.37,32.88,535,763,39.6,545,CSX/M5S,15.426944,41.225874,7.01,-7.01
Faeto,FOGGIA,PUGLIA,69.27,142,121,44.65,30.24,62,140,51.66,80,CSX/M5S,15.15918,41.311647,24.62,-24.62
Foggia,FOGGIA,PUGLIA,69.36,32925,37535,56.53,29.61,14055,26942,40.57,18870,CSX/M5S,15.583891,41.456365,12.83,-12.83
Ischitella,FOGGIA,PUGLIA,70.43,936,866,50.97,29.27,389,694,40.85,547,CSX/M5S,15.844933,41.888815,19.46,-19.46
Isole Tremiti,FOGGIA,PUGLIA,57.63,68,107,49.31,42.37,50,106,48.85,18,CSX/M5S,15.487086,42.114918,8.32,-8.32
Lesina,FOGGIA,PUGLIA,58.91,1078,1053,46.74,40.66,744,1163,51.62,334,CSX/M5S,15.377055,41.874373,12.17,-12.17
Lucera,FOGGIA,PUGLIA,79.07,8809,10542,65.87,20.44,2277,5107,31.91,6532,CSX/M5S,15.351304,41.497849,13.2,-13.2
Manfredonia,FOGGIA,PUGLIA,68.44,12006,11476,47.32,30.95,5429,11263,46.44,6577,CSX/M5S,15.820429,41.537023,21.12,-21.12
Mattinata,FOGGIA,PUGLIA,57.19,1345,1215,36.12,42.26,994,1820,54.1,351,CSX/M5S,16.071385,41.737971,21.07,-21.07
Monte Santangelo,FOGGIA,PUGLIA,86.76,4143,4062,67.54,12.96,619,1732,28.8,3524,CSX/M5S,15.943302,41.73854,19.22,-19.22
Monteleone Di Puglia,FOGGIA,PUGLIA,70.14,390,356,57.51,28.6,159,254,41.03,231,CSX/M5S,15.251238,41.157682,12.63,-12.63
Motta Montecorvino,FOGGIA,PUGLIA,77.06,215,217,62.9,22.94,64,121,35.07,151,CSX/M5S,15.107386,41.509337,14.16,-14.16
Ordona,FOGGIA,PUGLIA,53.74,453,768,53.56,45.55,384,646,45.05,69,CSX/M5S,15.619357,41.307313,0.18,-0.18
Orsara Di Puglia,FOGGIA,PUGLIA,73.32,797,775,59.8,25.85,281,505,38.97,516,CSX/M5S,15.291168,41.294856,13.52,-13.52
Orta Nova,FOGGIA,PUGLIA,64.65,2955,4029,61.55,35.05,1602,2436,37.21,1353,CSX/M5S,15.721566,41.322071,3.1,-3.1
Panni,FOGGIA,PUGLIA,75.81,282,299,61.52,23.66,88,181,37.24,194,CSX/M5S,15.284301,41.211841,14.29,-14.29
Peschici,FOGGIA,PUGLIA,61.36,1021,700,36.31,38.46,640,1205,62.5,381,CSX/M5S,16.031925,41.911906,25.05,-25.05
Pietramontecorvino,FOGGIA,PUGLIA,66.26,654,817,63.28,33.23,328,462,35.79,326,CSX/M5S,15.154032,41.546447,2.98,-2.98
Poggio Imperiale,FOGGIA,PUGLIA,54.02,390,480,46.74,45.98,332,536,52.19,58,CSX/M5S,15.339455,41.829808,7.28,-7.28
Rignano Garganico,FOGGIA,PUGLIA,79.24,649,682,69.95,20.15,165,258,26.46,484,CSX/M5S,15.580302,41.66197,9.29,-9.29
Rocchetta Santantonio,FOGGIA,PUGLIA,40.29,328,813,72.91,59.09,481,279,25.02,153,CDX,15.482745,41.101993,-32.62,32.62
Rodi Garganico,FOGGIA,PUGLIA,70.48,831,928,62.03,28.58,337,535,35.76,494,CSX/M5S,15.882026,41.921117,8.45,-8.45
Roseto Valfortore,FOGGIA,PUGLIA,66.56,199,217,52.29,33.11,99,171,41.2,100,CSX/M5S,15.110049,41.357851,14.27,-14.27
San Giovanni Rotondo,FOGGIA,PUGLIA,81.31,8120,7717,61.58,17.81,1779,4354,34.75,6341,CSX/M5S,15.748822,41.654215,19.73,-19.73
San Marco In Lamis,FOGGIA,PUGLIA,71.53,4386,3390,53.13,28.02,1718,2831,44.37,2668,CSX/M5S,15.655956,41.708797,18.4,-18.4
San Marco La Catola,FOGGIA,PUGLIA,77.47,251,210,54.4,21.91,71,120,31.09,180,CSX/M5S,15.009976,41.51848,23.07,-23.07
San Nicandro Garganico,FOGGIA,PUGLIA,71.57,3308,2592,43.96,28.17,1302,3174,53.83,2006,CSX/M5S,15.575588,41.844083,27.61,-27.61
San Paolo Di Civitate,FOGGIA,PUGLIA,74.32,1340,1659,71.54,24.9,449,621,26.78,891,CSX/M5S,15.259566,41.763157,2.78,-2.78
San Severo,FOGGIA,PUGLIA,71.56,10098,11148,54.94,27.93,3941,8466,41.72,6157,CSX/M5S,15.422286,41.65706,16.62,-16.62
Santagata Di Puglia,FOGGIA,PUGLIA,46.39,296,383,43.03,52.82,337,495,55.62,41,CDX,15.384122,41.145585,3.36,-3.36
Serracapriola,FOGGIA,PUGLIA,52.85,537,732,38.05,46.56,473,1090,56.65,64,CSX/M5S,15.188644,41.820573,14.8,-14.8
Stornara,FOGGIA,PUGLIA,59.93,1246,1451,70.06,40.02,832,585,28.25,414,CSX/M5S,15.777256,41.293117,-10.13,10.13
Stornarella,FOGGIA,PUGLIA,53.59,962,1165,52.01,46.24,830,1059,47.28,132,CSX/M5S,15.721528,41.266335,1.58,-1.58
Torremaggiore,FOGGIA,PUGLIA,76.03,4432,3237,49.61,23.61,1376,2932,44.93,3056,CSX/M5S,15.238655,41.664524,26.42,-26.42
Troia,FOGGIA,PUGLIA,75.81,2128,2284,68.86,23.26,653,974,29.36,1475,CSX/M5S,15.361032,41.365108,6.95,-6.95
Vico Del Gargano,FOGGIA,PUGLIA,62.65,1384,1269,40.62,36.85,814,1797,57.52,570,CSX/M5S,15.979817,41.869002,22.03,-22.03
Vieste,FOGGIA,PUGLIA,82.36,4398,3056,57.48,17.3,924,2057,38.69,3474,CSX/M5S,16.119751,41.842023,24.88,-24.88
Volturara Appula,FOGGIA,PUGLIA,87.97,139,149,78.84,10.76,17,40,21.16,122,CSX/M5S,15.063914,41.476528,9.13,-9.13
Volturino,FOGGIA,PUGLIA,76.89,479,373,48.13,21.99,137,398,51.35,342,CSX/M5S,15.161824,41.494053,28.76,-28.76
Zapponeta,FOGGIA,PUGLIA,53.04,645,345,19.66,46.55,566,1213,69.12,79,CSX/M5S,15.908468,41.455954,33.38,-33.38
Alessano,LECCE,PUGLIA,48.97,1333,1739,60.42,50.07,1363,1051,36.52,30,CDX,18.326702,39.890497,-11.45,11.45
Alezio,LECCE,PUGLIA,59.35,1269,1299,45.93,39.43,843,1486,52.55,426,CSX/M5S,18.059786,40.049751,13.42,-13.42
Alliste,LECCE,PUGLIA,57.94,1302,1467,58.24,41.43,931,996,39.54,371,CSX/M5S,18.087202,39.931811,-0.3,0.3
Andrano,LECCE,PUGLIA,63.96,1388,1535,63.09,34.33,745,859,35.31,643,CSX/M5S,18.366823,39.982643,0.87,-0.87
Aradeo,LECCE,PUGLIA,66.59,2282,2633,64.66,32.68,1120,1333,32.74,1162,CSX/M5S,18.132975,40.1316,1.93,-1.93
Arnesano,LECCE,PUGLIA,52.13,831,1108,49.66,46.68,744,1016,45.54,87,CSX/M5S,18.079745,40.336679,2.47,-2.47
Bagnolo Del Salento,LECCE,PUGLIA,39.66,326,390,36.72,59.73,491,664,62.52,165,CDX,18.355396,40.148446,2.94,-2.94
Botrugno,LECCE,PUGLIA,54.88,664,595,40.59,44.38,537,849,57.91,127,CSX/M5S,18.308472,40.055016,14.29,-14.29
Calimera,LECCE,PUGLIA,49.72,1715,2572,60.88,48.85,1685,1561,36.95,30,CSX/M5S,18.291505,40.244989,-11.16,11.16
Campi Salentina,LECCE,PUGLIA,60.53,2684,2924,56.58,38.79,1720,2007,38.84,964,CSX/M5S,18.001189,40.411254,3.95,-3.95
Cannole,LECCE,PUGLIA,33.62,277,429,46.23,66.02,544,469,50.54,267,CDX,18.388858,40.164165,-12.61,12.61
Caprarica Di Lecce,LECCE,PUGLIA,73.85,932,796,61.51,25.04,316,482,37.25,616,CSX/M5S,18.246819,40.262761,12.34,-12.34
Carmiano,LECCE,PUGLIA,45.2,2438,2569,42.58,54.25,2926,3359,55.68,488,CDX,18.036401,40.343327,2.62,-2.62
Carpignano Salentino,LECCE,PUGLIA,59.95,934,1120,55.61,38.13,594,853,42.35,340,CSX/M5S,18.349043000000002,40.209269,4.34,-4.34
Casarano,LECCE,PUGLIA,50.4,3635,4843,46.5,48.34,3486,5322,51.1,149,CSX/M5S,18.174706,40.018702,3.9,-3.9
Castri Di Lecce,LECCE,PUGLIA,47.44,612,705,42.09,51.16,660,935,55.82,48,CDX,18.26783,40.279539,5.35,-5.35
Castrignano De Greci,LECCE,PUGLIA,59.81,933,1133,55.48,39.87,622,875,42.85,311,CSX/M5S,18.308428,40.172862,4.33,-4.33
Castrignano Del Capo,LECCE,PUGLIA,44.9,911,1280,52.52,54.46,1105,1124,46.12,194,CDX,18.346824,39.820711,-7.62,7.62
Castro,LECCE,PUGLIA,52.22,588,697,50.76,45.74,515,654,47.63,73,CSX/M5S,18.421439,40.009688,1.46,-1.46
Cavallino,LECCE,PUGLIA,56.85,3068,3435,56.1,42.21,2278,2508,40.96,790,CSX/M5S,18.198865,40.295357,0.75,-0.75
Collepasso,LECCE,PUGLIA,46.51,974,1213,42.37,52.82,1106,1540,53.79,132,CDX,18.169282,40.070615,4.14,-4.14
Copertino,LECCE,PUGLIA,57.42,4967,4980,45.36,41.76,3612,5646,51.42,1355,CSX/M5S,18.051938,40.269579,12.06,-12.06
Corigliano Dotranto,LECCE,PUGLIA,68.74,1781,1773,51.24,30.1,780,967,27.95,1001,CSX/M5S,18.251566,40.156162,17.5,-17.5
Corsano,LECCE,PUGLIA,72.01,1551,1635,64.34,27.21,586,775,30.5,965,CSX/M5S,18.379967,39.883725,7.67,-7.67
Cursi,LECCE,PUGLIA,46.61,840,895,39.83,52.72,950,1328,59.1,110,CDX,18.321625,40.152348,6.78,-6.78
Cutrofiano,LECCE,PUGLIA,56.46,2002,3294,66.18,42.5,1507,1555,31.24,495,CSX/M5S,18.198045,40.109077,-9.72,9.72
Diso,LECCE,PUGLIA,46.51,627,798,50.89,52,701,741,47.26,74,CDX,18.392315,39.998935,-4.38,4.38
Gagliano Del Capo,LECCE,PUGLIA,47.95,818,1280,47.37,51.41,877,1375,50.89,59,CDX,18.371694,39.840524,0.58,-0.58
Galatina,LECCE,PUGLIA,61.76,6613,6780,55.33,37.27,3991,4853,39.6,2622,CSX/M5S,18.136853,40.191633,6.43,-6.43
Galatone,LECCE,PUGLIA,60.46,3544,4967,64.88,38.74,2271,2548,33.28,1273,CSX/M5S,18.064014,40.144942,-4.42,4.42
Gallipoli,LECCE,PUGLIA,67.23,5446,5683,61,32.07,2598,3399,36.48,2848,CSX/M5S,18.027983,40.031175,6.23,-6.23
Giuggianello,LECCE,PUGLIA,53.64,302,448,65.88,45.65,257,223,32.79,45,CSX/M5S,18.386319,40.106823,-12.24,12.24
Giurdignano,LECCE,PUGLIA,40.46,335,490,48.76,59.06,489,498,49.55,154,CDX,18.432806,40.131025,-8.3,8.3
Guagnano,LECCE,PUGLIA,50.43,1123,1339,50.34,48.23,1074,1277,48.01,49,CSX/M5S,17.921195,40.412423,0.09,-0.09
Lecce,LECCE,PUGLIA,58.34,20184,24229,57.04,40.35,13959,16836,39.63,6225,CSX/M5S,18.173851,40.402642,1.3,-1.3
Lequile,LECCE,PUGLIA,48.27,1689,2236,54.22,50.7,1774,1751,42.46,85,CDX,18.132930000000002,40.273646,-5.95,5.95
Leverano,LECCE,PUGLIA,66.71,3687,2969,47.53,30.9,1708,2914,46.65,1979,CSX/M5S,17.970115,40.290925,19.18,-19.18
Lizzanello,LECCE,PUGLIA,47.13,2169,2902,51.58,51.96,2391,2638,46.89,222,CDX,18.235336,40.320181,-4.45,4.45
Maglie,LECCE,PUGLIA,47.44,2796,3377,39.25,50.93,3002,4961,57.66,206,CDX,18.295835,40.120833,8.19,-8.19
Martano,LECCE,PUGLIA,54.16,1945,2842,54.8,44.36,1593,2089,40.28,352,CSX/M5S,18.291632,40.208127,-0.64,0.64
Martignano,LECCE,PUGLIA,64.13,547,640,66.67,35.29,301,297,30.94,246,CSX/M5S,18.258838,40.237904,-2.54,2.54
Matino,LECCE,PUGLIA,41.71,1465,2714,57.08,57.26,2011,1944,40.88,546,CDX,18.120192,40.027377,-15.37,15.37
Melendugno,LECCE,PUGLIA,69.58,3046,2725,58.25,29.24,1280,1790,38.26,1766,CSX/M5S,18.378813,40.266964,11.33,-11.33
Melissano,LECCE,PUGLIA,47.72,1015,1474,53.33,51.43,1094,1245,45.04,79,CDX,18.125043,39.978075,-5.61,5.61
Melpignano,LECCE,PUGLIA,81.5,1057,1066,69.13,17.73,230,456,29.57,827,CSX/M5S,18.284187,40.149542,12.37,-12.37
Miggiano,LECCE,PUGLIA,33.57,511,808,48.3,65.11,991,840,50.21,480,CDX,18.307339,39.966585,-14.73,14.73
Minervino Di Lecce,LECCE,PUGLIA,43.79,755,867,43.59,55.74,961,1097,55.15,206,CDX,18.41523,40.087042,0.2,-0.2
Monteroni Di Lecce,LECCE,PUGLIA,41.15,2097,3061,42.23,58.03,2957,3735,51.52,860,CDX,18.089902,40.316242,-1.08,1.08
