comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Vigasio,VERONA,VENETO,23.24,799,791,14.89,72.02,2476,4410,83.02,1677,CDX,10.938972,45.323645,-11,11
Villa Bartolomea,VERONA,VENETO,26.72,580,537,19.77,68.72,1492,2109,77.65,912,CDX,11.350435,45.117957,-8.93,8.93
Villafranca Di Verona,VERONA,VENETO,26.88,3299,3188,19.55,69.57,8537,12748,78.19,5238,CDX,10.849859,45.359864,-8.62,8.62
Zevio,VERONA,VENETO,18.17,1078,1042,13.93,78.06,4632,6227,83.27,3554,CDX,11.122157,45.36212,-5.21,5.21
Zimella,VERONA,VENETO,13.85,244,232,9.75,81.95,1444,2102,88.32,1200,CDX,11.358117,45.347797,-6.37,6.37
Agugliaro,VICENZA,VENETO,19.67,118,100,13.02,75.33,452,653,85.03,334,CDX,11.580301,45.32473,-9.7,9.7
Albettone,VICENZA,VENETO,14.81,129,109,8.91,78.99,688,1073,87.74,559,CDX,11.59689,45.359181,-8.75,8.75
Alonte,VICENZA,VENETO,22.33,157,175,19.47,70.98,499,696,77.42,342,CDX,11.432261,45.362505,-6.44,6.44
Altavilla Vicentina,VICENZA,VENETO,24.37,1085,901,15.27,70.4,3135,4734,80.21,2050,CDX,11.47744,45.504413,-9.81,9.81
Altissimo,VICENZA,VENETO,12.83,131,82,6.96,84.62,864,1042,88.38,733,CDX,11.246822,45.614902,-3.76,3.76
Arcugnano,VICENZA,VENETO,24.73,883,767,16.71,70.57,2520,3629,79.05,1637,CDX,11.53444,45.477969,-8.48,8.48
Arsiero,VICENZA,VENETO,22.88,272,313,19.59,69.3,824,1236,77.35,552,CDX,11.308903,45.839551,-8.05,8.05
Arzignano,VICENZA,VENETO,18.29,1737,1573,12.96,77.68,7378,9972,82.19,5641,CDX,11.337952,45.525521,-4.51,4.51
Asiago,VICENZA,VENETO,16.22,492,452,12.9,80.42,2439,2940,83.88,1947,CDX,11.506902,45.929103,-3.46,3.46
Asigliano Veneto,VICENZA,VENETO,15.36,55,46,9.79,82.4,295,413,87.87,240,CDX,11.458296,45.311376,-5.47,5.47
Barbarano Mossano,VICENZA,VENETO,22.68,568,437,13.83,71.73,1796,2603,82.4,1228,CDX,11.564689,45.408901,-10.67,10.67
Bassano Del Grappa,VICENZA,VENETO,35.46,5891,4878,22.92,58.76,9763,15310,71.93,3872,CDX,11.707212,45.774091,-13.17,13.17
Bolzano Vicentino,VICENZA,VENETO,20.99,569,484,13.6,72.89,1976,2906,81.63,1407,CDX,11.618923,45.5983,-8.74,8.74
Breganze,VICENZA,VENETO,27.81,1022,951,19.71,64.93,2386,3625,75.13,1364,CDX,11.579278,45.69876,-10.2,10.2
Brendola,VICENZA,VENETO,22.25,614,520,14.86,71.77,1980,2816,80.48,1366,CDX,11.453544,45.465248,-8.71,8.71
Bressanvido,VICENZA,VENETO,16.52,237,223,12.15,77.77,1116,1546,84.25,879,CDX,11.63766,45.639865,-6.48,6.48
Brogliano,VICENZA,VENETO,15.99,263,244,11.07,78.42,1290,1871,84.89,1027,CDX,11.332601,45.590828,-6.47,6.47
Caldogno,VICENZA,VENETO,27.19,1298,983,16.44,68.03,3247,4809,80.42,1949,CDX,11.512864,45.611209,-12.39,12.39
Caltrano,VICENZA,VENETO,28.47,310,258,19.1,58.68,639,1023,75.72,329,CDX,11.473636,45.789888,-17.04,17.04
Calvene,VICENZA,VENETO,36.97,210,153,22.11,54.58,310,503,72.69,100,CDX,11.510219,45.784617,-18.11,18.11
Camisano Vicentino,VICENZA,VENETO,17.11,754,652,12.06,78.33,3452,4588,84.87,2698,CDX,11.711881,45.525553,-6.54,6.54
Campiglia Dei Berici,VICENZA,VENETO,20.65,152,113,11.43,74.59,549,838,84.73,397,CDX,11.544354,45.333212,-10.14,10.14
Carre,VICENZA,VENETO,31.26,448,374,19.95,61.13,876,1435,76.53,428,CDX,11.46423,45.744251,-15.4,15.4
Cartigliano,VICENZA,VENETO,21.94,326,299,14.06,69.25,1029,1737,81.7,703,CDX,11.70047,45.707817,-12.45,12.45
Cassola,VICENZA,VENETO,25.41,1546,1209,15.4,66.87,4069,6296,80.19,2523,CDX,11.781307,45.744044,-13.32,13.32
Castegnero,VICENZA,VENETO,17.99,209,193,12.44,76.68,891,1300,83.76,682,CDX,11.603915,45.437113,-7.08,7.08
Castelgomberto,VICENZA,VENETO,21.38,509,411,13.29,74.42,1772,2527,81.7,1263,CDX,11.403168,45.585587,-7.28,7.28
Chiampo,VICENZA,VENETO,11.76,573,425,6.75,84.47,4116,5125,81.38,3543,CDX,11.27691,45.547594,3.09,-3.09
Chiuppano,VICENZA,VENETO,34.88,369,308,22.78,55.67,589,987,73,220,CDX,11.472637,45.759865,-17.33,17.33
Cogollo Del Cengio,VICENZA,VENETO,31.17,433,420,20.39,59.9,832,1567,76.07,399,CDX,11.41198,45.809024,-16.17,16.17
Colceresa,VICENZA,VENETO,21.53,587,480,13.71,72.64,1981,2908,83.04,1394,CDX,11.614921,45.721944,-10.4,10.4
Cornedo Vicentino,VICENZA,VENETO,19.84,927,793,12.51,74.06,3460,5287,83.42,2533,CDX,11.348958,45.616096,-9.36,9.36
Costabissara,VICENZA,VENETO,28.22,928,756,18.43,67.31,2213,3175,77.4,1285,CDX,11.483872,45.587041,-10.09,10.09
Creazzo,VICENZA,VENETO,29.53,1326,1029,17.98,64.66,2904,4501,78.63,1578,CDX,11.469843,45.537619,-13.97,13.97
Crespadoro,VICENZA,VENETO,11.21,64,59,8.74,84.24,481,592,87.7,417,CDX,11.189093,45.64745,-3.46,3.46
Dueville,VICENZA,VENETO,25.69,1482,1175,15.75,68.74,3965,5982,80.18,2483,CDX,11.555004,45.628925,-11.44,11.44
Enego,VICENZA,VENETO,14.01,95,65,7.67,81.71,554,762,89.86,459,CDX,11.65804,45.940125,-8.15,8.15
Fara Vicentino,VICENZA,VENETO,21.2,350,301,13.81,72.14,1191,1809,83.02,841,CDX,11.559674,45.735662,-10.88,10.88
Foza,VICENZA,VENETO,9.17,32,32,8.16,86.53,302,341,86.99,270,CDX,11.628927,45.905897,-0.46,0.46
Gallio,VICENZA,VENETO,10.47,124,119,8.26,86.82,1028,1286,89.24,904,CDX,11.563859,45.904208,-2.42,2.42
Gambellara,VICENZA,VENETO,22.67,268,244,15.14,72.5,857,1310,81.27,589,CDX,11.33909,45.451823,-8.77,8.77
Grisignano Di Zocco,VICENZA,VENETO,16.22,281,255,11.55,79.85,1383,1869,84.69,1102,CDX,11.703944,45.481953,-4.84,4.84
Grumolo Delle Abbadesse,VICENZA,VENETO,19.48,293,224,11.38,75.27,1132,1696,86.14,839,CDX,11.660916,45.506915,-10.87,10.87
Isola Vicentina,VICENZA,VENETO,23.02,1020,880,16.44,70.18,3109,4279,79.95,2089,CDX,11.451546,45.619985,-9.77,9.77
Laghi,VICENZA,VENETO,28.81,17,17,25.76,66.1,39,46,69.7,22,CDX,11.251384,45.833731,-3.6,3.6
Lastebasse,VICENZA,VENETO,10.64,10,11,10.28,87.23,82,93,86.92,72,CDX,11.283709,45.895439,0.31,-0.31
Longare,VICENZA,VENETO,26.56,646,538,17.49,69.37,1687,2425,78.84,1041,CDX,11.606647,45.471372,-9.47,9.47
Lonigo,VICENZA,VENETO,26.26,1380,1587,20.23,68.78,3615,6077,77.46,2235,CDX,11.383003,45.385721,-8.68,8.68
Lugo Di Vicenza,VICENZA,VENETO,30.36,480,427,21.4,62.62,990,1490,74.69,510,CDX,11.52857,45.772977,-12.07,12.07
Lusiana Conco,VICENZA,VENETO,17.18,349,308,11.06,76.96,1563,2363,84.85,1214,CDX,11.591406,45.805854,-7.89,7.89
Malo,VICENZA,VENETO,28.53,1676,1642,19.7,65.58,3853,6412,76.95,2177,CDX,11.423805,45.657649,-11.37,11.37
Marano Vicentino,VICENZA,VENETO,35.12,1291,1156,23.34,58.22,2140,3556,71.79,849,CDX,11.43303,45.694066,-13.57,13.57
Marostica,VICENZA,VENETO,28.98,1752,1397,17.88,63.92,3864,6049,77.43,2112,CDX,11.64723,45.757637,-13.51,13.51
Monte Di Malo,VICENZA,VENETO,23.88,304,293,17.64,68.74,875,1332,80.19,571,CDX,11.365519,45.649665,-11.45,11.45
Montebello Vicentino,VICENZA,VENETO,22.14,537,490,15.33,72.91,1768,2605,81.48,1231,CDX,11.382252,45.460027,-8.57,8.57
Montecchio Maggiore,VICENZA,VENETO,27.2,2200,1932,17.83,66.57,5384,8336,76.91,3184,CDX,11.407655,45.513046,-10.34,10.34
Montecchio Precalcino,VICENZA,VENETO,21.19,482,374,13.19,72.4,1647,2350,82.86,1165,CDX,11.542797,45.667289,-10.46,10.46
Montegalda,VICENZA,VENETO,17.62,260,271,14.84,75.61,1116,1467,80.34,856,CDX,11.663467,45.461034,-4.73,4.73
Montegaldella,VICENZA,VENETO,16.65,137,110,10.86,79.1,651,872,86.08,514,CDX,11.650696,45.436445,-6.98,6.98
Monteviale,VICENZA,VENETO,24.55,327,250,15.76,69.67,928,1263,79.63,601,CDX,11.470467,45.560568,-9.96,9.96
Monticello Conte Otto,VICENZA,VENETO,30.14,1219,1023,20.22,64.32,2601,3868,76.46,1382,CDX,11.582011,45.601397,-12.14,12.14
Montorso Vicentino,VICENZA,VENETO,19.43,238,160,9.93,77.71,952,1408,87.34,714,CDX,11.356042,45.491468,-9.63,9.63
Mussolente,VICENZA,VENETO,23.11,726,546,13.17,68.62,2156,3389,81.76,1430,CDX,11.808463,45.770847,-13.14,13.14
Nanto,VICENZA,VENETO,18.58,248,187,10.7,76.33,1019,1488,85.13,771,CDX,11.591813,45.42498,-8.8,8.8
Nogarole Vicentino,VICENZA,VENETO,9.98,61,63,8.84,85.6,523,626,87.8,462,CDX,11.290796,45.572213,-2.2,2.2
Nove,VICENZA,VENETO,34.73,761,663,23.87,59.84,1311,2008,72.28,550,CDX,11.676097,45.716084,-12.44,12.44
Noventa Vicentina,VICENZA,VENETO,23.45,798,714,15.98,71.97,2449,3635,81.34,1651,CDX,11.5586,45.285259,-9.37,9.37
Orgiano,VICENZA,VENETO,14.4,184,143,8.58,82,1048,1477,88.6,864,CDX,11.466149,45.344631,-6.6,6.6
Pedemonte,VICENZA,VENETO,18.54,61,65,17.02,77.81,256,303,79.32,195,CDX,11.330479,45.911129,-1.51,1.51
Pianezze,VICENZA,VENETO,21.21,245,229,17.75,74.2,857,1013,78.53,612,CDX,11.636553,45.733834,-4.33,4.33
Piovene Rocchette,VICENZA,VENETO,30.96,925,880,22.18,60.98,1822,2995,75.5,897,CDX,11.423787,45.75685,-14.52,14.52
Pojana Maggiore,VICENZA,VENETO,20.44,362,319,13.76,74.93,1327,1935,83.48,965,CDX,11.506272,45.290592,-8.55,8.55
Posina,VICENZA,VENETO,12.45,29,27,8.13,78.97,184,292,87.95,155,CDX,11.254356,45.79671,-8.98,8.98
Pove Del Grappa,VICENZA,VENETO,28.71,414,305,16.33,62.62,903,1481,79.28,489,CDX,11.738382,45.83045,-16.66,16.66
Pozzoleone,VICENZA,VENETO,14.64,185,201,12.38,80.06,1012,1383,85.16,827,CDX,11.67664,45.666556,-5.1,5.1
Quinto Vicentino,VICENZA,VENETO,25.39,646,549,17.17,68.12,1733,2539,79.42,1087,CDX,11.643046,45.56988,-11.3,11.3
Recoaro Terme,VICENZA,VENETO,28.17,705,694,18.18,66.76,1671,2968,77.76,966,CDX,11.210639,45.696292,-11,11
Roana,VICENZA,VENETO,15.57,322,250,10.05,81.53,1686,2189,88.02,1364,CDX,11.443866,45.882347,-6.49,6.49
Romano Dezzelino,VICENZA,VENETO,25.13,1431,1118,14.83,66.6,3792,6124,81.23,2361,CDX,11.76505,45.789659,-14.63,14.63
Rosa,VICENZA,VENETO,21.62,1298,1053,13.61,70.21,4216,6374,82.4,2918,CDX,11.751238,45.717313,-12.19,12.19
Rossano Veneto,VICENZA,VENETO,18.17,571,474,11.38,73.68,2315,3552,85.26,1744,CDX,11.804515,45.705585,-11.58,11.58
Rotzo,VICENZA,VENETO,26.48,94,75,19.53,71.27,253,301,78.39,159,CDX,11.391148,45.899806,-7.12,7.12
Salcedo,VICENZA,VENETO,14.48,64,56,9.23,81,358,537,88.47,294,CDX,11.570978,45.759878,-7.47,7.47
San Pietro Mussolino,VICENZA,VENETO,10.84,67,85,10.81,87.06,538,667,84.86,471,CDX,11.251588,45.588423,2.2,-2.2
San Vito Di Leguzzano,VICENZA,VENETO,33.55,518,512,25.4,61.08,943,1440,71.43,425,CDX,11.373347,45.682186,-10.35,10.35
Sandrigo,VICENZA,VENETO,22.67,773,620,14.55,69.68,2376,3451,80.99,1603,CDX,11.607577,45.656276,-11.31,11.31
Santorso,VICENZA,VENETO,36.15,886,849,26.43,57.36,1406,2234,69.55,520,CDX,11.395312,45.738083,-12.19,12.19
Sarcedo,VICENZA,VENETO,24.53,580,564,18.4,67.34,1592,2387,77.85,1012,CDX,11.523044,45.701251,-10.51,10.51
Sarego,VICENZA,VENETO,19.85,466,509,16,75.47,1772,2579,81.08,1306,CDX,11.414321,45.421468,-5.61,5.61
Schiavon,VICENZA,VENETO,17,196,151,9.63,75.8,874,1367,87.18,678,CDX,11.647707,45.685093,-11.38,11.38
Schio,VICENZA,VENETO,41.42,6145,5767,30.23,51.48,7638,12483,65.43,1493,CDX,11.349094,45.726402,-13.95,13.95
Solagna,VICENZA,VENETO,30.58,218,187,20.04,61.01,435,705,75.56,217,CDX,11.721355,45.844085,-14.55,14.55
Sossano,VICENZA,VENETO,17.69,309,236,10.45,75.5,1319,1927,85.3,1010,CDX,11.516144,45.351737,-9.8,9.8
Sovizzo,VICENZA,VENETO,24.33,901,656,14.54,69.41,2571,3670,81.32,1670,CDX,11.434392,45.553892,-11.91,11.91
Tezze Sul Brenta,VICENZA,VENETO,15.54,826,777,11.3,78.01,4147,5797,84.33,3321,CDX,11.735046,45.68683,-6.32,6.32
Thiene,VICENZA,VENETO,29.61,2529,2461,22.41,63.28,5405,8042,73.24,2876,CDX,11.484139,45.69093,-9.96,9.96
Tonezza Del Cimone,VICENZA,VENETO,11.94,32,38,11.21,86.19,231,296,87.32,199,CDX,11.331431,45.855978,-1.13,1.13
Torrebelvicino,VICENZA,VENETO,30.36,762,750,22.46,60.84,1527,2462,73.73,765,CDX,11.296168,45.71754,-12.89,12.89
Torri Di Quartesolo,VICENZA,VENETO,23.76,1087,859,14.43,71.34,3264,4847,81.42,2177,CDX,11.629899,45.526392,-10.08,10.08
Trissino,VICENZA,VENETO,14.1,532,503,10.71,80.23,3027,4024,85.67,2495,CDX,11.348171,45.566547,-5.44,5.44
Val Liona,VICENZA,VENETO,25.02,336,230,13.98,68.95,926,1342,81.58,590,CDX,11.468933,45.403721,-12.63,12.63
Valbrenta,VICENZA,VENETO,29.39,574,482,18.81,63.59,1242,1950,76.11,668,CDX,11.701894,45.87409,-12.52,12.52
Valdagno,VICENZA,VENETO,30.93,3141,2738,20.21,63.86,6484,10356,76.44,3343,CDX,11.284443,45.646921,-12.58,12.58
Valdastico,VICENZA,VENETO,17.05,90,89,13.36,78.22,413,562,84.38,323,CDX,11.35823,45.877874,-6.16,6.16
Valli Del Pasubio,VICENZA,VENETO,26.66,369,336,19.78,65.39,905,1296,76.28,536,CDX,11.228816,45.75129,-10.89,10.89
Velo Dastico,VICENZA,VENETO,22.62,211,189,14.95,70.1,654,1042,82.44,443,CDX,11.359289,45.784257,-12.34,12.34
Vicenza,VICENZA,VENETO,39.46,15891,14057,27.7,55.84,22487,34163,67.31,6596,CDX,11.553994,45.544834,-11.47,11.47
Villaga,VICENZA,VENETO,17.67,156,109,10.63,77.01,680,887,86.54,524,CDX,11.525647,45.39151,-9.53,9.53
Villaverla,VICENZA,VENETO,24.83,626,533,16.15,68.03,1715,2614,79.21,1089,CDX,11.498557,45.648381,-11.18,11.18
Zane,VICENZA,VENETO,23.97,685,592,15.78,68.51,1958,3021,80.54,1273,CDX,11.448656,45.7216,-12.03,12.03
Zermeghedo,VICENZA,VENETO,19.48,104,106,14.5,75.84,405,583,79.75,301,CDX,11.374101,45.47634,-3.91,3.91
Zovencedo,VICENZA,VENETO,25.07,84,71,15.85,69.25,232,352,78.57,148,CDX,11.494112,45.437994,-9.32,9.32
Zugliano,VICENZA,VENETO,27.86,843,719,18.91,64.01,1937,2916,76.7,1094,CDX,11.50168,45.73048,-12.69,12.69
