DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,REFERENCE_PERIOD_CRIME,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_Y_KNOWN_OFFENDER_IDEN,NOTE_REFERENCE_PERIOD_CRIME,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2022,25642,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2023,28067,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2024,28709,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2006,8075,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2007,8149,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2008,7764,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2009,5921,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2010,5872,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2011,6260,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2012,7090,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2013,6865,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2014,6176,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2015,5337,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2016,4848,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2017,4517,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2018,4197,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2019,3691,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2020,3046,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2021,3172,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2022,3594,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2023,3820,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,SHOPROB,9,YRDUR,2024,4151,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2006,26051,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2007,25909,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2008,23040,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,STREETROB,9,YRDUR,2009,18351,,,,,,,,,,,
