DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA19,2018-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA20,2018-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA21,2018-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EE,2018-01-01,38.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EL,2018-01-01,48.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,ES,2018-01-01,41.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EU27_2020,2018-01-01,46.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FI,2018-01-01,52.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FR,2018-01-01,56.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HR,2018-01-01,45.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HU,2018-01-01,45.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IE,2018-01-01,24.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IS,2018-01-01,43.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IT,2018-01-01,48.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LT,2018-01-01,33.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LU,2018-01-01,42.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LV,2018-01-01,40.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,MT,2018-01-01,34.5,,
