"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Voti"
"VENETO",5,"BELLUNO","BELLUNO",80,"CALALZO DI CADORE","MANILDO","GIOVANNI",171
"VENETO",5,"BELLUNO","BELLUNO",80,"CALALZO DI CADORE","SZUMSKI","RICCARDO",50
"VENETO",5,"BELLUNO","BELLUNO",80,"CALALZO DI CADORE","BUI","FABIO",19
"VENETO",5,"BELLUNO","BELLUNO",80,"CALALZO DI CADORE","RIZZO","MARCO",8
"VENETO",5,"BELLUNO","BELLUNO",81,"CANALE D'AGORDO","STEFANI","ALBERTO",301
"VENETO",5,"BELLUNO","BELLUNO",81,"CANALE D'AGORDO","MANILDO","GIOVANNI",107
"VENETO",5,"BELLUNO","BELLUNO",81,"CANALE D'AGORDO","SZUMSKI","RICCARDO",24
"VENETO",5,"BELLUNO","BELLUNO",81,"CANALE D'AGORDO","RIZZO","MARCO",8
"VENETO",5,"BELLUNO","BELLUNO",81,"CANALE D'AGORDO","BUI","FABIO",3
"VENETO",5,"BELLUNO","BELLUNO",100,"CENCENIGHE AGORDINO","STEFANI","ALBERTO",322
"VENETO",5,"BELLUNO","BELLUNO",100,"CENCENIGHE AGORDINO","MANILDO","GIOVANNI",111
"VENETO",5,"BELLUNO","BELLUNO",100,"CENCENIGHE AGORDINO","SZUMSKI","RICCARDO",31
"VENETO",5,"BELLUNO","BELLUNO",100,"CENCENIGHE AGORDINO","RIZZO","MARCO",9
"VENETO",5,"BELLUNO","BELLUNO",100,"CENCENIGHE AGORDINO","BUI","FABIO",5
"VENETO",5,"BELLUNO","BELLUNO",110,"CESIOMAGGIORE","STEFANI","ALBERTO",953
"VENETO",5,"BELLUNO","BELLUNO",110,"CESIOMAGGIORE","MANILDO","GIOVANNI",415
"VENETO",5,"BELLUNO","BELLUNO",110,"CESIOMAGGIORE","SZUMSKI","RICCARDO",112
"VENETO",5,"BELLUNO","BELLUNO",110,"CESIOMAGGIORE","RIZZO","MARCO",17
"VENETO",5,"BELLUNO","BELLUNO",110,"CESIOMAGGIORE","BUI","FABIO",12
"VENETO",5,"BELLUNO","BELLUNO",120,"CHIES D'ALPAGO","STEFANI","ALBERTO",421
"VENETO",5,"BELLUNO","BELLUNO",120,"CHIES D'ALPAGO","MANILDO","GIOVANNI",104
"VENETO",5,"BELLUNO","BELLUNO",120,"CHIES D'ALPAGO","SZUMSKI","RICCARDO",50
"VENETO",5,"BELLUNO","BELLUNO",120,"CHIES D'ALPAGO","RIZZO","MARCO",12
"VENETO",5,"BELLUNO","BELLUNO",120,"CHIES D'ALPAGO","BUI","FABIO",5
"VENETO",5,"BELLUNO","BELLUNO",130,"CIBIANA DI CADORE","STEFANI","ALBERTO",51
"VENETO",5,"BELLUNO","BELLUNO",130,"CIBIANA DI CADORE","MANILDO","GIOVANNI",34
"VENETO",5,"BELLUNO","BELLUNO",130,"CIBIANA DI CADORE","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",130,"CIBIANA DI CADORE","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",130,"CIBIANA DI CADORE","RIZZO","MARCO",0
"VENETO",5,"BELLUNO","BELLUNO",140,"COLLE SANTA LUCIA","STEFANI","ALBERTO",129
"VENETO",5,"BELLUNO","BELLUNO",140,"COLLE SANTA LUCIA","MANILDO","GIOVANNI",12
"VENETO",5,"BELLUNO","BELLUNO",140,"COLLE SANTA LUCIA","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",140,"COLLE SANTA LUCIA","RIZZO","MARCO",1
"VENETO",5,"BELLUNO","BELLUNO",140,"COLLE SANTA LUCIA","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",150,"COMELICO SUPERIORE","STEFANI","ALBERTO",444
"VENETO",5,"BELLUNO","BELLUNO",150,"COMELICO SUPERIORE","MANILDO","GIOVANNI",160
"VENETO",5,"BELLUNO","BELLUNO",150,"COMELICO SUPERIORE","SZUMSKI","RICCARDO",51
"VENETO",5,"BELLUNO","BELLUNO",150,"COMELICO SUPERIORE","RIZZO","MARCO",13
"VENETO",5,"BELLUNO","BELLUNO",150,"COMELICO SUPERIORE","BUI","FABIO",9
"VENETO",5,"BELLUNO","BELLUNO",160,"CORTINA D'AMPEZZO","STEFANI","ALBERTO",1337
"VENETO",5,"BELLUNO","BELLUNO",160,"CORTINA D'AMPEZZO","MANILDO","GIOVANNI",293
"VENETO",5,"BELLUNO","BELLUNO",160,"CORTINA D'AMPEZZO","SZUMSKI","RICCARDO",118
"VENETO",5,"BELLUNO","BELLUNO",160,"CORTINA D'AMPEZZO","RIZZO","MARCO",34
"VENETO",5,"BELLUNO","BELLUNO",160,"CORTINA D'AMPEZZO","BUI","FABIO",8
"VENETO",5,"BELLUNO","BELLUNO",170,"DANTA DI CADORE","STEFANI","ALBERTO",118
"VENETO",5,"BELLUNO","BELLUNO",170,"DANTA DI CADORE","MANILDO","GIOVANNI",22
"VENETO",5,"BELLUNO","BELLUNO",170,"DANTA DI CADORE","SZUMSKI","RICCARDO",11
