"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Lista","Voti"
"VENETO",5,"PADOVA","PADOVA",170,"CAMPODARSEGO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",235
"VENETO",5,"PADOVA","PADOVA",170,"CAMPODARSEGO","BUI","FABIO","POPOLARI per il Veneto",53
"VENETO",5,"PADOVA","PADOVA",170,"CAMPODARSEGO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",35
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",416
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",228
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","UNIONE DI CENTRO",128
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",35
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",17
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",9
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",95
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",30
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",21
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",16
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",5
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",3
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",2
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",36
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",8
"VENETO",5,"PADOVA","PADOVA",180,"CAMPODORO","BUI","FABIO","POPOLARI per il Veneto",7
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",1872
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",445
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",170
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","UNIONE DI CENTRO",83
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",74
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",37
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",710
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",222
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",100
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",79
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",21
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",20
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",17
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",169
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","BUI","FABIO","POPOLARI per il Veneto",93
"VENETO",5,"PADOVA","PADOVA",190,"CAMPOSAMPIERO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",18
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",753
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",524
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",89
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","UNIONE DI CENTRO",53
"VENETO",5,"PADOVA","PADOVA",200,"CAMPO SAN MARTINO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",49
