anno,tempo_parziale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2016,Si,Maschi,584802,30409542,20652781,181734504,9003334224,15395.525706136435,296.06937927575495,435.93810557522494,22668.781489911697,10787778844.972975,18446.891161406722,354.7497967898686,522.3402526261705,27161.693136560865,anno_intero
2017,No,Femmine,1852400,96324774,96324774,576341460,58284088241,31464.094278233642,605.078899442837,605.078899442837,31464.102771027527,69075300618.29405,37289.62460499571,717.1083590426495,717.1083590426495,37289.63467021777,anno_intero
2017,No,Maschi,4459574,231897780,231897780,1386940745,163455728030,36652.76728898321,704.8611160917538,704.8611160917538,36652.7780367712,193719313318.72275,43438.972717735545,835.3651049127022,835.3651049127022,43438.98545546051,anno_intero
2017,Si,Femmine,1471603,76523183,50336485,457526346,23257473577,15804.176518395247,303.92715861022145,462.04008041085905,24026.08418136467,27563560268.979206,18730.29632922684,360.1988206499357,547.5861151007904,28474.477985241097,anno_intero
2017,Si,Maschi,625139,32507115,22254545,194220888,9776471535,15638.876369895335,300.74866794546364,439.30224298002946,22843.716634961533,11586570720.19307,18534.39110372744,356.4318371591287,520.6384008387082,27073.196843612826,anno_intero
2018,No,Femmine,1877629,97636669,97636669,584096788,59952565618,31929.931641447805,614.0373922219735,614.0373922219735,31929.94439554262,70287190053.61998,37434.013883264466,719.8851699213537,719.8851699213537,37434.028835910394,anno_intero
2018,No,Maschi,4520643,235073389,235073389,1405588090,167301362237,37008.311038274864,711.6984314928135,711.6984314928135,37008.3184376263,196140774336.61996,43387.80441999511,834.381021054748,834.381021054748,43387.8130948469,anno_intero
2018,Si,Femmine,1502809,78145835,51874599,467142281,24145478422,16066.897670961513,308.97972261733463,465.45860377638775,24203.847396372163,28307676465.36141,18836.509806210506,362.24165325460285,545.6943670130618,28376.107084679214,anno_intero
2018,Si,Maschi,646490,33617322,23230745,200778628,10295032075,15924.503201905674,306.2418855077153,443.1640946082444,23044.53291962871,12069689905.754162,18669.56937578951,359.03186773039687,519.5567299177948,27016.94995572533,anno_intero
2019,No,Femmine,1913361,99494720,99494720,595188860,62018439203,32413.34970400254,623.3339739334912,623.3339739334912,32413.36664454154,72354845736.83333,37815.574654669625,727.2229695890729,727.2229695890729,37815.594418631794,anno_intero
2019,No,Maschi,4587446,238547167,238547167,1426137433,171303141288,37341.72375827421,718.110147533213,718.110147533213,37341.72767172707,199853664835.99997,43565.34438465324,837.7951721220817,837.7951721220817,43565.34895034825,anno_intero
2019,Si,Femmine,1536312,79888091,53320623,477544102,25058039890,16310.514980030099,313.66427181242824,469.9502458926633,24437.412786418492,29234379871.666664,19028.934143368446,365.9416504478329,548.2752868747738,28510.31491748824,anno_intero
2019,Si,Maschi,666898,34678543,24033514,207114783,10783364485,16169.435933231169,310.9520629225974,448.680308880341,23331.37606177773,12580591899.166664,18864.341922103027,362.77740674303027,523.4603603603978,27219.938738740682,anno_intero
2020,No,Femmine,1227471,63828477,63828477,381089575,43798904568,35682.23165190868,686.1969237962547,686.1969237962547,35682.240037405245,51248571620.621704,41751.350231998724,802.9107700724506,802.9107700724506,41751.36004376743,anno_intero
2020,No,Maschi,2850568,148229516,148229516,884283365,118699183960,41640.53759110465,800.7796771056043,800.7796771056043,41640.54320949142,138888487976.6569,48723.092371996354,936.9826720385223,936.9826720385223,48723.09894600316,anno_intero
2020,Si,Femmine,764462,39751939,27064929,237232739,13406341938,17536.963168869086,337.25001283585186,495.34000026381005,25757.680013718124,15686599511.032259,20519.789748911335,394.6121851070525,579.5913786078013,30138.751687605665,anno_intero
2020,Si,Maschi,307170,15972792,11404201,95307805,5385942474,17534.077136439104,337.19480438986494,472.2770559726192,24558.4069105762,6302026531.161291,20516.412837065112,394.54758636819975,552.6057047890765,28735.49664903198,anno_intero
2021,No,Femmine,1761892,91618360,91618360,547730446,60017472999,34064.21789701071,655.0812850066296,655.0812850066296,34064.22682034474,68945216103.45778,39131.35203716106,752.5261978435084,752.5261978435084,39131.36228786243,anno_intero
2021,No,Maschi,4350019,226200954,226200954,1351375546,166724500494,38327.30397131599,737.0636486970784,737.0636486970784,38327.309732248075,191525169953.28024,44028.58239315282,846.703634827642,846.703634827642,44028.58901103738,anno_intero
2021,Si,Femmine,1227674,63838918,43179687,381357906,20928930176,17047.62842252911,327.8396757288399,484.6938833993864,25204.081936768092,24042158753.044147,19583.50405160014,376.60661405702626,556.7932614482395,28953.24959530845,anno_intero
2021,Si,Maschi,526941,27400802,19255349,163578789,8906626071,16902.51104203317,325.04983142464226,462.5533440603959,24052.773891140587,10231508068.12572,19416.80011258513,373.4017737190948,531.3592637622781,27630.681715638468,anno_intero
2022,No,Femmine,2051443,106674995,106674995,637653199,69351910350,33806.40376066993,650.1233991152285,650.1233991152285,33806.416753991885,73724899368.51688,35938.068651440415,691.1169704626363,691.1169704626363,35938.08246405709,anno_intero
2022,No,Maschi,4813295,250291278,250291278,1495196377,184563196991,38344.459874368804,737.3936417832347,737.3936417832347,38344.4693727282,196200840851.00092,40762.272175505736,783.8900437073996,783.8900437073996,40762.282272784774,anno_intero
2022,Si,Femmine,1541437,80154577,54591635,478594491,26046435902,16897.50272116214,324.9525713547213,477.1140469048051,24809.930439049866,27688795537.02842,17962.975805711438,345.4424759428076,507.1985027931188,26374.32214524218,anno_intero
2022,Si,Maschi,686404,35692920,25276651,212993832,11657528980,16983.48054498517,326.6062003332874,461.1975288973211,23982.271502660697,12392595194.54707,18054.374966560612,347.20037459941835,490.2783677531913,25494.475123165947,anno_intero
2023,No,Femmine,2188069,113779550,113779550,680556679,75918540515,34696.593441523095,667.2424044127438,667.2424044127438,34696.60502946268,76558123838.631,34988.898356784455,672.8636546605344,672.8636546605344,34988.91004234779,anno_intero
2023,No,Maschi,4987024,259325203,259325203,1549617683,196435573086,39389.337826727926,757.4873973433273,757.4873973433273,39389.34466185302,198090464181.9225,39721.17723554619,763.8689255433553,763.8689255433553,39721.18412825448,anno_intero
2023,Si,Femmine,1625339,84517369,57534970,505071234,27995903285,17224.65484738876,331.24437753143974,486.5893435766109,25302.645865983766,28231757567.097725,17369.765671713856,334.03497885857905,490.68866407852,25515.81053208304,anno_intero
2023,Si,Maschi,710390,36940127,26115921,220578365,12363264934,17403.4895395487,334.68387734563015,473.3995379293727,24616.77597232738,12467420493.679865,17550.106974591232,337.5034550823246,477.38773959684846,24824.16245903612,anno_intero
2024,No,Femmine,2235953,116269513,116269513,695454756,80313148833,35918.97899150832,690.749851450741,690.749851450741,35918.992275438526,80313148833,35918.97899150832,690.749851450741,690.749851450741,35918.992275438526,anno_intero
2024,No,Maschi,5007988,260415284,260415284,1556038089,203754540889,40685.90837058715,782.4215912342534,782.4215912342534,40685.922744181174,203754540889,40685.90837058715,782.4215912342534,782.4215912342534,40685.922744181174,anno_intero
2024,Si,Femmine,1669906,86834810,59421222,518994937,29750780323,17815.841324601504,342.6135247258559,500.6760097091238,26035.152504874437,29750780323,17815.841324601504,342.6135247258559,500.6760097091238,26035.152504874437,anno_intero
2024,Si,Maschi,723448,37619114,26633787,224673093,13062880251,18056.419052924328,347.2405078705469,490.46274384487646,25504.062679933577,13062880251,18056.419052924328,347.2405078705469,490.46274384487646,25504.062679933577,anno_intero
2014,No,Femmine,3130936,135631991,135631991,766257551,70156598951,22407.54807859375,517.2570160899577,517.2570160899577,26897.3648366778,83899111771.8243,26796.81468155986,618.5790767594372,618.5790767594372,32166.111991490732,complessivo
2014,No,Maschi,6663397,300913764,300913764,1710729273,186079195060,27925.575357434052,618.3804708248573,618.3804708248573,32155.78448289258,222529019624.4256,33395.73188036456,739.5109371747635,739.5109371747635,38454.568733087704,complessivo
2014,Si,Femmine,2825321,118184986,71583853,645809887,30364165715,10747.156062974791,256.9206693902726,424.1761855847575,22057.16165040739,36312001597.45869,12852.345484799314,307.2471624903241,507.2652571168345,26377.793370075393,complessivo
2014,Si,Maschi,1432693,53603767,33298311,284770893,13352733849,9320.024491639171,249.10066206727598,401.0033376467653,20852.173557631795,15968312694.848848,11145.662535413272,297.89534557988895,479.5532330408244,24936.76811812287,complessivo
2015,No,Femmine,3131718,134199770,134199770,762070238,71069781916,22693.544538812243,529.581994931884,529.581994931884,27538.263736457968,85070528953.452,27164.17281295825,633.9096479334651,633.9096479334651,32963.30169254018,complessivo
2015,No,Maschi,6749758,302251585,302251585,1726344806,190734920232,28258.03832255912,631.0468817955082,631.0468817955082,32814.43785336643,228309699517.70398,33824.871872103264,755.3631175092232,755.3631175092232,39278.88211047961,complessivo
2015,Si,Femmine,2989011,122175615,74495910,670397285,31961198277,10692.900854831247,261.6004697582247,429.03292646535897,22309.712176198667,38257554337.56899,12799.402323233,313.1357623005949,513.5524129790347,26704.725474909803,complessivo
2015,Si,Maschi,1591841,58487519,36899402,312916040,14997159585,9421.267315642706,256.4164088581018,406.43367567311793,21134.551135002133,17951600023.245,11277.256976824317,306.9304414031478,486.5011097807221,25298.05770859755,complessivo
2016,No,Femmine,3126123,136129423,136129423,775564229,73133690822,23394.374060777518,537.2364710750298,537.2364710750298,27936.29649590155,87628656570.50452,28031.09684759829,643.7157716484593,643.7157716484593,33473.22012571988,complessivo
2016,No,Maschi,6781759,309698866,309698866,1775983340,196340313476,28951.237204978825,633.9716900222683,633.9716900222683,32966.52788115795,235254609840.61264,34689.32025461427,759.6237366933486,759.6237366933486,39500.43430805412,complessivo
2016,Si,Femmine,3094824,129491817,79235712,712399543,34161613383,11038.305694604927,263.8129124638046,431.1390977719743,22419.233084142666,40932383603.05406,13226.077994436537,316.1001563755497,516.5900901231765,26862.68468640518,complessivo
2016,Si,Maschi,1697608,64805407,41141276,349197854,16826095337,9911.649413174302,259.6403003379024,408.98331245243827,21267.13224752679,20160997115.50451,11876.12046803768,311.1005400445137,490.04306807364236,25482.239539829403,complessivo
2017,No,Femmine,3200755,138106509,138106509,784759547,74587133316,23302.981114143382,540.0696452040504,540.0696452040504,28083.62155061062,88396830276.48712,27617.493459039233,640.0627379299489,640.0627379299489,33283.262372357334,complessivo
2017,No,Maschi,6918127,314856062,314856062,1806892752,200501178716,28982.003180340576,636.8026629133157,636.8026629133157,33113.73847149241,237623674181.2396,34347.97802660165,754.7057302051869,754.7057302051869,39244.69797066972,complessivo
2017,Si,Femmine,3302045,136782685,84075243,749049671,36194703331,10961.299234565247,264.614657410768,430.5037016782693,22386.192487270004,42896098898.22475,12990.767508687723,313.60766823830625,510.21082268206766,26530.962779467518,complessivo
2017,Si,Maschi,1889822,71472008,45746426,382615825,18638858072,9862.758541280607,260.7854262608657,407.43856300380713,21186.80527619797,22089814962.558414,11688.833637537511,309.0694606279764,482.87520783718526,25109.510807533632,complessivo
