anno,periodo,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,quota_lavoratori,quota_settimane_utili
2017,Oltre 3 e fino a 6 mesi,1390314,37303315,28412788,165590466,10304442232,7411.593519161858,276.2339548643331,362.669169671065,18858.79682289538,12212294407.627722,8783.839051917568,327.37826135901656,429.81682781808394,22350.475046540363,0.09080640013104518,0.04875352840701389
2017,Oltre 6 e meno di 12 mesi,3616110,167845910,139883550,874516365,60770749383,16805.558841683465,362.06273589270063,434.4381407463565,22590.78331881054,72022363377.67426,19917.083102470402,429.09811372629963,514.8737173003849,26773.433299620014,0.2361811300021965,0.2400263088789086
2017,Anno intero,8408716,437252852,400813584,2615029439,254773761383,30298.771106432898,582.6691814991294,635.6415340029993,33053.35976815596,301944744926.1891,35908.54357861404,690.5495151034237,753.3296200015743,39173.14024008187,0.5492034387083219,0.6877563881960844
2018,Fino a 3 mesi,1934442,19211014,13936595,69643026,4156963021,2148.9209916864916,216.38436268902828,298.2768044131296,15510.393829482739,4873540387.989225,2519.3520343278456,253.68470336803802,349.69376580070133,18184.07582163647,0.12310238772973808,0.023312414033706933
2018,Oltre 3 e fino a 6 mesi,1429164,38226429,29039558,170079193,10596009846,7414.131510449465,277.19067993507844,364.88192575107377,18973.860139055836,12422550230.814886,8692.179645453485,324.97281477207525,427.780279259584,22244.57452149837,0.090947932715162,0.04857586802600251
2018,Oltre 6 e meno di 12 mesi,3802913,176525521,147027058,922004989,64944047860,17077.44769864575,367.9017486655655,441.71493834828686,22969.176794110917,76139104102.27228,20021.258467462252,431.32065930723,517.8577680733588,26928.603939814657,0.2420065686272638,0.24593924486245336
2018,Anno intero,8547571,444473215,407815401,2657605787,261694438352,30616.234524638636,588.77437271895,641.6982725770084,33368.31017400444,306805330761.3555,35893.86163172619,690.2673106215309,752.3142333738286,39120.34013543909,0.5439431109278361,0.6821724730778372
2019,Fino a 3 mesi,1964315,19460232,14186984,71854075,4299645750,2188.8779294563246,220.94524618205992,303.06975393783483,15759.627204767412,5016253374.999999,2553.6909176990453,257.7694538790699,353.58137959414057,18386.231738895312,0.12279230430754964,0.023310575014894377
2019,Oltre 3 e fino a 6 mesi,1462656,39077196,29791961,175140906,11032606644,7542.858091034393,282.3285131307784,370.32159930660487,19256.723163943454,12871374417.999998,8800.00110620679,329.3832653192414,432.0418658577056,22466.177024600693,0.09143284078636234,0.04895104849144171
2019,Oltre 6 e meno di 12 mesi,3866065,179150219,149232240,937329446,66563990856,17217.504324422895,371.55405797187444,446.04296535386726,23194.234198401096,77657989331.99998,20087.088378493376,433.47973430052014,520.3834595795117,27059.93989813461,0.24167357575173376,0.24520287928433
2019,Anno intero,8704017,452608521,415396024,2705985178,269162984866,30923.995767241722,594.6927032467424,647.96716702806,33694.29268545912,314023482343.6666,36077.99506178201,693.8081537878661,755.9616948660698,39310.00813303563,0.5441012791543542,0.6825354972093339
2020,Fino a 3 mesi,2255504,23660486,16946060,89509504,5390008618,2389.7136152274616,227.80633576165764,318.0685432484011,16539.564248916857,6306784277.3665695,2796.175168550608,266.5534544542563,372.1681781704166,19352.74526486166,0.14379900027516532,0.029611121692437535
