"ITTER107"|"Territorio"|"TIPO_DATO12"|"Tipo dato"|"ATECO_2007_MERCE"|"Merce Ateco 2007"|"ISO"|"Paese partner"|"TIME"|"Seleziona periodo"|"Value"|"Flag Codes"|"Flags"
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M7"|"Lug-1997"|9069||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M8"|"Ago-1997"|4994||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M9"|"Set-1997"|10244||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M10"|"Ott-1997"|10182||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M11"|"Nov-1997"|9513||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M12"|"Dic-1997"|10809||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M1"|"Gen-1998"|8828||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M2"|"Feb-1998"|9770||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M3"|"Mar-1998"|11304||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M4"|"Apr-1998"|10147||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M5"|"Mag-1998"|9496||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M6"|"Giu-1998"|10671||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M7"|"Lug-1998"|9440||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M8"|"Ago-1998"|5688||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M9"|"Set-1998"|10690||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M10"|"Ott-1998"|10107||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M11"|"Nov-1998"|10110||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M12"|"Dic-1998"|11099||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M1"|"Gen-1999"|8218||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M2"|"Feb-1999"|9607||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M3"|"Mar-1999"|11813||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M4"|"Apr-1999"|10078||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M5"|"Mag-1999"|10052||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M6"|"Giu-1999"|11119||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M7"|"Lug-1999"|9954||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M8"|"Ago-1999"|6116||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M9"|"Set-1999"|11531||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M10"|"Ott-1999"|11071||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M11"|"Nov-1999"|11252||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M12"|"Dic-1999"|13222||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M1"|"Gen-2000"|9584||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M2"|"Feb-2000"|11638||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M3"|"Mar-2000"|13498||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M4"|"Apr-2000"|10737||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M5"|"Mag-2000"|12673||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M6"|"Giu-2000"|12869||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M7"|"Lug-2000"|11501||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M8"|"Ago-2000"|7937||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M9"|"Set-2000"|13673||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M10"|"Ott-2000"|12891||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M11"|"Nov-2000"|13357||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2000M12"|"Dic-2000"|13968||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M1"|"Gen-2001"|11710||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M2"|"Feb-2001"|12414||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M3"|"Mar-2001"|14537||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M4"|"Apr-2001"|11833||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M5"|"Mag-2001"|13313||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M6"|"Giu-2001"|13992||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M7"|"Lug-2001"|12545||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M8"|"Ago-2001"|7875||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M9"|"Set-2001"|13055||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M10"|"Ott-2001"|13218||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M11"|"Nov-2001"|12795||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2001M12"|"Dic-2001"|13404||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M1"|"Gen-2002"|11434||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M2"|"Feb-2002"|12343||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M3"|"Mar-2002"|13562||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M4"|"Apr-2002"|12430||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M5"|"Mag-2002"|12839||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M6"|"Giu-2002"|13193||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M7"|"Lug-2002"|12792||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M8"|"Ago-2002"|7844||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M9"|"Set-2002"|13184||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M10"|"Ott-2002"|13971||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M11"|"Nov-2002"|13220||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2002M12"|"Dic-2002"|14939||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M1"|"Gen-2003"|12065||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M2"|"Feb-2003"|12831||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M3"|"Mar-2003"|13764||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M4"|"Apr-2003"|12511||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M5"|"Mag-2003"|12733||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M6"|"Giu-2003"|12676||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M7"|"Lug-2003"|13254||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M8"|"Ago-2003"|7217||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M9"|"Set-2003"|13338||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M10"|"Ott-2003"|14116||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M11"|"Nov-2003"|13114||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2003M12"|"Dic-2003"|17267||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M1"|"Gen-2004"|12051||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M2"|"Feb-2004"|13574||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M3"|"Mar-2004"|15555||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M4"|"Apr-2004"|14074||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M5"|"Mag-2004"|13902||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M6"|"Giu-2004"|15017||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M7"|"Lug-2004"|14097||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M8"|"Ago-2004"|8858||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M9"|"Set-2004"|15023||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M10"|"Ott-2004"|14871||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M11"|"Nov-2004"|15235||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2004M12"|"Dic-2004"|14370||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M1"|"Gen-2005"|12673||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M2"|"Feb-2005"|14239||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M3"|"Mar-2005"|15763||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M4"|"Apr-2005"|14730||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M5"|"Mag-2005"|14470||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M6"|"Giu-2005"|15353||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M7"|"Lug-2005"|14042||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M8"|"Ago-2005"|9917||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M9"|"Set-2005"|15804||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M10"|"Ott-2005"|14950||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M11"|"Nov-2005"|16202||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2005M12"|"Dic-2005"|14540||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M1"|"Gen-2006"|13956||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M2"|"Feb-2006"|15518||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M3"|"Mar-2006"|18160||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M4"|"Apr-2006"|14324||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M5"|"Mag-2006"|16943||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M6"|"Giu-2006"|17600||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M7"|"Lug-2006"|15634||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M8"|"Ago-2006"|11047||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M9"|"Set-2006"|17264||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M10"|"Ott-2006"|17555||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M11"|"Nov-2006"|17798||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2006M12"|"Dic-2006"|15995||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2007M1"|"Gen-2007"|16024||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"2007M2"|"Feb-2007"|17108||
