anno,classe_di_eta,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,55  - 59,Maschi,Anno intero,491517,25558758,25009432,152895901,20694619337
2015,60  - 64,Femmine,Fino a 3 mesi,19010,203358,148463,714434,52443996
2015,60  - 64,Femmine,Oltre 3 e fino a 6 mesi,16845,466296,341227,2058590,143223915
2015,60  - 64,Femmine,Oltre 6 e meno di 12 mesi,42939,1974665,1475888,10418877,672756951
2015,60  - 64,Femmine,Anno intero,84634,4400949,3648003,26334994,2151254204
2015,60  - 64,Maschi,Fino a 3 mesi,44241,427050,374158,1605854,156104464
2015,60  - 64,Maschi,Oltre 3 e fino a 6 mesi,33794,902988,803236,4098848,409817418
2015,60  - 64,Maschi,Oltre 6 e meno di 12 mesi,78122,3609237,3303419,18890970,1820534084
2015,60  - 64,Maschi,Anno intero,189720,9865376,9482319,59033211,8348744416
2015,65 ed oltre,Femmine,Fino a 3 mesi,9089,100349,68788,270550,14872436
2015,65 ed oltre,Femmine,Oltre 3 e fino a 6 mesi,4982,152993,95214,596546,30102345
2015,65 ed oltre,Femmine,Oltre 6 e meno di 12 mesi,7867,358343,218604,1848224,89772680
2015,65 ed oltre,Femmine,Anno intero,13686,711656,489185,4259697,252307622
2015,65 ed oltre,Maschi,Fino a 3 mesi,25082,252910,198436,769898,61085351
2015,65 ed oltre,Maschi,Oltre 3 e fino a 6 mesi,13242,382478,292051,1573398,129181134
2015,65 ed oltre,Maschi,Oltre 6 e meno di 12 mesi,19666,889328,678749,4601360,358830839
2015,65 ed oltre,Maschi,Anno intero,27656,1438043,1167665,8604084,927448978
2015,Fino a 19,Femmine,Fino a 3 mesi,39967,320176,209950,1206399,51700015
2015,Fino a 19,Femmine,Oltre 3 e fino a 6 mesi,8011,192062,130728,882699,37179703
2015,Fino a 19,Femmine,Oltre 6 e meno di 12 mesi,4837,204318,138892,1061113,40968829
2015,Fino a 19,Femmine,Anno intero,1838,95575,75706,569910,22597054
2015,Fino a 19,Maschi,Fino a 3 mesi,55567,460775,335418,1830369,90908295
2015,Fino a 19,Maschi,Oltre 3 e fino a 6 mesi,17055,402999,319308,1907583,99415373
2015,Fino a 19,Maschi,Oltre 6 e meno di 12 mesi,11430,490112,390672,2549062,126675687
2015,Fino a 19,Maschi,Anno intero,5553,288756,257198,1721938,89274800
2016,20  - 24,Femmine,Fino a 3 mesi,144896,1362418,902414,4991776,229694196
2016,20  - 24,Femmine,Oltre 3 e fino a 6 mesi,76666,1995462,1374029,8833225,415069212
2016,20  - 24,Femmine,Oltre 6 e meno di 12 mesi,112035,4958494,3585956,25711525,1231637370
2016,20  - 24,Femmine,Anno intero,99556,5176874,4164601,30929255,1595175810
2016,20  - 24,Maschi,Fino a 3 mesi,157369,1462025,1076539,5699522,301869620
2016,20  - 24,Maschi,Oltre 3 e fino a 6 mesi,96145,2441478,1908151,11120742,621931331
2016,20  - 24,Maschi,Oltre 6 e meno di 12 mesi,160637,7231770,6078454,37572201,2179214521
2016,20  - 24,Maschi,Anno intero,175124,9106436,8293588,54389967,3453536154
2016,25  - 29,Femmine,Fino a 3 mesi,134423,1344380,897580,4927864,256302194
2016,25  - 29,Femmine,Oltre 3 e fino a 6 mesi,98647,2612562,1846613,11637324,607720857
2016,25  - 29,Femmine,Oltre 6 e meno di 12 mesi,202619,9117255,6920120,47464687,2570540645
2016,25  - 29,Femmine,Anno intero,281154,14619952,12518482,87418140,5513757389
2016,25  - 29,Maschi,Fino a 3 mesi,131967,1240160,942048,4921714,294017364
2016,25  - 29,Maschi,Oltre 3 e fino a 6 mesi,100694,2590747,2077278,11865843,737419038
2016,25  - 29,Maschi,Oltre 6 e meno di 12 mesi,231384,10612632,9181554,55206140,3589208744
2016,25  - 29,Maschi,Anno intero,407591,21194699,19833783,126679295,9496920314
2016,30  - 34,Femmine,Fino a 3 mesi,109768,1191819,801151,4117506,234303318
2016,30  - 34,Femmine,Oltre 3 e fino a 6 mesi,97044,2669152,1939919,11656195,658812546
2016,30  - 34,Femmine,Oltre 6 e meno di 12 mesi,229349,10444568,8116652,54197444,3164955570
2016,30  - 34,Femmine,Anno intero,372523,19371160,16800453,115846954,8245436958
