cod_rip,desc_rip,cod_naz,desc_naz,ele_t,sz_tot,sz_perv,vot_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no,dt_agg,stato
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",398,GUINEA BISSAU,0,1,1,0,0,0,0,0,0,0,0,0,20260323205426,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",399,ESWATINI,49,1,1,27,55.1,0,1,0,25,1,96.15,3.85,20260323221306,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",400,SAO TOME' E PRINCIPE,0,1,1,0,0,0,0,0,0,0,0,0,20260323221555,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",401,LESOTHO,0,1,1,0,0,0,0,0,0,0,0,0,20260323211052,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",402,ERITREA,241,1,1,65,26.97,0,5,0,37,23,61.67,38.33,20260323175103,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",454,ARMENIA,99,1,1,42,42.42,0,3,0,16,23,41.03,58.97,20260323205721,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",455,AZERBAIGIAN,70,1,1,27,38.57,0,2,0,14,11,56,44,20260323213312,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",456,GEORGIA,219,1,1,83,37.9,1,3,0,37,42,46.84,53.16,20260323194043,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",457,KIRGHIZISTAN,26,1,1,20,76.92,0,4,0,5,11,31.25,68.75,20260323210138,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",459,TAGIKISTAN,0,1,1,0,0,0,0,0,0,0,0,0,20260323180014,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",460,TURKMENISTAN,0,1,1,0,0,0,0,0,0,0,0,0,20260323194359,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",461,BRUNEI,0,1,1,0,0,0,0,0,0,0,0,0,20260323214022,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",463,ISOLE MARSHALL,2,1,1,0,0,0,0,0,0,0,0,0,20260323164245,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",464,STATI FEDERATI DI MICRONESIA,0,1,1,0,0,0,0,0,0,0,0,0,20260323221216,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",466,PALAU,3,1,1,0,0,0,0,0,0,0,0,0,20260323165323,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",468,TIMOR ORIENTALE,0,1,1,0,0,0,0,0,0,0,0,0,20260323164949,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",888,CIRCOSCRIZIONE AUTONOMA,2578,1,1,302,11.71,3,7,0,155,137,53.08,46.92,20260323183019,ok
