"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"CASTRI DI LECCE","LECCE",35,935,705,2.09,55.82,42.09,2464,1783,63,1720,72.36,"CDX",230,18.26783,40.279539,75,16
"CASTRIGNANO DE' GRECI","LECCE",34,875,1133,1.67,42.85,55.48,4393,2269,173,2096,51.65,"CSX/M5S",258,18.308428,40.172862,75,16
"CASTRIGNANO DEL CAPO","LECCE",33,1124,1280,1.35,46.12,52.52,5809,2622,90,2532,45.14,"CSX/M5S",156,18.346824,39.820711,75,16
"CASTRO","LECCE",22,654,697,1.6,47.63,50.76,2186,1474,72,1402,67.43,"CSX/M5S",43,18.421439,40.009688,75,16
"CAVALLINO","LECCE",180,2508,3435,2.94,40.96,56.1,10720,6526,199,6327,60.88,"CSX/M5S",927,18.198865,40.295357,75,16
"CEGLIE MESSAPICA","BRINDISI",239,5653,4102,2.39,56.56,41.04,18765,11382,933,10449,60.66,"CDX",1551,17.514503,40.643533,74,16
"CELENZA VALFORTORE","FOGGIA",30,323,321,4.45,47.92,47.63,1778,760,67,693,42.74,"CDX",2,15.002649,41.56226,71,16
"CELLAMARE","BARI",66,692,1989,2.4,25.19,72.41,4976,2901,75,2826,58.3,"CSX/M5S",1297,16.93053,41.016277,72,16
"CELLE DI SAN VITO","FOGGIA",1,29,59,1.12,32.58,66.29,296,97,6,91,32.77,"CSX/M5S",30,15.197384,41.31819,71,16
"CELLINO SAN MARCO","BRINDISI",146,1218,1502,5.09,42.5,52.41,5872,3107,126,2981,52.91,"CSX/M5S",284,17.936867,40.483768,74,16
"CERIGNOLA","FOGGIA",396,7834,10738,2.09,41.3,56.61,45771,20520,815,19705,44.83,"CSX/M5S",2904,15.8773,41.278598,71,16
"CHIEUTI","FOGGIA",14,384,377,1.81,49.55,48.65,1892,831,34,797,43.92,"CDX",7,15.164164,41.880156,71,16
"CISTERNINO","BRINDISI",134,2065,3285,2.44,37.65,59.9,11431,5896,225,5671,51.58,"CSX/M5S",1220,17.425577,40.749739,74,16
"COLLEPASSO","LECCE",110,1540,1213,3.84,53.79,42.37,5985,3083,148,2935,51.51,"CDX",327,18.169282,40.070615,75,16
"CONVERSANO","BARI",489,4461,9560,3.37,30.74,65.89,23600,16073,1193,14880,68.11,"CSX/M5S",5099,17.102943,40.954166,72,16
"COPERTINO","LECCE",354,5646,4980,3.22,51.42,45.36,21569,11733,457,11276,54.4,"CDX",666,18.051938,40.269579,75,16
"CORATO","BARI",1375,9555,15540,5.19,36.1,58.71,43265,29744,2622,27122,68.75,"CSX/M5S",5985,16.367487,41.096589,72,16
"CORIGLIANO D'OTRANTO","LECCE",720,967,1773,20.81,27.95,51.24,5730,3925,349,3576,68.5,"CSX/M5S",806,18.251566,40.156162,75,16
"CORSANO","LECCE",131,775,1635,5.16,30.5,64.34,5065,2730,122,2608,53.9,"CSX/M5S",860,18.379967,39.883725,75,16
"CRISPIANO","TARANTO",126,3287,2737,2.05,53.45,44.5,11813,6620,284,6336,56.04,"CDX",550,17.254469,40.605788,73,16
"CURSI","LECCE",24,1328,895,1.07,59.1,39.83,3751,2393,91,2302,63.8,"CDX",433,18.321625,40.152348,75,16
"CUTROFIANO","LECCE",128,1555,3294,2.57,31.24,66.18,8382,5725,613,5112,68.3,"CSX/M5S",1739,18.198045,40.109077,75,16
"DELICETO","FOGGIA",20,763,1144,1.04,39.6,59.37,3604,2054,84,1970,56.99,"CSX/M5S",381,15.426944,41.225874,71,16
"DISO","LECCE",29,741,798,1.85,47.26,50.89,2789,1697,96,1601,60.85,"CSX/M5S",57,18.392315,39.998935,75,16
"ERCHIE","BRINDISI",97,2564,2275,1.97,51.94,46.09,8159,5864,721,5143,71.87,"CDX",289,17.735549,40.424465,74,16
"FAETO","FOGGIA",10,140,121,3.69,51.66,44.65,1071,294,14,280,27.45,"CDX",19,15.15918,41.311647,71,16
"FAGGIANO","TARANTO",39,624,898,2.5,39.97,57.53,2981,1680,81,1599,56.36,"CSX/M5S",274,17.379664,40.414738,73,16
"FASANO","BRINDISI",381,6023,10767,2.22,35.08,62.7,35803,18174,584,17590,50.76,"CSX/M5S",4744,17.405114,40.824901,74,16
"FOGGIA","FOGGIA",1926,26942,37535,2.9,40.57,56.53,121889,69936,1350,68586,57.38,"CSX/M5S",10593,15.583891,41.456365,71,16
"FRAGAGNANO","TARANTO",39,1266,1197,1.56,50.6,47.84,4844,2713,113,2600,56.01,"CDX",69,17.477826,40.431306,73,16
"FRANCAVILLA FONTANA","BRINDISI",633,7265,8116,3.95,45.37,50.68,30717,17059,660,16399,55.54,"CSX/M5S",851,17.564012,40.530019,74,16
"GAGLIANO DEL CAPO","LECCE",47,1375,1280,1.74,50.89,47.37,5641,3229,442,2787,57.24,"CDX",95,18.371694,39.840524,75,16
"GALATINA","LECCE",621,4853,6780,5.07,39.6,55.33,23816,13045,508,12537,54.77,"CSX/M5S",1927,18.136853,40.191633,75,16
"GALATONE","LECCE",141,2548,4967,1.84,33.28,64.88,14908,8188,305,7883,54.92,"CSX/M5S",2419,18.064014,40.144942,75,16
"GALLIPOLI","LECCE",235,3399,5683,2.52,36.48,61,20261,9938,325,9613,49.05,"CSX/M5S",2284,18.027983,40.031175,75,16
"GINOSA","TARANTO",166,5194,4439,1.69,53.01,45.3,19387,10490,369,10121,54.11,"CDX",755,16.798358,40.504476,73,16
"GIOIA DEL COLLE","BARI",249,4597,7762,1.97,36.46,61.56,23827,13416,407,13009,56.31,"CSX/M5S",3165,16.911885,40.777787,72,16
"GIOVINAZZO","BARI",223,2957,6614,2.28,30.19,67.53,18762,10433,356,10077,55.61,"CSX/M5S",3657,16.657622,41.160868,72,16
"GIUGGIANELLO","LECCE",9,223,448,1.32,32.79,65.88,1077,729,40,689,67.69,"CSX/M5S",225,18.386319,40.106823,75,16
"GIURDIGNANO","LECCE",17,498,490,1.69,49.55,48.76,1770,1081,55,1026,61.07,"CDX",8,18.432806,40.131025,75,16
"GRAVINA IN PUGLIA","BARI",4154,5949,9938,20.73,29.68,49.59,36499,21375,661,20714,58.56,"CSX/M5S",3989,16.363747,40.840944,72,16
"GROTTAGLIE","TARANTO",406,5654,6621,3.2,44.59,52.21,27127,13699,536,13163,50.5,"CSX/M5S",967,17.414212,40.536643,73,16
"GRUMO APPULA","BARI",252,2381,4315,3.63,34.27,62.1,11558,7937,718,7219,68.67,"CSX/M5S",1934,16.694002,40.950617,72,16
"GUAGNANO","LECCE",44,1277,1339,1.65,48.01,50.34,5352,2915,168,2747,54.47,"CSX/M5S",62,17.921195,40.412423,75,16
"ISCHITELLA","FOGGIA",139,694,866,8.18,40.85,50.97,3960,1828,89,1739,46.16,"CSX/M5S",172,15.844933,41.888815,71,16
"ISOLE TREMITI","FOGGIA",4,106,107,1.84,48.85,49.31,392,223,1,222,56.89,"CSX/M5S",1,15.487086,42.114918,71,16
"LATERZA","TARANTO",112,3321,5614,1.24,36.71,62.05,13036,10007,625,9382,76.76,"CSX/M5S",2293,16.78529,40.645061,73,16
"LATIANO","BRINDISI",214,2833,4753,2.74,36.32,60.94,12684,9183,1132,8051,72.4,"CSX/M5S",1920,17.704259,40.573414,74,16
"LECCE","LECCE",1413,16836,24229,3.33,39.63,57.04,78099,44647,1014,43633,57.17,"CSX/M5S",7393,18.173851,40.402642,75,16
"LEPORANO","TARANTO",90,1434,2242,2.39,38.08,59.53,6978,4001,112,3889,57.34,"CSX/M5S",808,17.318322,40.381986,73,16
"LEQUILE","LECCE",137,1751,2236,3.32,42.46,54.22,7283,4381,127,4254,60.15,"CSX/M5S",485,18.13293,40.273646,75,16
"LESINA","FOGGIA",37,1163,1053,1.64,51.62,46.74,5590,2940,609,2331,52.59,"CDX",110,15.377055,41.874373,71,16
"LEVERANO","LECCE",363,2914,2969,5.81,46.65,47.53,12186,6700,304,6396,54.98,"CSX/M5S",55,17.970115,40.290925,75,16
"LIZZANELLO","LECCE",86,2638,2902,1.53,46.89,51.58,9890,6041,231,5810,61.08,"CSX/M5S",264,18.235336,40.320181,75,16
"LIZZANO","TARANTO",196,2170,2304,4.2,46.47,49.34,8995,5035,232,4803,55.98,"CSX/M5S",134,17.451685,40.374039,73,16
"LOCOROTONDO","BARI",157,3969,3448,2.07,52.4,45.52,12632,8675,807,7868,68.67,"CDX",521,17.337944,40.772472,72,16
"LUCERA","FOGGIA",356,5107,10542,2.22,31.91,65.87,27822,17962,1353,16609,64.56,"CSX/M5S",5435,15.351304,41.497849,71,16
"MAGLIE","LECCE",266,4961,3377,3.09,57.66,39.25,12882,9298,478,8820,72.18,"CDX",1584,18.295835,40.120833,75,16
"MANDURIA","TARANTO",458,7923,7475,2.89,49.97,47.14,26860,19036,2162,16874,70.87,"CDX",448,17.640445,40.377272,73,16
"MANFREDONIA","FOGGIA",1513,11263,11476,6.24,46.44,47.32,48839,26071,1000,25071,53.38,"CSX/M5S",213,15.820429,41.537023,71,16
"MARGHERITA DI SAVOIA","BARLETTA-ANDRIA-TRANI",56,2282,3040,1.04,42.43,56.53,10075,5624,131,5493,55.82,"CSX/M5S",758,16.126518,41.376189,110,16
