DATAFLOW,DATA_TYPE,FREQ,REFERENCE_PERIOD_CRIME,REF_AREA,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,TIME_PERIOD,OBS_VALUE
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2018,1050
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2019,1019
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2020,876
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2021,928
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2022,1018
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2023,1033
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2024,1143
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2006,21492
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2007,22920
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2008,18678
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2009,14910
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2010,14242
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2011,17657
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2012,20010
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2013,20016
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2014,19109
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2015,17777
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2016,16672
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2017,16056
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2018,14807
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2019,12489
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2020,9353
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2021,11166
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,BAGTHEF,9,2022,13405
