geo,anno,va_reale,occupati,va_per_occ,base,indice,paese
FR,2010,216115.5,2785,77.59982046678635,58.98948418352807,131.5485658856718,Francia
FR,2011,224381,2768,81.0625,58.98948418352807,137.41856048070935,Francia
FR,2012,222653.9,2753,80.87682528151107,58.98948418352807,137.10380146720237,Francia
FR,2013,223214.8,2723,81.97385236871098,58.98948418352807,138.96350087360307,Francia
FR,2014,226376,2707,83.62615441448098,58.98948418352807,141.76451205150957,Francia
FR,2015,227182.7,2653,85.63237843950246,58.98948418352807,145.16549792685595,Francia
FR,2016,228222,2639,86.48048503220917,58.98948418352807,146.60322297979604,Francia
FR,2017,232847.5,2623,88.77144491040794,58.98948418352807,150.48689802782854,Francia
FR,2018,237183.5,2624,90.39005335365853,58.98948418352807,153.23079122447828,Francia
FR,2019,241753.8,2705,89.37293900184842,58.98948418352807,151.50656127758526,Francia
FR,2020,220222.1,2694,81.74539717891611,58.98948418352807,138.57621966076167,Francia
FR,2021,239234.6,2710,88.27845018450185,58.98948418352807,149.6511647904056,Francia
FR,2022,230322.9,2754,83.63213507625272,58.98948418352807,141.77465057340802,Francia
FR,2023,236727,2782,85.09237958303379,58.98948418352807,144.2500824694354,Francia
FR,2024,242221.6,2803,86.41512665001784,58.98948418352807,146.4924263130749,Francia
FR,2025,243240.1,2799,86.90250089317614,58.98948418352807,147.31863161034786,Francia
IT,2000,260177.6,4499.6,57.82238421192994,57.82238421192994,100,Italia
IT,2001,259475,4489.4,57.79725575800776,57.82238421192994,99.95654199621018,Italia
IT,2002,258422.3,4518.8,57.18825794458705,57.82238421192994,98.90332044244545,Italia
IT,2003,252111.4,4551.9,55.38597069355654,57.82238421192994,95.78638350600782,Italia
IT,2004,255977.1,4503.3,56.84211578176004,57.82238421192994,98.30469040056005,Italia
IT,2005,256611,4463.1,57.496134973448946,57.82238421192994,99.43577345879542,Italia
IT,2006,269057.1,4501.7,59.76788768687385,57.82238421192994,103.36461995031763,Italia
IT,2007,277677.4,4527.3,61.3339959799439,57.82238421192994,106.07310095540723,Italia
IT,2008,268441.9,4480.3,59.91605472847801,57.82238421192994,103.62086507687813,Italia
IT,2009,217690.2,4258.5,51.11898555829518,57.82238421192994,88.4069141302345,Italia
IT,2010,239144.3,4097.7,58.36061693144935,57.82238421192994,100.93083799095292,Italia
IT,2011,243840.8,4066.9,59.9574122796233,57.82238421192994,103.69239023397596,Italia
IT,2012,234170.5,3991.8,58.66288391201964,57.82238421192994,101.45358879877575,Italia
IT,2013,231882.7,3877.3,59.80519949449359,57.82238421192994,103.42914826081238,Italia
IT,2014,231426.5,3804.2,60.83447242521424,57.82238421192994,105.20920791201627,Italia
IT,2015,237222.4,3771,62.90702731370989,57.82238421192994,108.79355490279296,Italia
IT,2016,242021.8,3806.1,63.58787210004992,57.82238421192994,109.97103105777926,Italia
IT,2017,250900.2,3828.4,65.53656880158813,57.82238421192994,113.34117348289246,Italia
IT,2018,253478.2,3867.3,65.543971246089,57.82238421192994,113.35397552245163,Italia
IT,2019,253869.9,3893.3,65.20686820948809,57.82238421192994,112.77097805322698,Italia
IT,2020,219066.2,3812.5,57.459986885245904,57.82238421192994,99.37325772428237,Italia
IT,2021,253297.3,3820,66.30819371727749,57.82238421192994,114.67564788446884,Italia
IT,2022,260009.3,3874,67.11649457924625,57.82238421192994,116.07355091628813,Italia
IT,2023,257306.7,3929.3,65.4841065838699,57.82238421192994,113.2504435373303,Italia
IT,2024,259570.1,3954.7,65.63585101271904,57.82238421192994,113.5128755191956,Italia
IT,2025,258841.5,3922.6,65.98722785907306,57.82238421192994,114.12055860100376,Italia
