anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,Attivita' immobiliari,Anno intero,24072,1251741,1061826,7495645,743806750
2015,Attivita' manifatturiere,Fino a 3 mesi,259291,2587560,2144964,9906061,717943871
2015,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,214476,5873306,4939917,25643795,1831174821
2015,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,825278,39597867,36331411,206330347,16219362810
2015,Attivita' manifatturiere,Anno intero,2417022,125684720,121650113,751357491,81971813212
2015,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,59921,508788,393016,1818943,119902992
2015,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,33019,870906,672252,3940021,270134515
2015,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,80234,3659133,2917929,19382123,1347051860
2015,"Attivita' professionali, scientifiche e tecniche",Anno intero,281312,14628194,12977759,87585533,8118899128
2015,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,232183,2145625,1488712,8586343,521065837
2015,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,173039,4553051,3274960,20743405,1250586394
2015,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,467684,21600125,16839222,113211790,7257834870
2015,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1328946,69104520,61319027,413503818,35463470903
2015,Costruzioni,Fino a 3 mesi,199782,1810333,1683166,7177521,555635039
2015,Costruzioni,Oltre 3 e fino a 6 mesi,130615,3517256,3303570,15364464,1184147643
2015,Costruzioni,Oltre 6 e meno di 12 mesi,331405,15753892,15104677,79461157,6359199842
2015,Costruzioni,Anno intero,305431,15882183,15196383,94719577,8470318720
2015,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1762,15445,14153,62367,7118605
2015,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1696,46498,43146,207216,24227632
2015,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,9007,436767,422857,2279694,244614583
2015,Estrazione di minerali da cave e miniere,Anno intero,32916,1711632,1692887,10238998,1687705205
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,7816,72460,57528,314484,22100480
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,7688,192404,162026,933428,66675259
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,24273,1139760,1044291,6081199,498222023
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,120501,6266013,6110927,37511843,3915923998
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,1480,14378,13546,72232,9161629
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,1182,29688,27880,152466,20564004
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,6710,320741,309070,1759352,230636336
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,71567,3721484,3685987,22287157,3495061691
2015,Istruzione,Fino a 3 mesi,74946,725186,558103,2937804,167249903
2015,Istruzione,Oltre 3 e fino a 6 mesi,83676,2133601,1845589,10828529,651914848
2015,Istruzione,Oltre 6 e meno di 12 mesi,203122,8565423,7740254,47318481,3045575779
2015,Istruzione,Anno intero,111808,5813993,5152552,34764540,2446765602
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,303317,2615292,1795692,9907941,547284584
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,185288,4831751,3568336,21844409,1237966175
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,422966,19552347,15273385,101977101,5856219083
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,574578,29877849,24793760,178535809,12334928560
2015,Sanita' e assistenza sociale,Fino a 3 mesi,64832,636778,401339,2427328,129382503
