anno,attivita_economica_ateco_2007,tipologia_contrattuale,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,Estrazione di minerali da cave e miniere,Stagionale,68,1445,1373,7031,535581
2016,Estrazione di minerali da cave e miniere,Tempo determinato,2197,73122,69813,390888,43994027
2016,Estrazione di minerali da cave e miniere,Tempo indeterminato,41141,2056222,2021668,11927863,1853038563
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Stagionale,386,8683,7855,44814,3151037
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo determinato,15153,484003,422106,2607656,188040788
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo indeterminato,146185,7325154,7078749,43054614,4384332600
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Stagionale,1,14,4,36,2391
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo determinato,1008,35925,32830,200468,19876542
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo indeterminato,79567,4019280,3969770,23864969,3750065658
2016,Istruzione,Stagionale,2101,47443,28533,237243,10470224
2016,Istruzione,Tempo determinato,333591,10365978,9637133,57279708,3995207717
2016,Istruzione,Tempo indeterminato,153653,7229886,5883696,41014489,2642857077
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Stagionale,21479,448838,363813,2157372,130572506
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo determinato,625803,17120855,14075347,85939562,5406428067
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo indeterminato,910396,43213076,34258749,245527425,15887021061
2016,Sanita' e assistenza sociale,Stagionale,593,11200,7089,56811,2525610
2016,Sanita' e assistenza sociale,Tempo determinato,130156,4240013,3215485,22603394,1403041489
2016,Sanita' e assistenza sociale,Tempo indeterminato,610258,29516849,24493161,168063408,11264527939
2016,Servizi di informazione e comunicazione,Stagionale,5029,46528,43275,197155,22937509
2016,Servizi di informazione e comunicazione,Tempo determinato,76165,1206261,1070916,5868346,575824550
2016,Servizi di informazione e comunicazione,Tempo indeterminato,426494,21021313,19661960,122756267,14455517940
2016,Trasporto e magazzinaggio,Stagionale,9415,259979,224140,1322748,105507321
2016,Trasporto e magazzinaggio,Tempo determinato,166149,5110147,4503027,25938370,2087530628
2016,Trasporto e magazzinaggio,Tempo indeterminato,866206,42311365,39998197,242688833,23065531253
2017,Altre attivita' di servizi,Stagionale,9441,216134,175659,1065080,62614817
2017,Altre attivita' di servizi,Tempo determinato,96296,2849629,2084208,14483285,758323296
2017,Altre attivita' di servizi,Tempo indeterminato,374344,17520439,14385092,98223722,6766707041
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Stagionale,43838,789349,614332,3561606,231776741
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo determinato,84189,1743523,1361131,8504782,824897317
2017,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo indeterminato,102523,4502760,3801844,25521102,2185633907
2017,Attivita' dei servizi di alloggio e di ristorazione,Stagionale,263989,6558579,5619223,31585133,2137398406
2017,Attivita' dei servizi di alloggio e di ristorazione,Tempo determinato,563872,14299575,10052599,64976770,3069739238
2017,Attivita' dei servizi di alloggio e di ristorazione,Tempo indeterminato,800862,34866029,25538559,190773521,10526483335
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Stagionale,477,11123,9677,56586,3715609
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo determinato,6867,99600,76683,505006,26160536
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo indeterminato,35494,1777168,1512999,10357672,593438971
2017,Attivita' finanziarie e assicurative,Stagionale,78,1608,1284,7405,569628
2017,Attivita' finanziarie e assicurative,Tempo determinato,13664,500146,449173,2815887,302608956
2017,Attivita' finanziarie e assicurative,Tempo indeterminato,503761,25529382,24476267,151124070,24284825733
2017,Attivita' immobiliari,Stagionale,1809,44378,35527,207604,14022448
2017,Attivita' immobiliari,Tempo determinato,6544,196041,143296,1033017,63760807
2017,Attivita' immobiliari,Tempo indeterminato,40216,1907872,1537125,11076009,997280358
2017,Attivita' manifatturiere,Stagionale,35545,778947,707212,3738248,281377209
2017,Attivita' manifatturiere,Tempo determinato,391364,13019567,11707747,69214931,5035706074
2017,Attivita' manifatturiere,Tempo indeterminato,3342786,165472803,157372436,960013891,100233017728
2017,"Attivita' professionali, scientifiche e tecniche",Stagionale,2183,45897,34347,231775,13563540
2017,"Attivita' professionali, scientifiche e tecniche",Tempo determinato,76052,2056631,1710438,10579403,750391099
2017,"Attivita' professionali, scientifiche e tecniche",Tempo indeterminato,405670,19565690,16909729,113580914,10334615190
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Stagionale,17313,435291,361038,2131549,138949614
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo determinato,394654,12169609,9213940,63982209,3780940621
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo indeterminato,1903924,91971149,78771428,531349728,44425461364
2017,Costruzioni,Stagionale,671,14119,13051,67420,4491797
2017,Costruzioni,Tempo determinato,218064,5607412,5262442,27889334,2112144613
2017,Costruzioni,Tempo indeterminato,704571,31414252,29890440,172438620,14649572356
2017,Estrazione di minerali da cave e miniere,Stagionale,75,1718,1575,8605,655428
2017,Estrazione di minerali da cave e miniere,Tempo determinato,2449,85762,82050,458441,44988559
2017,Estrazione di minerali da cave e miniere,Tempo indeterminato,38510,1930746,1897505,11223175,1758345058
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Stagionale,536,11853,9868,61437,3873391
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo determinato,18674,627010,549383,3399652,238317901
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo indeterminato,146562,7348401,7096541,43238722,4450360199
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Stagionale,2,22,11,103,3570
