anno,presenza_tempo_parziale_nell_anno,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2022,Si,Femmine,Fino a 3 mesi,510731,5471296,2393791,20039461,854496518
2022,Si,Femmine,Oltre 3 e fino a 6 mesi,434613,11855894,6277764,51390873,2310560805
2022,Si,Femmine,Oltre 6 e meno di 12 mesi,1099754,51057772,31320503,263824996,12799865327
2022,Si,Femmine,Anno intero,1541437,80154577,54591635,478594491,26046435902
2022,Si,Maschi,Fino a 3 mesi,370059,3902201,1826389,14733772,660035365
2022,Si,Maschi,Oltre 3 e fino a 6 mesi,311248,8333736,4817440,36688658,1799440519
2022,Si,Maschi,Oltre 6 e meno di 12 mesi,700351,32280964,21549847,166309064,8716293869
2022,Si,Maschi,Anno intero,686404,35692920,25276651,212993832,11657528980
2023,No,Femmine,Fino a 3 mesi,436728,4332978,4332978,14289830,1097516177
2023,No,Femmine,Oltre 3 e fino a 6 mesi,300355,8032180,8032180,36030127,2829954574
2023,No,Femmine,Oltre 6 e meno di 12 mesi,854260,38939318,38939318,208184286,17885053839
2023,No,Femmine,Anno intero,2188069,113779550,113779550,680556679,75918540515
2023,No,Maschi,Fino a 3 mesi,647885,6033760,6033760,23260537,2054748268
2023,No,Maschi,Oltre 3 e fino a 6 mesi,476906,12277185,12277185,56964079,5234178752
2023,No,Maschi,Oltre 6 e meno di 12 mesi,1759903,83613458,83613458,440302884,42453946552
2023,No,Maschi,Anno intero,4987024,259325203,259325203,1549617683,196435573086
2023,Si,Femmine,Fino a 3 mesi,504560,5485095,2402535,19980386,864499823
2023,Si,Femmine,Oltre 3 e fino a 6 mesi,434079,11865033,6281091,51470136,2361893149
2023,Si,Femmine,Oltre 6 e meno di 12 mesi,1088128,50384638,30798962,260313985,12910272443
2023,Si,Femmine,Anno intero,1625339,84517369,57534970,505071234,27995903285
2023,Si,Maschi,Fino a 3 mesi,375766,4004697,1880146,15102396,688253177
2023,Si,Maschi,Oltre 3 e fino a 6 mesi,314896,8402121,4862951,37170410,1858104943
2023,Si,Maschi,Oltre 6 e meno di 12 mesi,684158,31403475,20851630,161845088,8640423026
2023,Si,Maschi,Anno intero,710390,36940127,26115921,220578365,12363264934
2024,No,Femmine,Fino a 3 mesi,435290,4369995,4369995,14626480,1169766117
2024,No,Femmine,Oltre 3 e fino a 6 mesi,315225,8488547,8488547,38482089,3054673126
2024,No,Femmine,Oltre 6 e meno di 12 mesi,880155,39957609,39957609,214540889,19157466854
2024,No,Femmine,Anno intero,2235953,116269513,116269513,695454756,80313148833
2024,No,Maschi,Fino a 3 mesi,653715,6148076,6148076,23681260,2165016624
2024,No,Maschi,Oltre 3 e fino a 6 mesi,484865,12548694,12548694,58080322,5438704242
2024,No,Maschi,Oltre 6 e meno di 12 mesi,1860330,88647600,88647600,467805786,47448944777
2024,No,Maschi,Anno intero,5007988,260415284,260415284,1556038089,203754540889
2024,Si,Femmine,Fino a 3 mesi,497648,5329199,2373845,19813678,886434815
2024,Si,Femmine,Oltre 3 e fino a 6 mesi,432319,11702875,6231114,51268122,2411442314
2024,Si,Femmine,Oltre 6 e meno di 12 mesi,1120979,51863934,31713034,268039639,13736044911
2024,Si,Femmine,Anno intero,1669906,86834810,59421222,518994937,29750780323
2024,Si,Maschi,Fino a 3 mesi,386934,4059522,1940491,15564708,737616207
2024,Si,Maschi,Oltre 3 e fino a 6 mesi,323551,8571214,4974721,38191268,1958610889
2024,Si,Maschi,Oltre 6 e meno di 12 mesi,702696,32163050,21224208,165966458,9118304870
2024,Si,Maschi,Anno intero,723448,37619114,26633787,224673093,13062880251
