id,nome,fascia,pop,media_min,mediana_min,pop_totale
ITI3,Marche,15-20 min,292678,12.5,11.72,1405416
ITI3,Marche,20-25 min,103202,12.5,11.72,1405416
ITI3,Marche,25-30 min,49169,12.5,11.72,1405416
ITI3,Marche,30-35 min,19382,12.5,11.72,1405416
ITI3,Marche,35-40 min,9449,12.5,11.72,1405416
ITI3,Marche,40-45 min,3898,12.5,11.72,1405416
ITI3,Marche,45-50 min,1333,12.5,11.72,1405416
ITI3,Marche,50-55 min,384,12.5,11.72,1405416
ITI3,Marche,55-60 min,20,12.5,11.72,1405416
ITI3,Marche,60+ min,0,12.5,11.72,1405416
ITF3,Campania,0-5 min,1619802,8.65,6.8,5524940
ITF3,Campania,5-10 min,2423804,8.65,6.8,5524940
ITF3,Campania,10-15 min,788814,8.65,6.8,5524940
ITF3,Campania,15-20 min,350660,8.65,6.8,5524940
ITF3,Campania,20-25 min,189889,8.65,6.8,5524940
ITF3,Campania,25-30 min,86356,8.65,6.8,5524940
ITF3,Campania,30-35 min,34261,8.65,6.8,5524940
ITF3,Campania,35-40 min,17048,8.65,6.8,5524940
ITF3,Campania,40-45 min,10675,8.65,6.8,5524940
ITF3,Campania,45-50 min,2954,8.65,6.8,5524940
ITF3,Campania,50-55 min,613,8.65,6.8,5524940
ITF3,Campania,55-60 min,56,8.65,6.8,5524940
ITF3,Campania,60+ min,9,8.65,6.8,5524940
ITC1,Piemonte,0-5 min,1101571,9.6,7.72,4315463
ITC1,Piemonte,5-10 min,1629139,9.6,7.72,4315463
ITC1,Piemonte,10-15 min,814479,9.6,7.72,4315463
ITC1,Piemonte,15-20 min,462209,9.6,7.72,4315463
ITC1,Piemonte,20-25 min,205797,9.6,7.72,4315463
ITC1,Piemonte,25-30 min,63733,9.6,7.72,4315463
ITC1,Piemonte,30-35 min,21689,9.6,7.72,4315463
ITC1,Piemonte,35-40 min,7978,9.6,7.72,4315463
ITC1,Piemonte,40-45 min,4059,9.6,7.72,4315463
ITC1,Piemonte,45-50 min,2324,9.6,7.72,4315463
ITC1,Piemonte,50-55 min,1430,9.6,7.72,4315463
ITC1,Piemonte,55-60 min,662,9.6,7.72,4315463
ITC1,Piemonte,60+ min,393,9.6,7.72,4315463
ITC2,Valle d’Aosta/Vallée d’Aoste,0-5 min,13060,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,5-10 min,34394,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,10-15 min,11460,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,15-20 min,9076,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,20-25 min,14961,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,25-30 min,13148,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,30-35 min,9126,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,35-40 min,5400,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,40-45 min,2841,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,45-50 min,2242,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,50-55 min,1171,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,55-60 min,1340,19.26,15.79,120367
ITC2,Valle d’Aosta/Vallée d’Aoste,60+ min,2147,19.26,15.79,120367
