paese,data,indice_1991_100
Germania,2014-12-01,127.76
Germania,2015-01-01,127.39
Germania,2015-02-01,128.01
Germania,2015-03-01,128.11
Germania,2015-04-01,128.32
Germania,2015-05-01,128.59
Germania,2015-06-01,128.49
Germania,2015-07-01,129.21
Germania,2015-08-01,129.17
Germania,2015-09-01,129.17
Germania,2015-10-01,129.19
Germania,2015-11-01,128.9
Germania,2015-12-01,128.73
Germania,2016-01-01,128.59
Germania,2016-02-01,128.94
Germania,2016-03-01,129.09
Germania,2016-04-01,129.19
Germania,2016-05-01,129.21
Germania,2016-06-01,129.52
Germania,2016-07-01,129.23
Germania,2016-08-01,129.31
Germania,2016-09-01,129.5
Germania,2016-10-01,129.69
Germania,2016-11-01,130.18
Germania,2016-12-01,129.79
Germania,2017-01-01,130.04
Germania,2017-02-01,130.12
Germania,2017-03-01,130.16
Germania,2017-04-01,130.47
Germania,2017-05-01,130.89
Germania,2017-06-01,131.76
Germania,2017-07-01,132.36
Germania,2017-08-01,133.31
Germania,2017-09-01,134.14
Germania,2017-10-01,134.22
Germania,2017-11-01,135.03
Germania,2017-12-01,135.72
Germania,2018-01-01,136.15
Germania,2018-02-01,135.7
Germania,2018-03-01,135.82
Germania,2018-04-01,136.13
Germania,2018-05-01,135.99
Germania,2018-06-01,135.94
Germania,2018-07-01,135.65
Germania,2018-08-01,136.05
Germania,2018-09-01,135.82
Germania,2018-10-01,135.67
Germania,2018-11-01,134.78
Germania,2018-12-01,134.2
Germania,2019-01-01,133.95
Germania,2019-02-01,133.27
Germania,2019-03-01,133.08
Germania,2019-04-01,132.65
Germania,2019-05-01,132.71
Germania,2019-06-01,132.26
Germania,2019-07-01,131.78
Germania,2019-08-01,131.51
Germania,2019-09-01,130.81
Germania,2019-10-01,130.29
Germania,2019-11-01,129.75
Germania,2019-12-01,128.98
Germania,2020-01-01,128.94
Germania,2020-02-01,128.94
Germania,2020-03-01,126.93
Germania,2020-04-01,120.86
Germania,2020-05-01,116.45
Germania,2020-06-01,114.52
Germania,2020-07-01,112.37
Germania,2020-08-01,110.07
Germania,2020-09-01,110.48
Germania,2020-10-01,115.85
Germania,2020-11-01,119.74
Germania,2020-12-01,121.63
Germania,2021-01-01,123.18
Germania,2021-02-01,124.32
Germania,2021-03-01,125.25
Germania,2021-04-01,125.44
Germania,2021-05-01,125.25
Germania,2021-06-01,124.65
Germania,2021-07-01,124.36
Germania,2021-08-01,123.45
Germania,2021-09-01,122.39
Germania,2021-10-01,122.04
Germania,2021-11-01,121.9
Germania,2021-12-01,122.44
Germania,2022-01-01,122.56
Germania,2022-02-01,123.8
Germania,2022-03-01,123.76
Germania,2022-04-01,123.43
Germania,2022-05-01,123.33
Germania,2022-06-01,123.02
Germania,2022-07-01,122.75
Germania,2022-08-01,122.19
Germania,2022-09-01,123.22
Germania,2022-10-01,123.53
Germania,2022-11-01,123.68
Germania,2022-12-01,123.35
Germania,2023-01-01,123.29
Germania,2023-02-01,123.93
Germania,2023-03-01,123.58
Germania,2023-04-01,123.33
Germania,2023-05-01,123.29
Germania,2023-06-01,123.2
Germania,2023-07-01,122.62
Germania,2023-08-01,121.55
Germania,2023-09-01,120.84
Germania,2023-10-01,120.26
Germania,2023-11-01,119.27
Germania,2023-12-01,118.46
Germania,2024-01-01,118
Germania,2024-02-01,117.78
Germania,2024-03-01,117.38
Germania,2024-04-01,117.15
Germania,2024-05-01,116.53
Germania,2024-06-01,116.55
Germania,2024-07-01,115.93
Germania,2024-08-01,115.54
Germania,2024-09-01,115.16
Germania,2024-10-01,114.56
Germania,2024-11-01,114.61
Germania,2024-12-01,114.03
Germania,2025-01-01,114.13
Germania,2025-02-01,113.74
Germania,2025-03-01,114.09
Germania,2025-04-01,114.17
Germania,2025-05-01,114.17
Germania,2025-06-01,114.38
Germania,2025-07-01,114.65
Germania,2025-08-01,114.27
Germania,2025-09-01,113.78
Germania,2025-10-01,113.94
Germania,2025-11-01,114.15
Germania,2025-12-01,114.05
Germania,2026-01-01,113.8
Germania,2026-02-01,114.21
Germania,2026-03-01,114.09
Italia,1991-06-01,100
Italia,1991-07-01,99.7
Italia,1991-08-01,99.81
Italia,1991-09-01,100.19
Italia,1991-10-01,100.61
Italia,1991-11-01,100.91
Italia,1991-12-01,100.96
Italia,1992-01-01,101.11
